#Mapping quality	mapping quality
0.0	7.6047179E7
1.0	4564155.0
2.0	4583933.0
3.0	4799821.0
4.0	4391813.0
5.0	4100081.0
6.0	4317095.0
7.0	3862778.0
8.0	4213715.0
9.0	4117240.0
10.0	4154555.0
11.0	3437466.0
12.0	3600172.0
13.0	4737806.0
14.0	3122781.0
15.0	3987118.0
16.0	3697856.0
17.0	3349822.0
18.0	3609735.0
19.0	3466219.0
20.0	6752980.0
21.0	4208116.0
22.0	4388284.0
23.0	4259559.0
24.0	4749762.0
25.0	4767346.0
26.0	4462345.0
27.0	5884395.0
28.0	4463205.0
29.0	4382878.0
30.0	1.1550542E7
31.0	5247959.0
32.0	5364276.0
33.0	6181060.0
34.0	5686289.0
35.0	5673315.0
36.0	6077782.0
37.0	5616840.0
38.0	5392197.0
39.0	5763355.0
40.0	1.6169526E7
41.0	6732707.0
42.0	7206014.0
43.0	7313604.0
44.0	6696116.0
45.0	1.0163896E7
46.0	7706948.0
47.0	8133010.0
48.0	1.0194032E7
49.0	7564833.0
50.0	1.1675573E7
51.0	8624418.0
52.0	8481890.0
53.0	1.0468337E7
54.0	8760923.0
55.0	9738704.0
56.0	9673330.0
57.0	9261042.0
58.0	8568218.0
59.0	8380078.0
60.0	1.892717203E9
