#Mapping quality	mapping quality
0.0	5.8787535E7
1.0	3605022.0
2.0	3603394.0
3.0	4080046.0
4.0	3564645.0
5.0	3391181.0
6.0	3647643.0
7.0	3287668.0
8.0	3303155.0
9.0	3549446.0
10.0	3343984.0
11.0	2699349.0
12.0	2941062.0
13.0	4255463.0
14.0	2496676.0
15.0	3336454.0
16.0	3022863.0
17.0	2675847.0
18.0	2962144.0
19.0	2847460.0
20.0	5569155.0
21.0	3517162.0
22.0	3457846.0
23.0	3283138.0
24.0	3796115.0
25.0	3968391.0
26.0	3593041.0
27.0	5777999.0
28.0	3483384.0
29.0	3465800.0
30.0	7844754.0
31.0	4216384.0
32.0	4212329.0
33.0	5117236.0
34.0	4331971.0
35.0	4419419.0
36.0	4813683.0
37.0	4795187.0
38.0	4428865.0
39.0	4994735.0
40.0	1.6076867E7
41.0	5594791.0
42.0	5952072.0
43.0	6285008.0
44.0	5769203.0
45.0	7832657.0
46.0	7086303.0
47.0	6941820.0
48.0	8588574.0
49.0	6654645.0
50.0	1.1391657E7
51.0	7359347.0
52.0	7684552.0
53.0	1.037377E7
54.0	7994728.0
55.0	9608672.0
56.0	9667595.0
57.0	9316679.0
58.0	8603010.0
59.0	8524900.0
60.0	1.806811246E9
