#Duplication rate	Coverage
1.0	4591678.0
2.0	317540.0
3.0	31787.0
4.0	6193.0
5.0	2517.0
6.0	1260.0
7.0	654.0
8.0	406.0
9.0	267.0
10.0	142.0
11.0	110.0
12.0	66.0
13.0	58.0
14.0	34.0
15.0	23.0
16.0	17.0
17.0	20.0
18.0	12.0
19.0	11.0
20.0	17.0
21.0	12.0
22.0	5.0
23.0	8.0
24.0	12.0
25.0	3.0
26.0	7.0
27.0	1.0
28.0	0.0
29.0	3.0
30.0	2.0
31.0	4.0
32.0	3.0
33.0	3.0
34.0	1.0
35.0	1.0
36.0	3.0
37.0	1.0
38.0	1.0
39.0	0.0
40.0	4.0
41.0	2.0
42.0	2.0
43.0	1.0
44.0	0.0
45.0	1.0
46.0	1.0
47.0	2.0
48.0	0.0
49.0	1.0
50.0	4.0
