#Duplication rate	Coverage
1.0	4349061.0
2.0	290155.0
3.0	31064.0
4.0	7468.0
5.0	3765.0
6.0	2410.0
7.0	1487.0
8.0	993.0
9.0	733.0
10.0	454.0
11.0	334.0
12.0	238.0
13.0	151.0
14.0	119.0
15.0	89.0
16.0	52.0
17.0	46.0
18.0	22.0
19.0	34.0
20.0	29.0
21.0	17.0
22.0	12.0
23.0	13.0
24.0	9.0
25.0	8.0
26.0	16.0
27.0	12.0
28.0	9.0
29.0	2.0
30.0	9.0
31.0	4.0
32.0	5.0
33.0	6.0
34.0	3.0
35.0	5.0
36.0	2.0
37.0	5.0
38.0	5.0
39.0	2.0
40.0	4.0
41.0	2.0
42.0	1.0
43.0	1.0
44.0	1.0
45.0	2.0
46.0	1.0
47.0	2.0
48.0	3.0
49.0	3.0
50.0	23.0
