#GC Content (%)	Sample
1.0	0.0
2.0	1.4085506914857054E-7
3.0	1.4085506914857054E-7
4.0	1.4085506914857054E-7
5.0	7.042753457428528E-7
6.0	8.451304148914234E-7
7.0	2.253681106377129E-6
8.0	1.1268405531885643E-6
9.0	9.859854840399938E-7
10.0	2.2536811063771287E-6
11.0	1.5494057606342761E-6
12.0	3.943941936159976E-6
13.0	3.8030868670114053E-6
14.0	9.437289632954228E-6
15.0	1.5916622813788472E-5
16.0	2.5353912446742697E-5
17.0	5.465176682964537E-5
18.0	1.0028880923378222E-4
19.0	1.8719638689845025E-4
20.0	3.7284336803626627E-4
21.0	6.803299839875957E-4
22.0	0.001246708217033998
23.0	0.0021195870805476896
24.0	0.0034741902805494923
25.0	0.006289178837483676
26.0	0.007573636213049489
27.0	0.011865349314937285
28.0	0.016192135329043077
29.0	0.021133894575051528
30.0	0.026541179824595997
31.0	0.03247061481547423
32.0	0.03835441276394831
33.0	0.04375648637593429
34.0	0.04752759914224897
35.0	0.049286597245776324
36.0	0.05017553358717296
37.0	0.05015792670352938
38.0	0.04880177409776694
39.0	0.046734444247873375
40.0	0.04407270600617283
41.0	0.04155027342786023
42.0	0.039227714192669454
43.0	0.03720193658817471
44.0	0.035107421709935464
45.0	0.03176436749876329
46.0	0.028416383360170914
47.0	0.025366448547896915
48.0	0.02274372716035054
49.0	0.02053188000951053
50.0	0.018753303051371534
51.0	0.01869639760343551
52.0	0.013819572544304552
53.0	0.013980992453548816
54.0	0.012735129366929708
55.0	0.011587864828714604
56.0	0.010421584856164437
57.0	0.009341085620725754
58.0	0.008567087015754357
59.0	0.007771819295341528
60.0	0.007027822820098779
61.0	0.006375100429664303
62.0	0.005724772575405353
63.0	0.0050172575630720835
64.0	0.004161844728132814
65.0	0.003368408123618916
66.0	0.0026641327778760635
67.0	0.002026622734909633
68.0	0.0015594064705438243
69.0	0.0012000851891458212
70.0	8.896406167423715E-4
71.0	6.493418687749102E-4
72.0	4.8200604662640846E-4
73.0	3.5115168738738634E-4
74.0	2.673429212439869E-4
75.0	2.2156502377070146E-4
76.0	1.6437786569638185E-4
77.0	1.1930424356883926E-4
78.0	9.352776591465082E-5
79.0	8.859783849445087E-5
80.0	7.254036061151383E-5
81.0	4.8735853925405416E-5
82.0	3.929856429245119E-5
83.0	3.070640507438838E-5
84.0	2.324108640951414E-5
85.0	2.014227488824559E-5
86.0	1.4930637329748482E-5
87.0	1.2536101154222781E-5
88.0	1.028242004784565E-5
89.0	7.324463595725669E-6
90.0	4.225652074457117E-6
91.0	2.5353912446742703E-6
92.0	1.4085506914857055E-6
93.0	9.859854840399938E-7
94.0	2.817101382971411E-7
95.0	2.817101382971411E-7
96.0	5.634202765942822E-7
97.0	4.2256520744571163E-7
98.0	4.2256520744571163E-7
99.0	1.1268405531885643E-6
100.0	4.328476274935573E-4
