#Coverage	Number of genomic locations
0.0	5.4217172E8
1.0	6.18241453E8
2.0	5.61164209E8
3.0	3.9476378E8
4.0	2.55058913E8
5.0	1.51392559E8
6.0	8.8913218E7
7.0	5.2211395E7
8.0	3.2196243E7
9.0	2.1144465E7
10.0	1.4982549E7
11.0	1.132739E7
12.0	8990091.0
13.0	7397752.0
14.0	6216426.0
15.0	5297674.0
16.0	4553503.0
17.0	3948168.0
18.0	3445425.0
19.0	3029659.0
20.0	2668134.0
21.0	2368299.0
22.0	2109881.0
23.0	1878371.0
24.0	1680168.0
25.0	1513171.0
26.0	1358565.0
27.0	1224718.0
28.0	1101618.0
29.0	991509.0
30.0	894720.0
31.0	807553.0
32.0	735456.0
33.0	667018.0
34.0	606914.0
35.0	553135.0
36.0	501861.0
37.0	460023.0
38.0	421308.0
39.0	386316.0
40.0	354201.0
41.0	323294.0
42.0	297452.0
43.0	273671.0
44.0	252591.0
45.0	233590.0
46.0	215610.0
47.0	200891.0
48.0	186590.0
49.0	172642.0
50.0	159966.0
51.0	150208.0
52.0	140285.0
53.0	131114.0
54.0	122036.0
55.0	115209.0
56.0	107962.0
57.0	99736.0
58.0	94963.0
59.0	89569.0
60.0	84109.0
61.0	77904.0
62.0	74676.0
63.0	71202.0
64.0	67266.0
65.0	63190.0
66.0	60623.0
67.0	57100.0
68.0	53344.0
69.0	50474.0
70.0	49187.0
71.0	46869.0
72.0	44495.0
73.0	42250.0
74.0	40958.0
75.0	38676.0
76.0	36576.0
77.0	35125.0
78.0	33328.0
79.0	31858.0
80.0	30544.0
81.0	29281.0
82.0	27841.0
83.0	27103.0
84.0	25864.0
85.0	24560.0
86.0	23703.0
87.0	22836.0
88.0	21416.0
89.0	20494.0
90.0	19703.0
91.0	18742.0
92.0	18100.0
93.0	17128.0
94.0	16596.0
95.0	16135.0
96.0	15962.0
97.0	14871.0
98.0	14621.0
99.0	13722.0
100.0	13706.0
101.0	13511.0
102.0	12940.0
103.0	12528.0
104.0	11861.0
105.0	11513.0
106.0	11337.0
107.0	10824.0
108.0	10610.0
109.0	10354.0
110.0	9994.0
111.0	9679.0
112.0	9545.0
113.0	9052.0
114.0	8865.0
115.0	8706.0
116.0	8360.0
117.0	8011.0
118.0	7727.0
119.0	7899.0
120.0	7490.0
121.0	7440.0
122.0	7178.0
123.0	6586.0
124.0	6316.0
125.0	5803.0
126.0	5826.0
127.0	5760.0
128.0	5607.0
129.0	5582.0
130.0	5480.0
131.0	5389.0
132.0	5295.0
133.0	5135.0
134.0	4864.0
135.0	4940.0
136.0	4690.0
137.0	4571.0
138.0	4333.0
139.0	4140.0
140.0	4105.0
141.0	3914.0
142.0	3855.0
143.0	3880.0
144.0	3783.0
145.0	3585.0
146.0	3719.0
147.0	3677.0
148.0	3701.0
149.0	3642.0
150.0	3584.0
151.0	3524.0
152.0	3543.0
153.0	3545.0
154.0	3329.0
155.0	3306.0
156.0	3220.0
157.0	3285.0
158.0	3135.0
159.0	3089.0
160.0	2932.0
161.0	2825.0
162.0	2924.0
163.0	2892.0
164.0	2795.0
165.0	2840.0
166.0	2751.0
167.0	2637.0
168.0	2558.0
169.0	2613.0
170.0	2557.0
171.0	2550.0
172.0	2564.0
173.0	2631.0
174.0	2462.0
175.0	2505.0
176.0	2313.0
177.0	2352.0
178.0	2250.0
179.0	2271.0
180.0	2169.0
181.0	2063.0
182.0	2146.0
183.0	1998.0
184.0	1943.0
185.0	1990.0
186.0	1787.0
187.0	1916.0
188.0	1833.0
189.0	1854.0
190.0	1772.0
191.0	1816.0
192.0	1688.0
193.0	1742.0
194.0	1711.0
195.0	1706.0
196.0	1794.0
197.0	1628.0
198.0	1632.0
199.0	1609.0
200.0	1633.0
201.0	1570.0
202.0	1507.0
203.0	1570.0
204.0	1470.0
205.0	1616.0
206.0	1557.0
207.0	1565.0
208.0	1517.0
209.0	1487.0
210.0	1475.0
211.0	1416.0
212.0	1570.0
213.0	1520.0
214.0	1518.0
215.0	1643.0
216.0	1557.0
217.0	1568.0
218.0	1475.0
219.0	1472.0
220.0	1504.0
221.0	1498.0
222.0	1518.0
223.0	1581.0
224.0	1531.0
225.0	1515.0
226.0	1448.0
227.0	1460.0
228.0	1557.0
229.0	1512.0
230.0	1404.0
231.0	1434.0
232.0	1374.0
233.0	1442.0
234.0	1366.0
235.0	1339.0
236.0	1413.0
237.0	1421.0
238.0	1321.0
239.0	1252.0
240.0	1307.0
241.0	1325.0
242.0	1287.0
243.0	1293.0
244.0	1211.0
245.0	1211.0
246.0	1169.0
247.0	1105.0
248.0	1166.0
249.0	1126.0
250.0	1118.0
251.0	1047.0
252.0	1050.0
253.0	1070.0
254.0	1068.0
255.0	1004.0
256.0	1062.0
257.0	946.0
258.0	890.0
259.0	963.0
260.0	956.0
261.0	881.0
262.0	887.0
263.0	919.0
264.0	852.0
265.0	863.0
266.0	784.0
267.0	750.0
268.0	736.0
269.0	769.0
270.0	739.0
271.0	779.0
272.0	737.0
273.0	715.0
274.0	725.0
275.0	720.0
276.0	759.0
277.0	706.0
278.0	644.0
279.0	665.0
280.0	641.0
281.0	608.0
282.0	603.0
283.0	615.0
284.0	686.0
285.0	655.0
286.0	615.0
287.0	602.0
288.0	637.0
289.0	644.0
290.0	551.0
291.0	575.0
292.0	597.0
293.0	569.0
294.0	544.0
295.0	552.0
296.0	525.0
297.0	539.0
298.0	531.0
299.0	573.0
300.0	586.0
301.0	537.0
302.0	545.0
303.0	495.0
304.0	480.0
305.0	522.0
306.0	479.0
307.0	502.0
308.0	461.0
309.0	474.0
310.0	457.0
311.0	437.0
312.0	482.0
313.0	474.0
314.0	468.0
315.0	484.0
316.0	441.0
317.0	452.0
318.0	466.0
319.0	474.0
320.0	488.0
321.0	476.0
322.0	455.0
323.0	460.0
324.0	441.0
325.0	455.0
326.0	484.0
327.0	473.0
328.0	497.0
329.0	483.0
330.0	484.0
331.0	511.0
332.0	491.0
333.0	478.0
334.0	450.0
335.0	459.0
336.0	464.0
337.0	445.0
338.0	466.0
339.0	459.0
340.0	463.0
341.0	439.0
342.0	443.0
343.0	463.0
344.0	408.0
345.0	457.0
346.0	407.0
347.0	440.0
348.0	417.0
349.0	417.0
350.0	403.0
351.0	430.0
352.0	418.0
353.0	393.0
354.0	415.0
355.0	396.0
356.0	396.0
357.0	408.0
358.0	398.0
359.0	457.0
360.0	472.0
