#Coverage (X)	Coverage
1.0	80.74262108007416
2.0	58.78332389573094
3.0	38.851351403669824
4.0	24.82975010118537
5.0	15.770321227718128
6.0	10.393014063264346
7.0	7.234908491074094
8.0	5.380413724263093
9.0	4.236836461972445
10.0	3.4858069273369807
11.0	2.953642277953648
12.0	2.5513050970254767
13.0	2.2319863599441447
14.0	1.9692258577555748
15.0	1.7484248336636483
16.0	1.5602569306748393
17.0	1.3985212121758792
18.0	1.258286366995236
19.0	1.135908433367149
20.0	1.0282980781808533
21.0	0.9335287171984419
22.0	0.8494091854038288
23.0	0.7744683937798129
24.0	0.7077505979877401
25.0	0.648072767825127
26.0	0.5943264984371837
27.0	0.546071674315499
28.0	0.5025709572436909
29.0	0.4634426248935455
30.0	0.428225250377011
31.0	0.39644572106620046
32.0	0.36776227346970813
33.0	0.3416396367690453
34.0	0.3179478470674155
35.0	0.29639088930169066
36.0	0.27674410601156296
37.0	0.25891852218705935
38.0	0.24257898086446517
39.0	0.22761455631278693
40.0	0.2138930114213764
41.0	0.20131215812490666
42.0	0.1898290895123722
43.0	0.17926390202069342
44.0	0.16954339106081306
45.0	0.16057161990542568
46.0	0.15227474462409418
47.0	0.14461650035246976
48.0	0.13748105974224245
49.0	0.13085357586560065
50.0	0.12472151052753588
51.0	0.11903968360320505
