#Coverage	Number of genomic locations
0.0	2.45356822E9
1.0	2.96874013E8
2.0	4.9228025E7
3.0	1.0239185E7
4.0	2895718.0
5.0	1096629.0
6.0	492384.0
7.0	252928.0
8.0	142365.0
9.0	89112.0
10.0	60081.0
11.0	42707.0
12.0	32948.0
13.0	25565.0
14.0	21613.0
15.0	19153.0
16.0	16972.0
17.0	15090.0
18.0	13317.0
19.0	12248.0
20.0	10777.0
21.0	10468.0
22.0	9554.0
23.0	8650.0
24.0	8006.0
25.0	8053.0
26.0	7705.0
27.0	7044.0
28.0	6534.0
29.0	6040.0
30.0	5767.0
31.0	5442.0
32.0	5173.0
33.0	5155.0
34.0	4521.0
35.0	4189.0
36.0	4085.0
37.0	3998.0
38.0	4140.0
39.0	3922.0
40.0	3577.0
41.0	3394.0
42.0	3082.0
43.0	2948.0
44.0	2934.0
45.0	2859.0
46.0	2675.0
47.0	2556.0
48.0	2548.0
49.0	2495.0
50.0	2275.0
51.0	2129.0
52.0	2183.0
53.0	2207.0
54.0	2154.0
55.0	1889.0
56.0	1849.0
57.0	1606.0
58.0	1577.0
59.0	1465.0
60.0	1552.0
61.0	1330.0
62.0	1293.0
63.0	1260.0
64.0	1102.0
65.0	1045.0
66.0	989.0
67.0	1011.0
68.0	987.0
69.0	883.0
70.0	867.0
71.0	814.0
72.0	819.0
73.0	780.0
74.0	725.0
75.0	680.0
76.0	611.0
77.0	629.0
78.0	598.0
79.0	617.0
80.0	600.0
81.0	633.0
82.0	554.0
83.0	559.0
84.0	592.0
85.0	562.0
86.0	540.0
87.0	496.0
88.0	468.0
89.0	473.0
90.0	472.0
91.0	409.0
92.0	426.0
93.0	401.0
94.0	393.0
95.0	385.0
96.0	333.0
97.0	333.0
98.0	350.0
99.0	330.0
100.0	318.0
101.0	324.0
102.0	289.0
103.0	288.0
104.0	261.0
105.0	263.0
106.0	246.0
107.0	246.0
108.0	217.0
109.0	248.0
110.0	216.0
111.0	220.0
112.0	222.0
113.0	224.0
114.0	216.0
115.0	258.0
116.0	273.0
117.0	274.0
118.0	241.0
119.0	271.0
120.0	330.0
121.0	337.0
122.0	343.0
123.0	384.0
124.0	362.0
125.0	425.0
126.0	408.0
127.0	393.0
128.0	477.0
129.0	514.0
130.0	536.0
131.0	650.0
132.0	638.0
133.0	691.0
134.0	785.0
135.0	783.0
136.0	870.0
137.0	937.0
138.0	860.0
139.0	870.0
140.0	956.0
141.0	934.0
142.0	997.0
143.0	1034.0
144.0	1106.0
145.0	1066.0
146.0	1132.0
147.0	1070.0
148.0	1127.0
149.0	1134.0
150.0	1065.0
151.0	1010.0
152.0	1043.0
153.0	1116.0
154.0	1164.0
155.0	1097.0
156.0	1081.0
157.0	1034.0
158.0	994.0
159.0	1017.0
160.0	885.0
161.0	865.0
162.0	796.0
163.0	785.0
164.0	654.0
165.0	569.0
166.0	629.0
167.0	617.0
168.0	562.0
169.0	470.0
170.0	432.0
171.0	412.0
172.0	344.0
173.0	336.0
174.0	283.0
175.0	273.0
176.0	239.0
177.0	184.0
178.0	187.0
179.0	159.0
180.0	146.0
181.0	122.0
182.0	122.0
183.0	106.0
184.0	109.0
185.0	99.0
186.0	94.0
187.0	73.0
188.0	71.0
189.0	72.0
190.0	41.0
191.0	42.0
192.0	41.0
193.0	36.0
194.0	49.0
195.0	33.0
196.0	49.0
197.0	37.0
198.0	39.0
199.0	41.0
200.0	36.0
201.0	35.0
202.0	40.0
203.0	48.0
204.0	45.0
205.0	30.0
206.0	39.0
207.0	29.0
208.0	39.0
209.0	35.0
210.0	29.0
211.0	22.0
212.0	27.0
213.0	32.0
214.0	27.0
215.0	33.0
216.0	32.0
217.0	24.0
218.0	29.0
219.0	20.0
220.0	26.0
221.0	23.0
222.0	22.0
223.0	26.0
224.0	24.0
225.0	26.0
226.0	23.0
227.0	30.0
228.0	30.0
229.0	36.0
230.0	29.0
231.0	23.0
232.0	24.0
233.0	21.0
234.0	18.0
235.0	26.0
236.0	32.0
237.0	32.0
238.0	24.0
239.0	26.0
240.0	27.0
241.0	27.0
242.0	32.0
243.0	17.0
244.0	25.0
245.0	28.0
246.0	29.0
247.0	23.0
248.0	23.0
249.0	22.0
250.0	24.0
251.0	16.0
252.0	28.0
253.0	25.0
254.0	26.0
255.0	20.0
256.0	29.0
257.0	16.0
258.0	16.0
259.0	19.0
260.0	27.0
261.0	24.0
262.0	16.0
263.0	23.0
264.0	20.0
265.0	12.0
266.0	17.0
267.0	15.0
268.0	13.0
269.0	29.0
270.0	22.0
271.0	21.0
272.0	19.0
273.0	14.0
274.0	23.0
275.0	18.0
276.0	24.0
277.0	23.0
278.0	17.0
279.0	14.0
280.0	22.0
281.0	15.0
282.0	10.0
283.0	10.0
284.0	7.0
285.0	8.0
286.0	13.0
287.0	16.0
288.0	16.0
289.0	13.0
290.0	16.0
291.0	13.0
292.0	7.0
293.0	12.0
294.0	14.0
295.0	12.0
296.0	13.0
297.0	18.0
298.0	11.0
299.0	8.0
300.0	13.0
301.0	10.0
302.0	14.0
303.0	11.0
304.0	9.0
305.0	15.0
306.0	11.0
307.0	11.0
308.0	14.0
309.0	14.0
310.0	6.0
311.0	12.0
312.0	10.0
313.0	18.0
314.0	13.0
315.0	12.0
316.0	9.0
317.0	8.0
318.0	15.0
319.0	14.0
320.0	16.0
321.0	8.0
322.0	14.0
323.0	11.0
324.0	15.0
325.0	21.0
326.0	12.0
327.0	11.0
328.0	9.0
329.0	14.0
330.0	13.0
331.0	12.0
332.0	26.0
333.0	15.0
334.0	9.0
335.0	8.0
336.0	10.0
337.0	5.0
338.0	8.0
339.0	9.0
340.0	11.0
341.0	7.0
342.0	5.0
343.0	6.0
344.0	4.0
345.0	9.0
346.0	6.0
347.0	8.0
348.0	9.0
349.0	7.0
350.0	7.0
351.0	10.0
352.0	6.0
353.0	6.0
354.0	4.0
355.0	4.0
356.0	3.0
357.0	6.0
358.0	4.0
359.0	7.0
360.0	4.0
361.0	7.0
362.0	3.0
363.0	6.0
364.0	3.0
365.0	11.0
366.0	5.0
367.0	5.0
368.0	12.0
369.0	12.0
370.0	9.0
371.0	6.0
372.0	7.0
373.0	10.0
374.0	10.0
375.0	8.0
376.0	9.0
377.0	4.0
378.0	5.0
379.0	8.0
380.0	4.0
381.0	9.0
382.0	4.0
383.0	8.0
384.0	6.0
385.0	5.0
386.0	9.0
387.0	6.0
388.0	3.0
389.0	3.0
390.0	5.0
391.0	4.0
392.0	3.0
393.0	5.0
394.0	4.0
395.0	6.0
