#Mapping quality	mapping quality
0.0	4.5665957E7
1.0	1590386.0
2.0	1636853.0
3.0	1940841.0
4.0	2116712.0
5.0	1972426.0
6.0	2262784.0
7.0	2693391.0
8.0	3789454.0
9.0	2543475.0
10.0	1664742.0
11.0	1359730.0
12.0	1076460.0
13.0	891022.0
14.0	772507.0
15.0	771715.0
16.0	791427.0
17.0	879356.0
18.0	909850.0
19.0	935695.0
20.0	1142574.0
21.0	1352028.0
22.0	2068147.0
23.0	1725968.0
24.0	1355460.0
25.0	1181084.0
26.0	1003553.0
27.0	1071025.0
28.0	897692.0
29.0	847058.0
30.0	1257720.0
31.0	991374.0
32.0	1099668.0
33.0	1199780.0
34.0	1131981.0
35.0	973942.0
36.0	806896.0
37.0	787867.0
38.0	756526.0
39.0	750184.0
40.0	785584.0
41.0	721165.0
42.0	764031.0
43.0	865253.0
44.0	769775.0
45.0	833919.0
46.0	744816.0
47.0	708275.0
48.0	729356.0
49.0	616601.0
50.0	614120.0
51.0	627148.0
52.0	646908.0
53.0	564506.0
54.0	779182.0
55.0	614450.0
56.0	634818.0
57.0	578439.0
58.0	597639.0
59.0	542246.0
60.0	2.49425507E8
