#Duplication rate	Coverage
1.0	4.9258906E7
2.0	4944301.0
3.0	565554.0
4.0	131605.0
5.0	40299.0
6.0	23281.0
7.0	14626.0
8.0	10930.0
9.0	8768.0
10.0	7131.0
11.0	6093.0
12.0	5461.0
13.0	4726.0
14.0	4375.0
15.0	3723.0
16.0	3443.0
17.0	3076.0
18.0	2745.0
19.0	2510.0
20.0	2225.0
21.0	2042.0
22.0	1862.0
23.0	1693.0
24.0	1479.0
25.0	1344.0
26.0	1227.0
27.0	1066.0
28.0	951.0
29.0	865.0
30.0	746.0
31.0	644.0
32.0	570.0
33.0	504.0
34.0	479.0
35.0	406.0
36.0	402.0
37.0	354.0
38.0	312.0
39.0	271.0
40.0	221.0
41.0	207.0
42.0	216.0
43.0	178.0
44.0	164.0
45.0	142.0
46.0	130.0
47.0	108.0
48.0	118.0
49.0	98.0
50.0	1952.0
