#Insert size (bp)	insert size
2.0	151.0
3.0	134.0
4.0	136.0
5.0	134.0
6.0	144.0
7.0	138.0
8.0	110.0
9.0	136.0
10.0	146.0
11.0	155.0
12.0	156.0
13.0	123.0
14.0	106.0
15.0	128.0
16.0	147.0
17.0	172.0
18.0	132.0
19.0	3825.0
20.0	4221.0
21.0	3230.0
22.0	1951.0
23.0	1037.0
24.0	685.0
25.0	532.0
26.0	441.0
27.0	406.0
28.0	439.0
29.0	431.0
30.0	398.0
31.0	396.0
32.0	421.0
33.0	432.0
34.0	434.0
35.0	452.0
36.0	436.0
37.0	503.0
38.0	489.0
39.0	473.0
40.0	520.0
41.0	549.0
42.0	559.0
43.0	575.0
44.0	552.0
45.0	621.0
46.0	606.0
47.0	640.0
48.0	707.0
49.0	613.0
50.0	673.0
51.0	755.0
52.0	708.0
53.0	767.0
54.0	723.0
55.0	715.0
56.0	738.0
57.0	736.0
58.0	817.0
59.0	785.0
60.0	834.0
61.0	834.0
62.0	894.0
63.0	979.0
64.0	1037.0
65.0	1036.0
66.0	948.0
67.0	1012.0
68.0	1045.0
69.0	1030.0
70.0	1035.0
71.0	1027.0
72.0	1102.0
73.0	1095.0
74.0	1149.0
75.0	1105.0
76.0	1249.0
77.0	1282.0
78.0	1298.0
79.0	1279.0
80.0	1429.0
81.0	1398.0
82.0	1411.0
83.0	1439.0
84.0	1369.0
85.0	1379.0
86.0	1404.0
87.0	1474.0
88.0	1459.0
89.0	1440.0
90.0	1436.0
91.0	1390.0
92.0	1421.0
93.0	1618.0
94.0	1628.0
95.0	1549.0
96.0	1505.0
97.0	1559.0
98.0	1609.0
99.0	1590.0
100.0	1526.0
101.0	1590.0
102.0	1660.0
103.0	1663.0
104.0	1639.0
105.0	1606.0
106.0	1586.0
107.0	1637.0
108.0	1641.0
109.0	1767.0
110.0	1745.0
111.0	1721.0
112.0	1838.0
113.0	1753.0
114.0	1823.0
115.0	1874.0
116.0	1872.0
117.0	1948.0
118.0	1947.0
119.0	1896.0
120.0	1888.0
121.0	1939.0
122.0	2145.0
123.0	2138.0
124.0	2195.0
125.0	2241.0
126.0	2293.0
127.0	2448.0
128.0	2523.0
129.0	2592.0
130.0	2700.0
131.0	2870.0
132.0	2857.0
133.0	3044.0
134.0	3309.0
135.0	3437.0
136.0	3648.0
137.0	3825.0
138.0	4068.0
139.0	4565.0
140.0	5149.0
141.0	5791.0
142.0	6752.0
143.0	9450.0
144.0	93204.0
145.0	97282.0
146.0	99717.0
147.0	101141.0
148.0	102982.0
149.0	103968.0
150.0	105116.0
151.0	107522.0
152.0	108052.0
153.0	109799.0
154.0	111458.0
155.0	112488.0
156.0	113258.0
157.0	114681.0
158.0	116311.0
159.0	117724.0
160.0	118612.0
161.0	119572.0
162.0	120468.0
163.0	122146.0
164.0	123830.0
165.0	124828.0
166.0	126270.0
167.0	126855.0
168.0	129451.0
169.0	130192.0
170.0	130370.0
171.0	131440.0
172.0	133376.0
173.0	133326.0
174.0	134836.0
175.0	135981.0
176.0	137114.0
177.0	137284.0
178.0	138466.0
179.0	139174.0
180.0	140409.0
181.0	140003.0
182.0	141333.0
183.0	142165.0
184.0	142933.0
185.0	143391.0
186.0	145265.0
187.0	144869.0
188.0	146716.0
189.0	146426.0
190.0	146921.0
191.0	148099.0
192.0	147770.0
193.0	148420.0
194.0	149772.0
195.0	149624.0
196.0	149584.0
197.0	150647.0
198.0	150873.0
199.0	150603.0
200.0	151326.0
201.0	152229.0
202.0	151582.0
203.0	151881.0
204.0	152020.0
205.0	151836.0
206.0	152506.0
207.0	153463.0
208.0	152599.0
209.0	152292.0
210.0	152526.0
211.0	152713.0
212.0	152308.0
213.0	152820.0
214.0	152906.0
215.0	152099.0
216.0	152951.0
217.0	151996.0
218.0	152028.0
219.0	151811.0
220.0	151406.0
221.0	151109.0
222.0	151216.0
223.0	151877.0
224.0	150268.0
225.0	149774.0
226.0	149556.0
227.0	149683.0
228.0	149822.0
229.0	148773.0
230.0	148123.0
231.0	148422.0
232.0	147207.0
233.0	147290.0
234.0	146660.0
235.0	146583.0
236.0	145124.0
237.0	144400.0
238.0	145247.0
239.0	143821.0
240.0	143760.0
241.0	142397.0
242.0	141274.0
243.0	141663.0
244.0	140650.0
245.0	139854.0
246.0	138715.0
247.0	139318.0
248.0	137292.0
249.0	137255.0
250.0	136347.0
251.0	136016.0
252.0	134752.0
253.0	134273.0
254.0	133098.0
255.0	132789.0
256.0	132500.0
257.0	131402.0
258.0	131165.0
259.0	129770.0
260.0	128979.0
261.0	128552.0
262.0	127954.0
263.0	126883.0
264.0	126093.0
265.0	124789.0
266.0	124333.0
267.0	123624.0
268.0	122606.0
269.0	121171.0
270.0	120724.0
271.0	119782.0
272.0	119025.0
273.0	118578.0
274.0	117565.0
275.0	116371.0
276.0	115736.0
277.0	115340.0
278.0	114419.0
279.0	113277.0
280.0	112249.0
281.0	111271.0
282.0	110022.0
283.0	109786.0
284.0	109389.0
285.0	108397.0
286.0	107334.0
287.0	106920.0
288.0	105780.0
289.0	105050.0
290.0	103776.0
291.0	103381.0
292.0	101675.0
293.0	101414.0
294.0	100952.0
295.0	100379.0
296.0	99819.0
297.0	98416.0
298.0	97244.0
299.0	97025.0
300.0	95829.0
301.0	95242.0
302.0	94002.0
303.0	93181.0
304.0	92760.0
305.0	91939.0
306.0	90623.0
307.0	90356.0
308.0	89229.0
309.0	88933.0
310.0	87026.0
311.0	86892.0
312.0	86349.0
313.0	85440.0
314.0	84687.0
315.0	83768.0
316.0	83002.0
317.0	82321.0
318.0	81218.0
319.0	80902.0
320.0	79775.0
321.0	79746.0
322.0	79015.0
323.0	78064.0
324.0	77049.0
325.0	76587.0
326.0	75673.0
327.0	75531.0
