#Mapping quality	mapping quality
0.0	3.6512883E7
1.0	6439553.0
2.0	5711932.0
3.0	5582649.0
4.0	5036838.0
5.0	4808394.0
6.0	4801199.0
7.0	4453891.0
8.0	4388366.0
9.0	4448395.0
10.0	4415745.0
11.0	4068308.0
12.0	4181501.0
13.0	4702736.0
14.0	3980317.0
15.0	4372388.0
16.0	4309689.0
17.0	4221214.0
18.0	4347597.0
19.0	4276359.0
20.0	5392289.0
21.0	4714479.0
22.0	4733944.0
23.0	4780372.0
24.0	5105804.0
25.0	5238734.0
26.0	5354391.0
27.0	5752771.0
28.0	5422261.0
29.0	5510411.0
30.0	6873870.0
31.0	6018771.0
32.0	6262298.0
33.0	6688918.0
34.0	6581763.0
35.0	6822418.0
36.0	7344867.0
37.0	7294955.0
38.0	7311792.0
39.0	7499344.0
40.0	1.1192284E7
41.0	8220771.0
42.0	8862703.0
43.0	8841696.0
44.0	9139997.0
45.0	1.0926778E7
46.0	1.0284335E7
47.0	9987406.0
48.0	1.2214505E7
49.0	1.0735216E7
50.0	1.4058182E7
51.0	1.3244603E7
52.0	1.3955555E7
53.0	1.5297749E7
54.0	1.5288008E7
55.0	1.7422995E7
56.0	2.0087803E7
57.0	2.3374017E7
58.0	2.6005043E7
59.0	2.5338254E7
60.0	2.252571427E9
