#Coverage	Number of genomic locations
0.0	2.185213401E9
1.0	4.96176166E8
2.0	9.5201991E7
3.0	2.259632E7
4.0	7757889.0
5.0	3483011.0
6.0	1769987.0
7.0	982389.0
8.0	579079.0
9.0	364036.0
10.0	235728.0
11.0	163262.0
12.0	114482.0
13.0	84117.0
14.0	64550.0
15.0	49703.0
16.0	39553.0
17.0	31674.0
18.0	26834.0
19.0	22493.0
20.0	20252.0
21.0	17693.0
22.0	15729.0
23.0	13632.0
24.0	12783.0
25.0	11461.0
26.0	10932.0
27.0	10401.0
28.0	10086.0
29.0	9243.0
30.0	8764.0
31.0	7890.0
32.0	7637.0
33.0	7301.0
34.0	6946.0
35.0	6949.0
36.0	6397.0
37.0	5910.0
38.0	5952.0
39.0	5460.0
40.0	4961.0
41.0	5047.0
42.0	4755.0
43.0	4454.0
44.0	4140.0
45.0	4058.0
46.0	3699.0
47.0	3806.0
48.0	3531.0
49.0	3476.0
50.0	3249.0
51.0	3099.0
52.0	2907.0
53.0	2851.0
54.0	2740.0
55.0	2744.0
56.0	2532.0
57.0	2524.0
58.0	2447.0
59.0	2541.0
60.0	2468.0
61.0	2418.0
62.0	2213.0
63.0	2173.0
64.0	2172.0
65.0	2313.0
66.0	2251.0
67.0	2062.0
68.0	2065.0
69.0	1990.0
70.0	2031.0
71.0	1927.0
72.0	1916.0
73.0	1759.0
74.0	1757.0
75.0	1848.0
76.0	1735.0
77.0	1688.0
78.0	1640.0
79.0	1570.0
80.0	1582.0
81.0	1603.0
82.0	1526.0
83.0	1500.0
84.0	1480.0
85.0	1478.0
86.0	1339.0
87.0	1327.0
88.0	1264.0
89.0	1305.0
90.0	1154.0
91.0	1157.0
92.0	1185.0
93.0	1203.0
94.0	1173.0
95.0	1162.0
96.0	1028.0
97.0	1107.0
98.0	1076.0
99.0	1077.0
100.0	1030.0
101.0	938.0
102.0	994.0
103.0	1004.0
104.0	883.0
105.0	951.0
106.0	922.0
107.0	902.0
108.0	841.0
109.0	797.0
110.0	826.0
111.0	755.0
112.0	712.0
113.0	730.0
