#Coverage	Number of genomic locations
0.0	4.4294747E7
1.0	7.1545745E7
2.0	1.47801197E8
3.0	2.38531576E8
4.0	3.14312632E8
5.0	3.52761114E8
6.0	3.47610152E8
7.0	3.07727964E8
8.0	2.49485351E8
9.0	1.88152656E8
10.0	1.34016057E8
11.0	9.1515739E7
12.0	6.0977012E7
13.0	4.0477363E7
14.0	2.741656E7
15.0	1.9356593E7
16.0	1.4522689E7
17.0	1.1562802E7
18.0	9721957.0
19.0	8492068.0
20.0	7627239.0
21.0	6969590.0
22.0	6442954.0
23.0	5975588.0
24.0	5573423.0
25.0	5206613.0
26.0	4882844.0
27.0	4561710.0
28.0	4276271.0
29.0	4009923.0
30.0	3766555.0
31.0	3531764.0
32.0	3311911.0
33.0	3119400.0
34.0	2934983.0
35.0	2761998.0
36.0	2604390.0
37.0	2456689.0
38.0	2315251.0
39.0	2186076.0
40.0	2064823.0
41.0	1956964.0
42.0	1854848.0
43.0	1754442.0
44.0	1663942.0
45.0	1583993.0
46.0	1507361.0
47.0	1433317.0
48.0	1368459.0
49.0	1309050.0
50.0	1255609.0
51.0	1198085.0
52.0	1143997.0
53.0	1098443.0
54.0	1056355.0
55.0	1015258.0
56.0	976910.0
57.0	940228.0
58.0	907434.0
59.0	872860.0
60.0	839576.0
61.0	807936.0
62.0	776345.0
63.0	746105.0
64.0	717248.0
65.0	688796.0
66.0	661003.0
67.0	634215.0
68.0	610016.0
69.0	580631.0
70.0	555622.0
71.0	531554.0
72.0	509587.0
73.0	485724.0
74.0	465946.0
75.0	447703.0
76.0	427852.0
77.0	408465.0
78.0	390866.0
79.0	375358.0
80.0	359596.0
81.0	342960.0
82.0	328792.0
83.0	313697.0
84.0	301107.0
85.0	287127.0
86.0	275825.0
87.0	265185.0
88.0	253296.0
89.0	242856.0
90.0	233407.0
91.0	225046.0
92.0	215102.0
93.0	206449.0
94.0	198639.0
95.0	192818.0
96.0	185458.0
97.0	179220.0
98.0	172512.0
99.0	166712.0
100.0	161064.0
101.0	156766.0
102.0	151340.0
103.0	145986.0
104.0	140891.0
105.0	136439.0
106.0	132413.0
107.0	128674.0
108.0	124430.0
109.0	121329.0
110.0	117887.0
111.0	113617.0
112.0	112023.0
113.0	108726.0
114.0	106381.0
115.0	103286.0
116.0	101484.0
117.0	98833.0
118.0	96623.0
119.0	94076.0
120.0	91867.0
121.0	89373.0
122.0	87159.0
123.0	84908.0
124.0	82171.0
125.0	80179.0
126.0	78330.0
127.0	76255.0
128.0	73967.0
129.0	71677.0
130.0	69431.0
131.0	67894.0
132.0	66679.0
133.0	64767.0
134.0	63165.0
135.0	61791.0
136.0	60983.0
137.0	59731.0
138.0	58317.0
139.0	56606.0
140.0	55935.0
141.0	54090.0
142.0	52751.0
143.0	52083.0
144.0	50655.0
145.0	49560.0
146.0	48549.0
147.0	47267.0
148.0	46185.0
149.0	45603.0
150.0	44031.0
151.0	43350.0
152.0	42124.0
153.0	41238.0
154.0	39970.0
155.0	38919.0
156.0	38122.0
157.0	37443.0
158.0	35910.0
159.0	34859.0
160.0	33411.0
161.0	33286.0
162.0	32393.0
163.0	31633.0
164.0	30707.0
165.0	30134.0
166.0	29227.0
167.0	28642.0
168.0	27582.0
169.0	27574.0
170.0	26444.0
171.0	25767.0
172.0	25166.0
173.0	24697.0
174.0	24096.0
175.0	24047.0
176.0	23805.0
177.0	23068.0
178.0	22692.0
179.0	22314.0
180.0	21722.0
181.0	21202.0
182.0	20745.0
183.0	20623.0
184.0	20229.0
185.0	19956.0
186.0	19399.0
187.0	18907.0
188.0	18736.0
189.0	18251.0
190.0	17903.0
191.0	17162.0
192.0	16948.0
193.0	16592.0
194.0	16131.0
195.0	15877.0
196.0	15554.0
197.0	15348.0
198.0	14815.0
199.0	15081.0
200.0	14613.0
201.0	14347.0
202.0	13820.0
203.0	13742.0
204.0	13392.0
205.0	13135.0
206.0	12649.0
207.0	12629.0
208.0	12314.0
209.0	12130.0
210.0	11918.0
211.0	11642.0
212.0	11592.0
213.0	11269.0
214.0	10772.0
215.0	10729.0
216.0	10472.0
217.0	10407.0
218.0	10285.0
219.0	10041.0
220.0	9800.0
221.0	9695.0
222.0	9343.0
223.0	9098.0
224.0	8973.0
225.0	8917.0
226.0	8786.0
227.0	8655.0
228.0	8323.0
229.0	8218.0
230.0	8206.0
231.0	7896.0
232.0	7908.0
233.0	7796.0
234.0	7606.0
235.0	7375.0
236.0	7099.0
237.0	7165.0
238.0	6902.0
239.0	6879.0
240.0	6689.0
241.0	6507.0
242.0	6621.0
243.0	6579.0
244.0	6303.0
245.0	6242.0
246.0	6139.0
247.0	5972.0
248.0	5901.0
249.0	5757.0
250.0	5766.0
251.0	5783.0
252.0	5560.0
253.0	5626.0
254.0	5559.0
255.0	5570.0
256.0	5382.0
257.0	5401.0
258.0	5379.0
259.0	5242.0
260.0	5140.0
261.0	5045.0
262.0	4910.0
263.0	4841.0
264.0	4739.0
265.0	4504.0
266.0	4476.0
267.0	4461.0
268.0	4278.0
269.0	4424.0
270.0	4403.0
271.0	4178.0
272.0	4079.0
273.0	4107.0
274.0	4029.0
275.0	4014.0
276.0	3960.0
277.0	3976.0
278.0	4042.0
279.0	3855.0
280.0	3772.0
281.0	3906.0
282.0	3863.0
283.0	3747.0
284.0	3809.0
285.0	3689.0
286.0	3591.0
287.0	3545.0
288.0	3600.0
289.0	3624.0
290.0	3585.0
291.0	3561.0
292.0	3417.0
293.0	3372.0
294.0	3410.0
295.0	3355.0
296.0	3411.0
297.0	3266.0
298.0	3253.0
299.0	3140.0
300.0	3074.0
301.0	3077.0
302.0	3095.0
303.0	3144.0
304.0	2955.0
305.0	2949.0
306.0	2953.0
307.0	2879.0
308.0	3003.0
309.0	2983.0
310.0	2928.0
311.0	2826.0
312.0	2821.0
313.0	2769.0
314.0	2808.0
315.0	2716.0
316.0	2720.0
317.0	2724.0
318.0	2641.0
319.0	2653.0
320.0	2577.0
321.0	2587.0
322.0	2584.0
323.0	2650.0
324.0	2637.0
325.0	2651.0
326.0	2572.0
327.0	2529.0
328.0	2489.0
329.0	2420.0
330.0	2365.0
331.0	2431.0
332.0	2408.0
333.0	2382.0
334.0	2287.0
335.0	2234.0
336.0	2166.0
337.0	2223.0
338.0	2075.0
339.0	2119.0
340.0	2044.0
341.0	2050.0
342.0	2036.0
343.0	2064.0
344.0	1989.0
345.0	2022.0
346.0	2062.0
347.0	1993.0
348.0	1941.0
349.0	1972.0
350.0	2022.0
351.0	2062.0
352.0	2057.0
353.0	1913.0
354.0	2036.0
355.0	1855.0
356.0	1859.0
357.0	1877.0
358.0	1853.0
359.0	1935.0
360.0	1838.0
361.0	1735.0
362.0	1767.0
363.0	1724.0
364.0	1620.0
365.0	1685.0
366.0	1574.0
367.0	1709.0
368.0	1623.0
369.0	1627.0
370.0	1597.0
371.0	1574.0
372.0	1496.0
373.0	1540.0
374.0	1569.0
375.0	1439.0
376.0	1395.0
377.0	1385.0
378.0	1383.0
379.0	1361.0
380.0	1394.0
381.0	1289.0
382.0	1262.0
383.0	1252.0
384.0	1212.0
385.0	1204.0
386.0	1240.0
387.0	1209.0
388.0	1150.0
389.0	1154.0
390.0	1152.0
391.0	1105.0
392.0	1156.0
393.0	1164.0
394.0	1138.0
395.0	1064.0
396.0	1107.0
397.0	1076.0
398.0	1174.0
399.0	1111.0
400.0	1108.0
401.0	1058.0
402.0	1105.0
403.0	1072.0
404.0	1063.0
405.0	1045.0
406.0	988.0
407.0	1018.0
408.0	1020.0
409.0	978.0
410.0	1029.0
411.0	977.0
412.0	993.0
413.0	997.0
414.0	941.0
415.0	930.0
