#Duplication rate	Coverage
1.0	9774395.0
2.0	380022.0
3.0	34949.0
4.0	12578.0
5.0	7881.0
6.0	5697.0
7.0	4129.0
8.0	3067.0
9.0	2337.0
10.0	1803.0
11.0	1370.0
12.0	1085.0
13.0	920.0
14.0	646.0
15.0	538.0
16.0	435.0
17.0	369.0
18.0	297.0
19.0	232.0
20.0	173.0
21.0	155.0
22.0	105.0
23.0	107.0
24.0	84.0
25.0	67.0
26.0	79.0
27.0	44.0
28.0	47.0
29.0	41.0
30.0	28.0
31.0	24.0
32.0	24.0
33.0	24.0
34.0	18.0
35.0	16.0
36.0	15.0
37.0	18.0
38.0	15.0
39.0	18.0
40.0	12.0
41.0	12.0
42.0	19.0
43.0	13.0
44.0	13.0
45.0	4.0
46.0	9.0
47.0	3.0
48.0	11.0
49.0	7.0
50.0	145.0
