#Duplication rate	Coverage
1.0	1.07970964E8
2.0	9584158.0
3.0	1347423.0
4.0	349112.0
5.0	129603.0
6.0	64076.0
7.0	38111.0
8.0	26017.0
9.0	18861.0
10.0	14701.0
11.0	11717.0
12.0	9893.0
13.0	8364.0
14.0	7213.0
15.0	6462.0
16.0	5501.0
17.0	4952.0
18.0	4439.0
19.0	3955.0
20.0	3665.0
21.0	3325.0
22.0	3022.0
23.0	2772.0
24.0	2661.0
25.0	2516.0
26.0	2360.0
27.0	2127.0
28.0	2142.0
29.0	1903.0
30.0	1973.0
31.0	1791.0
32.0	1734.0
33.0	1617.0
34.0	1591.0
35.0	1545.0
36.0	1509.0
37.0	1333.0
38.0	1359.0
39.0	1276.0
40.0	1252.0
41.0	1245.0
42.0	1194.0
43.0	1119.0
44.0	1049.0
45.0	1006.0
46.0	976.0
47.0	927.0
48.0	883.0
49.0	920.0
50.0	28566.0
