#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	0.0
8.0	1.6397770559114782E-6
9.0	1.6397770559114782E-6
10.0	0.0
11.0	0.0
12.0	4.919331167734435E-6
13.0	0.0
14.0	4.919331167734435E-6
15.0	4.919331167734435E-6
16.0	6.559108223645913E-6
17.0	1.1478439391380349E-5
18.0	1.6397770559114782E-6
19.0	2.1317101726849213E-5
20.0	2.2956878782760694E-5
21.0	3.7714872285964005E-5
22.0	7.215019046010505E-5
23.0	1.656174826470593E-4
24.0	2.722029912813054E-4
25.0	6.395130518054765E-4
26.0	0.0011134086209638938
27.0	0.002159586382635417
28.0	0.004004335570535831
29.0	0.006944455831785111
30.0	0.01181295391078629
31.0	0.018109697805486366
32.0	0.026744763781916214
33.0	0.03583896733400127
34.0	0.04665493679479338
35.0	0.05446847446621157
36.0	0.06026836591297047
37.0	0.06096691093878877
38.0	0.0604143060709466
39.0	0.05803498956281904
40.0	0.05530476076472643
41.0	0.052158028594432304
42.0	0.048880114259665264
43.0	0.04581701071922262
44.0	0.0407287825147293
45.0	0.03724097671680559
46.0	0.03300871213549805
47.0	0.029091284748925535
48.0	0.025149260706514343
49.0	0.02246986499715499
50.0	0.02028896151279272
51.0	0.02008070982669196
52.0	0.014266060386429861
53.0	0.014482510957810175
54.0	0.013060824250334925
55.0	0.011504675824274932
56.0	0.010668389525760078
57.0	0.00920734816894295
58.0	0.008251358145346556
59.0	0.007344561433427513
60.0	0.006345937206377421
61.0	0.005276802565923138
62.0	0.004645488399397218
63.0	0.0038665942978392655
64.0	0.002953238477696573
65.0	0.0025252566661036766
66.0	0.0017660398892166622
67.0	0.001351176294071058
68.0	9.035171578072246E-4
69.0	6.214755041904503E-4
70.0	3.837078310832859E-4
71.0	2.836814306726857E-4
72.0	1.7381636792661672E-4
73.0	1.5085948914385602E-4
74.0	1.0986506274606905E-4
75.0	9.838662335468868E-5
76.0	8.19888527955739E-5
77.0	6.723085929237061E-5
78.0	6.723085929237062E-5
79.0	5.7392196956901745E-5
80.0	5.2472865789167296E-5
81.0	6.06717510687247E-5
82.0	4.755353462143286E-5
83.0	4.919331167734435E-5
84.0	3.6075095230052525E-5
85.0	2.787620995049513E-5
86.0	2.2956878782760697E-5
87.0	2.623643289458365E-5
88.0	1.8037547615026262E-5
89.0	9.83866233546887E-6
90.0	9.83866233546887E-6
91.0	0.0
92.0	3.2795541118229565E-6
93.0	4.919331167734435E-6
94.0	0.0
95.0	0.0
96.0	0.0
97.0	1.6397770559114782E-6
98.0	1.6397770559114782E-6
99.0	0.0
100.0	8.854796101921983E-5
