#Mapping quality	mapping quality
0.0	6.8239926E7
1.0	2604064.0
2.0	2812008.0
3.0	3197605.0
4.0	3447490.0
5.0	3059683.0
6.0	3303513.0
7.0	3857121.0
8.0	5087546.0
9.0	3618275.0
10.0	2608243.0
11.0	2283845.0
12.0	1827998.0
13.0	1556765.0
14.0	1394263.0
15.0	1399884.0
16.0	1400143.0
17.0	1495143.0
18.0	1472121.0
19.0	1514409.0
20.0	1808691.0
21.0	2068579.0
22.0	2993202.0
23.0	2465794.0
24.0	2030566.0
25.0	1861149.0
26.0	1654302.0
27.0	1704591.0
28.0	1425101.0
29.0	1359480.0
30.0	2344663.0
31.0	1636689.0
32.0	1781453.0
33.0	1785303.0
34.0	1717043.0
35.0	1543535.0
36.0	1301350.0
37.0	1282638.0
38.0	1203628.0
39.0	1242198.0
40.0	1325901.0
41.0	1225618.0
42.0	1249139.0
43.0	1454684.0
44.0	1196043.0
45.0	1312365.0
46.0	1222433.0
47.0	1179264.0
48.0	1207261.0
49.0	1030752.0
50.0	1053411.0
51.0	1019993.0
52.0	1063972.0
53.0	929817.0
54.0	1324633.0
55.0	997822.0
56.0	1011435.0
57.0	994493.0
58.0	985720.0
59.0	899520.0
60.0	4.31626741E8
