#Insert size (bp)	insert size
2.0	479.0
3.0	452.0
4.0	429.0
5.0	472.0
6.0	493.0
7.0	483.0
8.0	524.0
9.0	491.0
10.0	488.0
11.0	594.0
12.0	557.0
13.0	541.0
14.0	510.0
15.0	495.0
16.0	523.0
17.0	577.0
18.0	554.0
19.0	6023.0
20.0	7057.0
21.0	5215.0
22.0	3169.0
23.0	1966.0
24.0	1347.0
25.0	1224.0
26.0	1075.0
27.0	1004.0
28.0	1091.0
29.0	1020.0
30.0	953.0
31.0	1005.0
32.0	1089.0
33.0	1043.0
34.0	1141.0
35.0	1126.0
36.0	1218.0
37.0	1204.0
38.0	1222.0
39.0	1343.0
40.0	1260.0
41.0	1345.0
42.0	1395.0
43.0	1428.0
44.0	1531.0
45.0	1491.0
46.0	1525.0
47.0	1605.0
48.0	1626.0
49.0	1594.0
50.0	1620.0
51.0	1642.0
52.0	1715.0
53.0	1782.0
54.0	1692.0
55.0	1785.0
56.0	1881.0
57.0	1921.0
58.0	1955.0
59.0	2061.0
60.0	1932.0
61.0	2009.0
62.0	2055.0
63.0	2008.0
64.0	2097.0
65.0	2092.0
66.0	2028.0
67.0	1977.0
68.0	2173.0
69.0	2118.0
70.0	2226.0
71.0	2198.0
72.0	2271.0
73.0	2266.0
74.0	2261.0
75.0	2419.0
76.0	2509.0
77.0	2462.0
78.0	2543.0
79.0	2540.0
80.0	2642.0
81.0	2658.0
82.0	2746.0
83.0	2737.0
84.0	2794.0
85.0	2775.0
86.0	2824.0
87.0	2815.0
88.0	2839.0
89.0	2845.0
90.0	2925.0
91.0	2943.0
92.0	2915.0
93.0	2837.0
94.0	3047.0
95.0	2971.0
96.0	2875.0
97.0	2917.0
98.0	3057.0
99.0	3127.0
100.0	3088.0
101.0	2955.0
102.0	2975.0
103.0	3128.0
104.0	3221.0
105.0	3217.0
106.0	3127.0
107.0	3073.0
108.0	2979.0
109.0	3129.0
110.0	3140.0
111.0	3068.0
112.0	3132.0
113.0	3241.0
114.0	3266.0
115.0	3292.0
116.0	3569.0
117.0	3816.0
118.0	3663.0
119.0	3717.0
120.0	3635.0
121.0	3747.0
122.0	3780.0
123.0	3834.0
124.0	4018.0
125.0	4036.0
126.0	4192.0
127.0	4209.0
128.0	4516.0
129.0	4613.0
130.0	4574.0
131.0	4992.0
132.0	4977.0
133.0	5175.0
134.0	5556.0
135.0	5745.0
136.0	5955.0
137.0	6274.0
138.0	6703.0
139.0	7278.0
140.0	7911.0
141.0	8744.0
142.0	9973.0
143.0	13161.0
144.0	113022.0
145.0	118536.0
146.0	121851.0
147.0	124048.0
148.0	125604.0
149.0	128063.0
150.0	129327.0
151.0	132534.0
152.0	134092.0
153.0	135702.0
154.0	137878.0
155.0	140075.0
156.0	141465.0
157.0	143402.0
158.0	145415.0
159.0	147318.0
160.0	148627.0
161.0	150807.0
162.0	153234.0
163.0	154919.0
164.0	157993.0
165.0	159618.0
166.0	162243.0
167.0	163847.0
168.0	165893.0
169.0	167832.0
170.0	169627.0
171.0	171493.0
172.0	173604.0
173.0	176473.0
174.0	178744.0
175.0	180741.0
176.0	183776.0
177.0	184513.0
178.0	187196.0
179.0	188754.0
180.0	191614.0
181.0	193212.0
182.0	196140.0
183.0	198299.0
184.0	200326.0
185.0	202764.0
186.0	205209.0
187.0	207481.0
188.0	210052.0
189.0	210835.0
190.0	215165.0
191.0	216891.0
192.0	219506.0
193.0	221665.0
194.0	223951.0
195.0	226968.0
196.0	228229.0
197.0	231182.0
198.0	232414.0
199.0	235399.0
200.0	237754.0
201.0	239042.0
202.0	241268.0
203.0	243890.0
204.0	244658.0
205.0	247581.0
206.0	250323.0
207.0	252141.0
208.0	254559.0
209.0	257274.0
210.0	259374.0
211.0	260800.0
212.0	263644.0
213.0	264611.0
214.0	267550.0
215.0	268947.0
216.0	270957.0
217.0	273923.0
218.0	274945.0
219.0	277098.0
220.0	278677.0
221.0	280345.0
222.0	282745.0
223.0	284226.0
224.0	285490.0
225.0	288607.0
226.0	289681.0
227.0	291094.0
228.0	293069.0
229.0	294231.0
230.0	296453.0
231.0	296728.0
232.0	299505.0
233.0	300015.0
234.0	302059.0
235.0	304359.0
236.0	304192.0
237.0	306234.0
238.0	307727.0
239.0	309111.0
240.0	310004.0
241.0	310411.0
242.0	312043.0
243.0	313556.0
244.0	314615.0
245.0	315032.0
246.0	316513.0
247.0	316806.0
248.0	317610.0
249.0	318052.0
250.0	320231.0
251.0	320793.0
252.0	321314.0
253.0	322423.0
254.0	322135.0
255.0	323112.0
256.0	322891.0
257.0	324056.0
258.0	323672.0
259.0	324902.0
260.0	324440.0
261.0	325110.0
262.0	325084.0
263.0	325054.0
264.0	324933.0
265.0	325467.0
266.0	326771.0
267.0	325873.0
268.0	325504.0
269.0	324784.0
270.0	324858.0
271.0	325143.0
272.0	324487.0
273.0	324115.0
274.0	324319.0
275.0	323720.0
276.0	322850.0
277.0	323114.0
278.0	322208.0
279.0	322768.0
280.0	321055.0
281.0	320149.0
282.0	320302.0
283.0	319420.0
284.0	317892.0
285.0	317682.0
286.0	317009.0
287.0	316042.0
288.0	315378.0
289.0	313817.0
290.0	312455.0
291.0	311548.0
292.0	309681.0
293.0	309628.0
294.0	308377.0
295.0	308309.0
296.0	306404.0
297.0	304862.0
298.0	305386.0
299.0	303096.0
300.0	303207.0
301.0	300527.0
302.0	298322.0
303.0	299414.0
304.0	296853.0
305.0	295413.0
306.0	294629.0
307.0	292850.0
308.0	291191.0
309.0	289961.0
310.0	288317.0
311.0	287365.0
312.0	286086.0
313.0	283724.0
314.0	282525.0
315.0	281130.0
316.0	279783.0
317.0	278782.0
318.0	276282.0
319.0	274972.0
320.0	274278.0
321.0	271688.0
322.0	269978.0
323.0	269670.0
324.0	266448.0
325.0	264724.0
326.0	263225.0
327.0	262439.0
328.0	260597.0
329.0	258523.0
330.0	257450.0
331.0	255396.0
332.0	253318.0
333.0	252313.0
334.0	250237.0
335.0	248159.0
336.0	245927.0
337.0	246390.0
338.0	244311.0
339.0	241784.0
340.0	239901.0
341.0	238741.0
342.0	237370.0
343.0	235086.0
344.0	234326.0
345.0	231274.0
346.0	230935.0
347.0	228700.0
348.0	227587.0
349.0	225095.0
350.0	222537.0
351.0	221845.0
352.0	220788.0
353.0	218180.0
354.0	216635.0
355.0	215653.0
356.0	213743.0
357.0	212717.0
358.0	210751.0
359.0	209240.0
360.0	206795.0
361.0	205248.0
362.0	202986.0
363.0	202669.0
364.0	200923.0
365.0	198809.0
366.0	197152.0
367.0	196508.0
368.0	194193.0
369.0	193341.0
370.0	191994.0
371.0	189699.0
372.0	188111.0
373.0	186503.0
374.0	185251.0
375.0	184453.0
376.0	181669.0
377.0	181499.0
378.0	178428.0
379.0	178827.0
380.0	176670.0
381.0	174437.0
382.0	173631.0
383.0	172588.0
384.0	170330.0
385.0	169188.0
386.0	167712.0
387.0	166237.0
388.0	165124.0
389.0	163532.0
390.0	161606.0
391.0	161291.0
392.0	159511.0
393.0	157913.0
394.0	156374.0
395.0	154999.0
396.0	154515.0
397.0	152127.0
398.0	150690.0
399.0	150701.0
400.0	149274.0
401.0	147679.0
402.0	146800.0
403.0	145504.0
404.0	143145.0
405.0	142842.0
406.0	141307.0
407.0	140069.0
408.0	139641.0
409.0	137582.0
410.0	136608.0
411.0	135480.0
412.0	133910.0
413.0	133352.0
414.0	132060.0
415.0	130299.0
416.0	129920.0
417.0	128145.0
418.0	127459.0
419.0	125825.0
420.0	125061.0
421.0	124157.0
422.0	123053.0
423.0	121919.0
424.0	120251.0
425.0	119767.0
426.0	118149.0
427.0	118020.0
428.0	116055.0
429.0	115347.0
430.0	114665.0
431.0	113090.0
432.0	112063.0
433.0	110504.0
434.0	109657.0
435.0	108221.0
436.0	107300.0
437.0	106152.0
438.0	106069.0
439.0	104234.0
440.0	103395.0
441.0	102965.0
442.0	102013.0
443.0	101258.0
444.0	100086.0
445.0	98770.0
446.0	97722.0
447.0	97065.0
448.0	96478.0
449.0	95346.0
450.0	94260.0
451.0	94003.0
452.0	92767.0
453.0	92217.0
454.0	91405.0
455.0	90573.0
456.0	89775.0
457.0	88892.0
458.0	88089.0
459.0	87509.0
460.0	86527.0
461.0	85830.0
462.0	84543.0
463.0	83904.0
464.0	83461.0
465.0	82747.0
466.0	81616.0
467.0	81675.0
468.0	80533.0
469.0	80370.0
470.0	78958.0
471.0	77456.0
472.0	78101.0
473.0	76719.0
474.0	76238.0
475.0	76100.0
476.0	74580.0
477.0	74599.0
478.0	73386.0
479.0	72390.0
480.0	72178.0
481.0	71667.0
482.0	70837.0
483.0	70152.0
484.0	69563.0
485.0	68721.0
486.0	67998.0
487.0	68132.0
488.0	67441.0
489.0	66644.0
490.0	66105.0
491.0	65173.0
492.0	65052.0
493.0	63826.0
494.0	63892.0
495.0	62861.0
496.0	62739.0
497.0	62106.0
498.0	61021.0
499.0	60863.0
500.0	60123.0
501.0	60257.0
502.0	59416.0
503.0	58408.0
504.0	58742.0
505.0	57591.0
506.0	57015.0
507.0	56850.0
508.0	55587.0
509.0	55287.0
510.0	54764.0
511.0	53970.0
512.0	54187.0
513.0	53205.0
514.0	53454.0
515.0	51669.0
516.0	51966.0
517.0	51176.0
518.0	50647.0
519.0	50187.0
520.0	49973.0
521.0	48963.0
522.0	49023.0
523.0	48353.0
524.0	48216.0
525.0	47057.0
526.0	47067.0
527.0	46898.0
528.0	46720.0
529.0	45873.0
530.0	45496.0
531.0	45399.0
532.0	44613.0
533.0	44398.0
534.0	43787.0
535.0	43421.0
536.0	43127.0
537.0	42757.0
538.0	42621.0
539.0	42173.0
540.0	41866.0
541.0	41493.0
542.0	41266.0
543.0	40629.0
544.0	40562.0
545.0	40075.0
546.0	39348.0
547.0	39355.0
548.0	38899.0
549.0	38724.0
550.0	38455.0
551.0	37747.0
552.0	37472.0
553.0	37137.0
554.0	36928.0
555.0	36496.0
556.0	36302.0
557.0	36330.0
558.0	35773.0
559.0	35468.0
560.0	35283.0
561.0	34908.0
562.0	34647.0
563.0	33777.0
564.0	34048.0
565.0	33294.0
566.0	33269.0
567.0	32932.0
568.0	32509.0
569.0	32161.0
570.0	31759.0
571.0	31775.0
572.0	31589.0
573.0	31387.0
574.0	31122.0
575.0	30730.0
576.0	29475.0
577.0	29872.0
578.0	29566.0
579.0	29275.0
580.0	29274.0
581.0	28999.0
582.0	28588.0
583.0	28509.0
584.0	27896.0
585.0	27910.0
586.0	27697.0
587.0	27224.0
588.0	27434.0
589.0	27027.0
590.0	26832.0
591.0	26271.0
592.0	26462.0
593.0	26102.0
594.0	26226.0
595.0	25692.0
596.0	25254.0
597.0	25145.0
598.0	24999.0
599.0	24714.0
600.0	24712.0
601.0	24079.0
602.0	24155.0
603.0	23968.0
604.0	23984.0
605.0	23488.0
606.0	23171.0
607.0	22929.0
608.0	23012.0
609.0	22867.0
610.0	22635.0
611.0	22547.0
612.0	21975.0
613.0	22205.0
614.0	21587.0
615.0	21634.0
616.0	21488.0
617.0	20948.0
618.0	21001.0
619.0	20508.0
620.0	20367.0
621.0	20410.0
622.0	20266.0
623.0	19903.0
624.0	19651.0
625.0	19632.0
626.0	19355.0
627.0	19257.0
628.0	19045.0
629.0	18874.0
630.0	18916.0
631.0	18505.0
632.0	18309.0
633.0	18280.0
634.0	18232.0
635.0	17878.0
636.0	17685.0
637.0	17719.0
638.0	17508.0
639.0	17183.0
640.0	17236.0
641.0	17220.0
642.0	17066.0
643.0	16787.0
644.0	16634.0
645.0	16417.0
646.0	16429.0
647.0	16259.0
648.0	15891.0
649.0	15965.0
650.0	15979.0
651.0	15586.0
652.0	15488.0
653.0	15371.0
654.0	15512.0
655.0	15042.0
656.0	15101.0
657.0	14801.0
658.0	14832.0
659.0	14584.0
660.0	14370.0
661.0	14212.0
662.0	13962.0
663.0	14010.0
664.0	13910.0
665.0	13579.0
666.0	13530.0
667.0	13497.0
668.0	13360.0
669.0	13074.0
670.0	13222.0
671.0	12830.0
672.0	12794.0
673.0	12613.0
674.0	12467.0
675.0	12366.0
676.0	12389.0
677.0	12316.0
678.0	11958.0
679.0	11939.0
680.0	11831.0
681.0	11834.0
682.0	11675.0
683.0	11409.0
684.0	11605.0
685.0	11197.0
686.0	11268.0
687.0	11352.0
688.0	10920.0
689.0	10922.0
690.0	11001.0
691.0	10813.0
692.0	10760.0
693.0	10671.0
694.0	10577.0
695.0	10528.0
696.0	10106.0
697.0	10333.0
698.0	10280.0
699.0	10022.0
700.0	9939.0
701.0	9612.0
702.0	9719.0
703.0	9484.0
704.0	9330.0
705.0	9338.0
706.0	9319.0
707.0	9171.0
708.0	9030.0
709.0	8986.0
710.0	8945.0
711.0	8743.0
712.0	8688.0
713.0	8588.0
714.0	8531.0
715.0	8506.0
716.0	8463.0
717.0	8343.0
718.0	8260.0
719.0	8183.0
720.0	7903.0
721.0	8138.0
722.0	7995.0
723.0	7647.0
724.0	7653.0
725.0	7679.0
726.0	7519.0
727.0	7569.0
728.0	7607.0
729.0	7417.0
730.0	7475.0
731.0	7213.0
732.0	7252.0
733.0	7052.0
734.0	7018.0
735.0	6895.0
736.0	6837.0
737.0	6858.0
738.0	6721.0
739.0	6856.0
740.0	6579.0
741.0	6365.0
