#Coverage	Number of genomic locations
0.0	2.364652859E9
1.0	3.58053915E8
2.0	6.8000551E7
3.0	1.561657E7
4.0	4761351.0
5.0	1907127.0
6.0	875280.0
7.0	453167.0
8.0	250789.0
9.0	153729.0
10.0	99921.0
11.0	68251.0
12.0	49507.0
13.0	37082.0
14.0	29513.0
15.0	24447.0
16.0	21299.0
17.0	17970.0
18.0	15435.0
19.0	14145.0
20.0	13081.0
21.0	11574.0
22.0	10815.0
23.0	10262.0
24.0	10093.0
25.0	9218.0
26.0	8634.0
27.0	8866.0
28.0	8143.0
29.0	7794.0
30.0	7439.0
31.0	6928.0
32.0	6681.0
33.0	6140.0
34.0	5803.0
35.0	5203.0
36.0	4816.0
37.0	4602.0
38.0	4024.0
39.0	3585.0
40.0	3489.0
41.0	3360.0
42.0	3062.0
43.0	3065.0
44.0	2764.0
45.0	2687.0
46.0	2619.0
47.0	2535.0
48.0	2523.0
49.0	2284.0
50.0	2378.0
51.0	2191.0
52.0	2320.0
53.0	2145.0
54.0	2045.0
55.0	1966.0
56.0	2030.0
57.0	1807.0
58.0	1640.0
59.0	1718.0
60.0	1818.0
61.0	1768.0
62.0	1771.0
63.0	1720.0
64.0	1546.0
65.0	1462.0
66.0	1377.0
67.0	1319.0
68.0	1250.0
69.0	1143.0
70.0	1090.0
71.0	1040.0
72.0	1081.0
73.0	944.0
74.0	978.0
75.0	863.0
76.0	890.0
77.0	823.0
78.0	767.0
79.0	796.0
80.0	718.0
81.0	691.0
82.0	641.0
83.0	599.0
84.0	708.0
85.0	625.0
86.0	609.0
87.0	583.0
88.0	597.0
89.0	586.0
90.0	551.0
91.0	496.0
92.0	516.0
93.0	481.0
94.0	491.0
95.0	485.0
96.0	469.0
97.0	484.0
98.0	437.0
99.0	443.0
100.0	389.0
101.0	401.0
102.0	397.0
103.0	293.0
104.0	324.0
105.0	303.0
106.0	272.0
107.0	309.0
108.0	293.0
109.0	316.0
110.0	295.0
111.0	323.0
112.0	289.0
113.0	279.0
114.0	290.0
115.0	263.0
116.0	250.0
117.0	255.0
118.0	301.0
119.0	243.0
120.0	244.0
121.0	256.0
122.0	257.0
123.0	225.0
124.0	256.0
125.0	230.0
126.0	290.0
127.0	306.0
128.0	331.0
129.0	310.0
130.0	308.0
131.0	357.0
132.0	337.0
133.0	427.0
134.0	421.0
135.0	500.0
136.0	542.0
137.0	529.0
138.0	565.0
139.0	618.0
140.0	643.0
141.0	687.0
142.0	660.0
143.0	673.0
144.0	687.0
145.0	787.0
146.0	833.0
147.0	933.0
148.0	933.0
149.0	1032.0
150.0	991.0
151.0	1032.0
152.0	1026.0
153.0	1074.0
154.0	1062.0
155.0	1150.0
156.0	1160.0
157.0	1104.0
158.0	1114.0
159.0	1263.0
160.0	1245.0
161.0	1184.0
162.0	1099.0
163.0	1041.0
164.0	1027.0
165.0	984.0
166.0	999.0
167.0	1004.0
168.0	907.0
169.0	845.0
170.0	832.0
171.0	817.0
172.0	780.0
173.0	696.0
174.0	641.0
175.0	573.0
176.0	542.0
177.0	494.0
178.0	401.0
179.0	468.0
180.0	485.0
181.0	394.0
182.0	402.0
183.0	342.0
184.0	294.0
185.0	265.0
186.0	263.0
187.0	192.0
188.0	198.0
189.0	136.0
190.0	133.0
191.0	118.0
192.0	101.0
193.0	109.0
194.0	86.0
195.0	89.0
196.0	87.0
197.0	66.0
198.0	60.0
199.0	52.0
200.0	59.0
201.0	78.0
202.0	66.0
203.0	63.0
204.0	70.0
205.0	67.0
206.0	69.0
207.0	58.0
208.0	31.0
209.0	47.0
210.0	35.0
211.0	41.0
212.0	38.0
213.0	29.0
214.0	38.0
215.0	35.0
216.0	41.0
217.0	46.0
218.0	47.0
219.0	41.0
220.0	39.0
221.0	27.0
222.0	30.0
223.0	16.0
224.0	22.0
225.0	27.0
226.0	23.0
227.0	18.0
228.0	16.0
229.0	14.0
230.0	14.0
231.0	18.0
232.0	12.0
233.0	15.0
234.0	13.0
235.0	14.0
236.0	18.0
237.0	22.0
238.0	16.0
239.0	22.0
240.0	20.0
241.0	17.0
242.0	21.0
243.0	24.0
244.0	15.0
245.0	19.0
246.0	12.0
247.0	19.0
248.0	17.0
249.0	15.0
250.0	22.0
251.0	15.0
252.0	17.0
253.0	7.0
254.0	12.0
255.0	11.0
256.0	13.0
257.0	8.0
258.0	10.0
259.0	9.0
260.0	10.0
261.0	7.0
262.0	10.0
263.0	8.0
264.0	11.0
265.0	8.0
266.0	7.0
267.0	12.0
268.0	9.0
269.0	8.0
270.0	6.0
271.0	10.0
272.0	7.0
273.0	5.0
274.0	8.0
275.0	13.0
276.0	10.0
277.0	11.0
278.0	6.0
279.0	3.0
280.0	5.0
281.0	18.0
282.0	12.0
283.0	9.0
284.0	12.0
285.0	8.0
286.0	7.0
287.0	5.0
288.0	9.0
289.0	8.0
290.0	6.0
291.0	4.0
292.0	8.0
293.0	13.0
294.0	12.0
295.0	11.0
296.0	14.0
297.0	9.0
298.0	4.0
299.0	5.0
300.0	9.0
301.0	5.0
302.0	10.0
303.0	9.0
304.0	6.0
305.0	8.0
306.0	4.0
307.0	7.0
308.0	9.0
309.0	7.0
310.0	5.0
311.0	11.0
312.0	13.0
313.0	4.0
314.0	8.0
315.0	13.0
316.0	17.0
317.0	7.0
318.0	4.0
319.0	12.0
320.0	8.0
321.0	8.0
322.0	9.0
323.0	11.0
324.0	6.0
325.0	6.0
326.0	9.0
327.0	5.0
328.0	6.0
329.0	9.0
330.0	10.0
331.0	9.0
332.0	3.0
333.0	6.0
334.0	5.0
335.0	8.0
336.0	7.0
337.0	6.0
338.0	8.0
339.0	7.0
340.0	6.0
341.0	11.0
342.0	14.0
343.0	6.0
344.0	7.0
345.0	9.0
346.0	5.0
347.0	7.0
348.0	6.0
349.0	4.0
350.0	6.0
351.0	1.0
352.0	5.0
353.0	7.0
354.0	6.0
355.0	3.0
356.0	4.0
357.0	6.0
358.0	2.0
359.0	9.0
360.0	5.0
361.0	3.0
362.0	7.0
363.0	5.0
364.0	8.0
365.0	9.0
366.0	10.0
367.0	7.0
368.0	5.0
369.0	2.0
370.0	7.0
371.0	5.0
372.0	9.0
373.0	5.0
374.0	7.0
375.0	6.0
376.0	7.0
377.0	6.0
378.0	4.0
379.0	10.0
380.0	7.0
381.0	11.0
382.0	10.0
383.0	2.0
384.0	4.0
385.0	9.0
386.0	5.0
387.0	9.0
388.0	5.0
389.0	3.0
390.0	6.0
391.0	6.0
392.0	6.0
393.0	5.0
394.0	10.0
395.0	8.0
396.0	8.0
397.0	3.0
398.0	7.0
399.0	8.0
400.0	10.0
401.0	7.0
402.0	4.0
403.0	2.0
404.0	15.0
405.0	15.0
406.0	8.0
407.0	5.0
408.0	8.0
409.0	8.0
410.0	6.0
411.0	3.0
412.0	6.0
413.0	4.0
414.0	5.0
415.0	4.0
416.0	3.0
417.0	5.0
418.0	3.0
419.0	3.0
420.0	1.0
421.0	3.0
422.0	3.0
423.0	1.0
424.0	2.0
425.0	2.0
426.0	1.0
427.0	5.0
428.0	2.0
429.0	2.0
430.0	2.0
431.0	4.0
432.0	4.0
433.0	3.0
434.0	1.0
435.0	4.0
436.0	2.0
438.0	3.0
439.0	1.0
440.0	1.0
441.0	4.0
442.0	3.0
443.0	3.0
444.0	1.0
445.0	2.0
446.0	2.0
449.0	1.0
450.0	2.0
452.0	2.0
453.0	2.0
454.0	1.0
456.0	1.0
459.0	1.0
460.0	1.0
461.0	1.0
462.0	2.0
463.0	1.0
466.0	1.0
467.0	1.0
468.0	2.0
469.0	3.0
470.0	1.0
472.0	1.0
474.0	1.0
475.0	1.0
476.0	5.0
477.0	5.0
478.0	1.0
479.0	1.0
480.0	1.0
481.0	1.0
482.0	1.0
483.0	1.0
485.0	1.0
487.0	2.0
489.0	1.0
490.0	1.0
492.0	2.0
494.0	3.0
495.0	1.0
496.0	1.0
497.0	1.0
498.0	1.0
499.0	1.0
500.0	1.0
501.0	4.0
502.0	3.0
504.0	1.0
506.0	3.0
507.0	2.0
508.0	1.0
510.0	1.0
511.0	1.0
512.0	2.0
513.0	2.0
515.0	2.0
517.0	1.0
519.0	2.0
520.0	1.0
521.0	7.0
522.0	6.0
523.0	2.0
524.0	2.0
525.0	3.0
526.0	2.0
527.0	1.0
528.0	1.0
529.0	1.0
530.0	1.0
531.0	2.0
532.0	1.0
533.0	2.0
534.0	2.0
536.0	2.0
538.0	3.0
539.0	2.0
540.0	1.0
541.0	1.0
542.0	2.0
543.0	1.0
