#GC Content (%)	Sample
1.0	0.0
2.0	0.0
3.0	0.0
4.0	0.0
5.0	0.0
6.0	0.0
7.0	1.6439959623459164E-6
8.0	1.6439959623459164E-6
9.0	0.0
10.0	0.0
11.0	0.0
12.0	1.6439959623459164E-6
13.0	0.0
14.0	3.287991924691833E-6
15.0	6.575983849383666E-6
16.0	8.219979811729581E-6
17.0	0.0
18.0	3.287991924691833E-6
19.0	6.575983849383666E-6
20.0	2.4659939435188744E-5
21.0	3.781190713395608E-5
22.0	6.247184656914481E-5
23.0	1.4302764872409473E-4
24.0	2.8441130148584354E-4
25.0	6.707503526371339E-4
26.0	0.001047225428014349
27.0	0.002319678302870088
28.0	0.0042727455061370365
29.0	0.007327290004175749
30.0	0.012292157810460417
31.0	0.018894445595241616
32.0	0.02720977717278726
33.0	0.036892913391004714
34.0	0.04676346514892959
35.0	0.05549965969283579
36.0	0.06040698764043835
37.0	0.06323794868759802
38.0	0.06284503365259735
39.0	0.06058947119225875
40.0	0.057007203990306995
41.0	0.05228400359048719
42.0	0.049053551524477455
43.0	0.04413635960110082
44.0	0.03955125486211806
45.0	0.035572784633240935
46.0	0.031520334586058255
47.0	0.027854223590026858
48.0	0.02440840805294982
49.0	0.021958854069054408
50.0	0.02010935861141525
51.0	0.01959971986308802
52.0	0.01416302521561007
53.0	0.014509908363665058
54.0	0.01297112814290928
55.0	0.011468515833325112
56.0	0.010176335006921222
57.0	0.009007453877693278
58.0	0.007956940457754236
59.0	0.006799567300262711
60.0	0.005854269621913808
61.0	0.00522133117641063
62.0	0.0041067019139401
63.0	0.0034359515613029655
64.0	0.0027865731561763285
65.0	0.0021108908156521567
66.0	0.0016094720471366525
67.0	0.0011080532786211478
68.0	7.299342072815869E-4
69.0	4.5538688156981883E-4
70.0	3.370191722809129E-4
71.0	1.9727951548150995E-4
72.0	1.6933158412162942E-4
73.0	1.200117052512519E-4
74.0	1.0521574159013864E-4
75.0	7.233582234322032E-5
76.0	7.397981830556623E-5
77.0	6.575983849383667E-5
78.0	5.5895862719761155E-5
79.0	4.9319878870377495E-5
80.0	6.740383445618257E-5
81.0	4.931987887037749E-5
82.0	3.781190713395607E-5
83.0	3.1235923284572414E-5
84.0	3.616791117161016E-5
85.0	1.6439959623459163E-5
86.0	1.1507971736421415E-5
87.0	1.3151967698767331E-5
88.0	1.3151967698767331E-5
89.0	9.863975774075498E-6
90.0	4.931987887037749E-6
91.0	4.931987887037749E-6
92.0	1.6439959623459164E-6
93.0	1.6439959623459164E-6
94.0	0.0
95.0	0.0
96.0	0.0
97.0	0.0
98.0	0.0
99.0	0.0
100.0	7.233582234322032E-5
