#Mapping quality	mapping quality
0.0	7.1087534E7
1.0	2582849.0
2.0	2861825.0
3.0	3152033.0
4.0	3548360.0
5.0	3078046.0
6.0	3388315.0
7.0	3692766.0
8.0	5178848.0
9.0	3958598.0
10.0	2751517.0
11.0	2388170.0
12.0	1857661.0
13.0	1612959.0
14.0	1429277.0
15.0	1403464.0
16.0	1415173.0
17.0	1454298.0
18.0	1502977.0
19.0	1488987.0
20.0	1764777.0
21.0	1923427.0
22.0	2865214.0
23.0	2589121.0
24.0	2158576.0
25.0	1943971.0
26.0	1676319.0
27.0	1730518.0
28.0	1465242.0
29.0	1405651.0
30.0	2256849.0
31.0	1516582.0
32.0	1635554.0
33.0	1868870.0
34.0	1785126.0
35.0	1606421.0
36.0	1354152.0
37.0	1290247.0
38.0	1261183.0
39.0	1239251.0
40.0	1376783.0
41.0	1205952.0
42.0	1239947.0
43.0	1341839.0
44.0	1243033.0
45.0	1340798.0
46.0	1266760.0
47.0	1166620.0
48.0	1231282.0
49.0	1083235.0
50.0	1032452.0
51.0	1048565.0
52.0	1056452.0
53.0	953720.0
54.0	1270037.0
55.0	1031525.0
56.0	1061575.0
57.0	1018287.0
58.0	1035025.0
59.0	928623.0
60.0	4.34118369E8
