#Insert size (bp)	insert size
2.0	127.0
3.0	118.0
4.0	150.0
5.0	153.0
6.0	115.0
7.0	139.0
8.0	100.0
9.0	143.0
10.0	136.0
11.0	161.0
12.0	159.0
13.0	148.0
14.0	164.0
15.0	139.0
16.0	162.0
17.0	147.0
18.0	164.0
19.0	4320.0
20.0	5445.0
21.0	4002.0
22.0	2350.0
23.0	1221.0
24.0	831.0
25.0	710.0
26.0	613.0
27.0	594.0
28.0	661.0
29.0	672.0
30.0	796.0
31.0	912.0
32.0	996.0
33.0	1027.0
34.0	1125.0
35.0	1275.0
36.0	1416.0
37.0	1542.0
38.0	1694.0
39.0	1918.0
40.0	2014.0
41.0	2205.0
42.0	2367.0
43.0	2658.0
44.0	2771.0
45.0	2966.0
46.0	3197.0
47.0	3441.0
48.0	3553.0
49.0	3621.0
50.0	3785.0
51.0	3999.0
52.0	4212.0
53.0	4226.0
54.0	4215.0
55.0	4504.0
56.0	4625.0
57.0	4655.0
58.0	4753.0
59.0	5052.0
60.0	5105.0
61.0	5125.0
62.0	5299.0
63.0	5414.0
64.0	5443.0
65.0	5633.0
66.0	5661.0
67.0	5790.0
68.0	5907.0
69.0	5849.0
70.0	6027.0
71.0	6140.0
72.0	5788.0
73.0	6127.0
74.0	5986.0
75.0	6092.0
76.0	6395.0
77.0	6502.0
78.0	6521.0
79.0	6430.0
80.0	6566.0
81.0	6864.0
82.0	6910.0
83.0	6984.0
84.0	6753.0
85.0	6877.0
86.0	7061.0
87.0	6874.0
88.0	6828.0
89.0	6862.0
90.0	6351.0
91.0	6263.0
92.0	6232.0
93.0	6459.0
94.0	6239.0
95.0	6322.0
96.0	6089.0
97.0	6002.0
98.0	6137.0
99.0	6087.0
100.0	5931.0
101.0	6117.0
102.0	5730.0
103.0	5782.0
104.0	5797.0
105.0	5625.0
106.0	5867.0
107.0	5620.0
108.0	5324.0
109.0	5334.0
110.0	5546.0
111.0	5237.0
112.0	5177.0
113.0	5237.0
114.0	4737.0
115.0	4707.0
116.0	4873.0
117.0	4728.0
118.0	4090.0
119.0	3812.0
120.0	3662.0
121.0	3676.0
122.0	3643.0
123.0	3740.0
124.0	3912.0
125.0	3860.0
126.0	4026.0
127.0	4094.0
128.0	4267.0
129.0	4509.0
130.0	4699.0
131.0	4844.0
132.0	5064.0
133.0	5314.0
134.0	5649.0
135.0	6006.0
136.0	6595.0
137.0	6842.0
138.0	7016.0
139.0	8068.0
140.0	9231.0
141.0	10624.0
142.0	12542.0
143.0	18399.0
144.0	202808.0
145.0	208382.0
146.0	210339.0
147.0	209296.0
148.0	210809.0
149.0	212047.0
150.0	213123.0
151.0	212387.0
152.0	213502.0
153.0	213476.0
154.0	212961.0
155.0	212291.0
156.0	212312.0
157.0	210746.0
158.0	210096.0
159.0	211119.0
160.0	209164.0
161.0	209408.0
162.0	208590.0
163.0	208708.0
164.0	209043.0
165.0	208892.0
166.0	207978.0
167.0	206121.0
168.0	206362.0
169.0	205103.0
170.0	205230.0
171.0	204363.0
172.0	204009.0
173.0	203037.0
174.0	203450.0
175.0	201953.0
176.0	201304.0
177.0	200341.0
178.0	199599.0
179.0	197899.0
180.0	197244.0
181.0	196849.0
182.0	196483.0
183.0	195256.0
184.0	194925.0
185.0	194575.0
186.0	194256.0
187.0	192916.0
188.0	191784.0
189.0	191360.0
190.0	189555.0
191.0	188327.0
192.0	188437.0
193.0	188044.0
194.0	188067.0
195.0	185840.0
196.0	185477.0
197.0	184067.0
198.0	183235.0
199.0	182824.0
200.0	180927.0
201.0	181293.0
202.0	178285.0
203.0	179418.0
204.0	177896.0
205.0	176689.0
206.0	175846.0
207.0	175026.0
208.0	173395.0
209.0	172462.0
210.0	171621.0
211.0	171482.0
212.0	169276.0
213.0	168166.0
214.0	168450.0
215.0	166989.0
216.0	166806.0
217.0	164928.0
218.0	164442.0
219.0	162864.0
220.0	162607.0
221.0	160921.0
222.0	159591.0
223.0	158726.0
224.0	158236.0
225.0	157725.0
226.0	155991.0
227.0	155714.0
228.0	154448.0
229.0	153063.0
230.0	152306.0
231.0	151596.0
232.0	149619.0
233.0	148933.0
234.0	148470.0
235.0	148366.0
236.0	146147.0
