#Mapping quality	mapping quality
0.0	5.7244396E7
1.0	4036188.0
2.0	3976261.0
3.0	4349005.0
4.0	3852080.0
5.0	3677369.0
6.0	3897913.0
7.0	3503582.0
8.0	3532469.0
9.0	3715289.0
10.0	3603895.0
11.0	2957470.0
12.0	3187239.0
13.0	4415467.0
14.0	2755916.0
15.0	3581579.0
16.0	3298714.0
17.0	2944050.0
18.0	3227017.0
19.0	3071619.0
20.0	5852271.0
21.0	3746334.0
22.0	3762043.0
23.0	3584792.0
24.0	4096545.0
25.0	4214826.0
26.0	3976981.0
27.0	5748862.0
28.0	3827255.0
29.0	3829660.0
30.0	8510222.0
31.0	4597658.0
32.0	4664751.0
33.0	5487639.0
34.0	4794970.0
35.0	4895289.0
36.0	5324256.0
37.0	5212855.0
38.0	4866670.0
39.0	5429807.0
40.0	1.6108609E7
41.0	6097378.0
42.0	6487383.0
43.0	6758247.0
44.0	6310041.0
45.0	8700285.0
46.0	7664496.0
47.0	7391114.0
48.0	9236750.0
49.0	7262095.0
50.0	1.2161634E7
51.0	8163197.0
52.0	8457720.0
53.0	1.1340731E7
54.0	8860043.0
55.0	1.0852998E7
56.0	1.1118012E7
57.0	1.0696911E7
58.0	1.0022278E7
59.0	9847146.0
60.0	1.950266628E9
