#Duplication rate	Coverage
1.0	6013123.0
2.0	428578.0
3.0	41845.0
4.0	7380.0
5.0	2829.0
6.0	1323.0
7.0	791.0
8.0	457.0
9.0	284.0
10.0	169.0
11.0	128.0
12.0	86.0
13.0	60.0
14.0	52.0
15.0	34.0
16.0	24.0
17.0	24.0
18.0	29.0
19.0	16.0
20.0	14.0
21.0	16.0
22.0	14.0
23.0	8.0
24.0	8.0
25.0	8.0
26.0	11.0
27.0	3.0
28.0	7.0
29.0	5.0
30.0	6.0
31.0	3.0
32.0	4.0
33.0	3.0
34.0	2.0
35.0	2.0
36.0	1.0
37.0	3.0
38.0	0.0
39.0	4.0
40.0	3.0
41.0	0.0
42.0	3.0
43.0	3.0
44.0	0.0
45.0	1.0
46.0	1.0
47.0	0.0
48.0	0.0
49.0	0.0
50.0	14.0
