#Duplication rate	Coverage
1.0	5.5647768E7
2.0	5993558.0
3.0	739634.0
4.0	164940.0
5.0	50219.0
6.0	27366.0
7.0	17160.0
8.0	12405.0
9.0	9653.0
10.0	7995.0
11.0	6811.0
12.0	5789.0
13.0	5200.0
14.0	4643.0
15.0	4112.0
16.0	3725.0
17.0	3472.0
18.0	3035.0
19.0	2827.0
20.0	2574.0
21.0	2388.0
22.0	2111.0
23.0	1924.0
24.0	1841.0
25.0	1605.0
26.0	1499.0
27.0	1425.0
28.0	1331.0
29.0	1177.0
30.0	1129.0
31.0	1033.0
32.0	941.0
33.0	855.0
34.0	768.0
35.0	701.0
36.0	641.0
37.0	613.0
38.0	533.0
39.0	516.0
40.0	482.0
41.0	396.0
42.0	387.0
43.0	328.0
44.0	320.0
45.0	267.0
46.0	260.0
47.0	244.0
48.0	212.0
49.0	159.0
50.0	3084.0
