#Mapping quality	mapping quality
0.0	3.9151408E7
1.0	6238334.0
2.0	5479364.0
3.0	5204068.0
4.0	4756250.0
5.0	4552480.0
6.0	4520255.0
7.0	4116240.0
8.0	4218483.0
9.0	4135194.0
10.0	4277626.0
11.0	3847555.0
12.0	3982499.0
13.0	4462847.0
14.0	3783349.0
15.0	4201873.0
16.0	4097733.0
17.0	3958649.0
18.0	4062670.0
19.0	3959501.0
20.0	5568781.0
21.0	4406219.0
22.0	4484113.0
23.0	4457089.0
24.0	4874853.0
25.0	4944853.0
26.0	5006782.0
27.0	5334488.0
28.0	5099291.0
29.0	5093044.0
30.0	7875942.0
31.0	5697391.0
32.0	5909723.0
33.0	6399148.0
34.0	6226376.0
35.0	6352216.0
36.0	7132275.0
37.0	6788699.0
38.0	6733913.0
39.0	6811978.0
40.0	1.1787967E7
41.0	7538535.0
42.0	8222849.0
43.0	8023957.0
44.0	8175438.0
45.0	1.0861774E7
46.0	9208697.0
47.0	8751568.0
48.0	1.1556127E7
49.0	9252154.0
50.0	1.3212284E7
51.0	1.1558544E7
52.0	1.1844577E7
53.0	1.3458464E7
54.0	1.2486344E7
55.0	1.4663659E7
56.0	1.6760683E7
57.0	1.8276686E7
58.0	1.9676563E7
59.0	2.0102526E7
60.0	2.177438241E9
