#Duplication rate	Coverage
1.0	1.36112504E8
2.0	1.5725032E7
3.0	2782160.0
4.0	887323.0
5.0	364857.0
6.0	194629.0
7.0	112931.0
8.0	74476.0
9.0	50567.0
10.0	37155.0
11.0	27746.0
12.0	21580.0
13.0	17112.0
14.0	14183.0
15.0	11681.0
16.0	9850.0
17.0	8511.0
18.0	7234.0
19.0	6402.0
20.0	5537.0
21.0	5016.0
22.0	4484.0
23.0	3896.0
24.0	3732.0
25.0	3292.0
26.0	2927.0
27.0	2730.0
28.0	2397.0
29.0	2201.0
30.0	2120.0
31.0	1995.0
32.0	1736.0
33.0	1693.0
34.0	1537.0
35.0	1386.0
36.0	1382.0
37.0	1262.0
38.0	1172.0
39.0	1120.0
40.0	1024.0
41.0	1041.0
42.0	921.0
43.0	862.0
44.0	807.0
45.0	761.0
46.0	734.0
47.0	670.0
48.0	636.0
49.0	587.0
50.0	19596.0
