#Coverage (X)	Coverage
1.0	98.70672133481163
2.0	96.06264476235735
3.0	90.78630145361223
4.0	82.60727678804307
5.0	72.09124855411159
6.0	60.37742427186777
7.0	48.73797609865717
8.0	38.18881474304657
9.0	29.332153681780795
10.0	22.343928143702215
11.0	17.105755043159363
12.0	13.335020174648491
13.0	10.69209565870807
14.0	8.870938000354542
15.0	7.615615020715708
16.0	6.736627877572502
17.0	6.102535957562111
18.0	5.624304116036853
19.0	5.245217339819803
20.0	4.930818958285457
21.0	4.66021694927619
22.0	4.420816470850383
23.0	4.204522998863425
24.0	4.006293051407212
25.0	3.8232157671687617
26.0	3.6532636982131095
27.0	3.494385626475051
28.0	3.345621652729889
29.0	3.2060758316025186
30.0	3.0753264003934504
31.0	2.952113911876083
32.0	2.835920931349321
33.0	2.7262778601129014
34.0	2.622590851554108
35.0	2.5246006522930315
36.0	2.431820695527094
37.0	2.34386418985261
38.0	2.2605275550096167
39.0	2.1814366055266277
40.0	2.106549087501861
41.0	2.0353212453435248
42.0	1.967669643306806
43.0	1.90316120662402
44.0	1.8418084672922959
45.0	1.78311461849961
46.0	1.7269333427102964
47.0	1.6731727386121378
48.0	1.621857278718693
49.0	1.5726104855708058
50.0	1.5254814520657476
51.0	1.4803221601608527
