#Insert size (bp)	insert size
2.0	849.0
3.0	777.0
4.0	852.0
5.0	877.0
6.0	849.0
7.0	802.0
8.0	818.0
9.0	865.0
10.0	793.0
11.0	932.0
12.0	971.0
13.0	872.0
14.0	781.0
15.0	789.0
16.0	888.0
17.0	849.0
18.0	890.0
19.0	41769.0
20.0	44222.0
21.0	30093.0
22.0	16616.0
23.0	8924.0
24.0	5606.0
25.0	4270.0
26.0	3734.0
27.0	3241.0
28.0	3128.0
29.0	2825.0
30.0	2883.0
31.0	2744.0
32.0	2766.0
33.0	2673.0
34.0	2721.0
35.0	2824.0
36.0	2838.0
37.0	2954.0
38.0	3040.0
39.0	3062.0
40.0	3068.0
41.0	3092.0
42.0	3111.0
43.0	3413.0
44.0	3424.0
45.0	3447.0
46.0	3404.0
47.0	3510.0
48.0	4114.0
49.0	3662.0
50.0	3681.0
51.0	3924.0
52.0	3712.0
53.0	4089.0
54.0	3921.0
55.0	4007.0
56.0	4122.0
57.0	5300.0
58.0	4407.0
59.0	4601.0
60.0	4745.0
61.0	5132.0
62.0	5057.0
63.0	5299.0
64.0	5250.0
65.0	5452.0
66.0	5315.0
67.0	5519.0
68.0	5703.0
69.0	5761.0
70.0	5778.0
71.0	5969.0
72.0	5853.0
73.0	6114.0
74.0	5893.0
75.0	6090.0
76.0	6372.0
77.0	6449.0
78.0	6553.0
79.0	6686.0
80.0	6732.0
81.0	7188.0
82.0	7316.0
83.0	7318.0
84.0	7256.0
85.0	7498.0
86.0	8092.0
87.0	7537.0
88.0	7476.0
89.0	7713.0
90.0	7899.0
91.0	7748.0
92.0	7811.0
93.0	7834.0
94.0	8303.0
95.0	7958.0
96.0	8196.0
97.0	7996.0
98.0	8480.0
99.0	8483.0
100.0	8087.0
101.0	7990.0
102.0	7838.0
103.0	8229.0
104.0	8254.0
105.0	8185.0
106.0	8056.0
107.0	8223.0
108.0	8270.0
109.0	8201.0
110.0	8283.0
111.0	8264.0
112.0	8041.0
113.0	7815.0
114.0	7612.0
115.0	7778.0
116.0	7819.0
117.0	7839.0
118.0	7525.0
119.0	7621.0
120.0	7488.0
121.0	7964.0
122.0	7783.0
123.0	8121.0
124.0	8388.0
125.0	8492.0
126.0	8727.0
127.0	8978.0
128.0	9401.0
129.0	9699.0
130.0	10039.0
131.0	10574.0
132.0	10997.0
133.0	11306.0
134.0	12022.0
135.0	13001.0
136.0	13750.0
137.0	14613.0
138.0	15195.0
139.0	16785.0
140.0	19054.0
141.0	21006.0
142.0	24435.0
143.0	32536.0
144.0	261907.0
145.0	275198.0
146.0	281193.0
147.0	286474.0
148.0	290790.0
149.0	296957.0
150.0	301607.0
151.0	304444.0
152.0	310280.0
153.0	312544.0
154.0	317917.0
155.0	321404.0
156.0	325738.0
157.0	328160.0
158.0	332792.0
159.0	335630.0
160.0	338442.0
161.0	342145.0
162.0	347322.0
163.0	351165.0
164.0	356052.0
165.0	359913.0
166.0	362929.0
167.0	367268.0
168.0	371292.0
169.0	374437.0
170.0	376056.0
171.0	379447.0
172.0	382219.0
173.0	386695.0
