#GC Content (%)	Sample
1.0	4.019075173827011E-8
2.0	2.4114451042962067E-7
3.0	1.6076300695308043E-7
4.0	9.243872899802125E-7
5.0	1.2861040556246437E-6
6.0	1.487057814315994E-6
7.0	1.4468670625777241E-6
8.0	3.134878635585069E-6
9.0	2.8133526216789075E-6
10.0	4.380791939471442E-6
11.0	6.390329526384947E-6
12.0	9.163491396325584E-6
13.0	1.5714583929663614E-5
14.0	2.21852949595251E-5
15.0	3.918598294481336E-5
16.0	6.744008141681724E-5
17.0	1.2463152114037558E-4
18.0	2.3290540632327526E-4
19.0	4.4294227490747487E-4
20.0	8.15389971266024E-4
21.0	0.0014430891319143263
22.0	0.002435278220077001
23.0	0.003981898728469111
24.0	0.006067557599174899
25.0	0.009849668100753071
26.0	0.011047151548794827
27.0	0.01591983809879096
28.0	0.0201663125459531
29.0	0.02458110586139512
30.0	0.02894361100882565
31.0	0.03338898948634049
32.0	0.03780643539139722
33.0	0.04143578084561824
34.0	0.043514366144018095
35.0	0.043921418077623293
36.0	0.043948386072039665
37.0	0.043906467117976654
38.0	0.04332068691139137
39.0	0.04207541665953281
40.0	0.040448253884657205
41.0	0.039055041475650074
42.0	0.03760387400263636
43.0	0.03651016307558281
44.0	0.03514287370144685
45.0	0.0321434780899715
46.0	0.02906703680741387
47.0	0.02604027129400476
48.0	0.023443064535174262
49.0	0.021274934241901543
50.0	0.019373067678894865
51.0	0.019196670469515596
52.0	0.014179618739275599
53.0	0.014434146770034064
54.0	0.013225088385491685
55.0	0.01208146054477921
56.0	0.010999404935729765
57.0	0.009895565939238175
58.0	0.008999472938481703
59.0	0.008150322735755533
60.0	0.007498509124064269
61.0	0.006880536125336628
62.0	0.006240056305635555
63.0	0.005537803300512761
64.0	0.004678364265341593
65.0	0.0038219395365507963
66.0	0.00305027710317601
67.0	0.0024687973070267174
68.0	0.0019286336036643675
69.0	0.0015328752712976221
70.0	0.0011764636848826428
71.0	9.032067638141441E-4
72.0	6.785806523489524E-4
73.0	5.178980268993487E-4
74.0	4.021486618931307E-4
75.0	3.2980530876424444E-4
76.0	2.532821174545782E-4
77.0	1.9444285690975083E-4
78.0	1.6261178153304084E-4
79.0	1.4086858484263672E-4
80.0	1.2310427257432134E-4
81.0	9.163491396325585E-5
82.0	7.455384447449104E-5
83.0	5.6508196944007775E-5
84.0	4.5094023450339054E-5
85.0	3.291622567364322E-5
86.0	2.7490474188976753E-5
87.0	2.1381479924759697E-5
88.0	1.4508861377515511E-5
89.0	1.0248641693258879E-5
90.0	6.510901781599757E-6
91.0	3.0143063803702584E-6
92.0	1.4468670625777237E-6
93.0	5.626705243357815E-7
94.0	6.028612760740518E-7
95.0	2.8133526216789074E-7
96.0	4.822890208592412E-7
97.0	1.446867062577724E-6
98.0	4.099456677303552E-6
99.0	4.742508705115874E-6
100.0	2.731363488132837E-4
