#Coverage	Number of genomic locations
0.0	3.6893544E7
1.0	7.4749819E7
2.0	1.47780201E8
3.0	2.26974625E8
4.0	2.89117626E8
5.0	3.19235139E8
6.0	3.14753324E8
7.0	2.83264437E8
8.0	2.36602331E8
9.0	1.85463496E8
10.0	1.38340863E8
11.0	9.9262196E7
12.0	6.920415E7
13.0	4.7557947E7
14.0	3.2706177E7
15.0	2.2899012E7
16.0	1.6571474E7
17.0	1.2552073E7
18.0	9982295.0
19.0	8313225.0
20.0	7175544.0
21.0	6371846.0
22.0	5778834.0
23.0	5312594.0
24.0	4923843.0
25.0	4589495.0
26.0	4276236.0
27.0	4005334.0
28.0	3757853.0
29.0	3526366.0
30.0	3321955.0
31.0	3129110.0
32.0	2952380.0
33.0	2788182.0
34.0	2627259.0
35.0	2485966.0
36.0	2354354.0
37.0	2230207.0
38.0	2116903.0
39.0	2012588.0
40.0	1912229.0
41.0	1816995.0
42.0	1735810.0
43.0	1659792.0
44.0	1586790.0
45.0	1518296.0
46.0	1460305.0
47.0	1397595.0
48.0	1338192.0
49.0	1287190.0
50.0	1240517.0
51.0	1191947.0
52.0	1150548.0
53.0	1103963.0
54.0	1067904.0
55.0	1032693.0
56.0	996921.0
57.0	961990.0
58.0	926065.0
59.0	894725.0
60.0	865922.0
61.0	839020.0
62.0	811257.0
63.0	783466.0
64.0	755382.0
65.0	731711.0
66.0	706619.0
67.0	682245.0
68.0	660595.0
69.0	640357.0
70.0	617503.0
71.0	599523.0
72.0	579623.0
73.0	557133.0
74.0	536850.0
75.0	519363.0
76.0	499587.0
77.0	484978.0
78.0	464258.0
79.0	448546.0
80.0	433498.0
81.0	417408.0
82.0	405229.0
83.0	392937.0
84.0	380541.0
85.0	367435.0
86.0	354505.0
87.0	341197.0
88.0	331330.0
89.0	319804.0
90.0	308639.0
91.0	298464.0
92.0	288070.0
93.0	280091.0
94.0	271455.0
95.0	263630.0
96.0	255175.0
97.0	246698.0
98.0	239376.0
99.0	230251.0
100.0	224886.0
101.0	217020.0
102.0	211644.0
103.0	205740.0
104.0	199873.0
105.0	193912.0
106.0	188928.0
107.0	183509.0
108.0	179075.0
109.0	174403.0
110.0	170383.0
111.0	166040.0
112.0	162197.0
113.0	158803.0
114.0	154505.0
115.0	151138.0
116.0	146533.0
117.0	143519.0
118.0	139259.0
119.0	135635.0
120.0	132644.0
121.0	129879.0
122.0	126868.0
123.0	123464.0
124.0	121140.0
125.0	118060.0
126.0	115023.0
127.0	112850.0
128.0	109985.0
129.0	107253.0
