#Coverage (X)	Coverage
1.0	98.53166223674123
2.0	95.41506782196696
3.0	89.1168388515629
4.0	79.45577007767432
5.0	67.36673129542038
6.0	54.450609131397925
7.0	42.26121337686961
8.0	31.86403143190492
9.0	23.692719711500274
10.0	17.683537225168095
11.0	13.487529921668042
12.0	10.657750223419825
13.0	8.7868459707354
14.0	7.545386965761111
15.0	6.699354058355851
16.0	6.096403633638886
17.0	5.639785124972647
18.0	5.273182177165239
19.0	4.963881915567754
20.0	4.693050633856046
21.0	4.450352354843417
22.0	4.228915995224881
23.0	4.025214038100671
24.0	3.8362889691183995
25.0	3.660632845226587
26.0	3.4971737185773293
27.0	3.344005357809536
28.0	3.200454842735766
29.0	3.0661459546696648
30.0	2.940143599607964
31.0	2.8214224827421788
32.0	2.709590304504701
33.0	2.604094289223241
34.0	2.5045041716633847
35.0	2.4104947113807498
36.0	2.3214875141956526
37.0	2.237329460544487
38.0	2.157292474665468
39.0	2.081289461026998
40.0	2.009159241141063
41.0	1.940490625025518
42.0	1.8748833650909802
43.0	1.8122008662656128
44.0	1.7521734872898946
45.0	1.6946810466811257
46.0	1.6394777102775464
47.0	1.5863833722090703
48.0	1.5353067965792775
49.0	1.4861860627534327
50.0	1.4388140415874346
51.0	1.3930715497222508
