#Insert size (bp)	insert size
2.0	1663.0
3.0	1694.0
4.0	1823.0
5.0	1939.0
6.0	1846.0
7.0	1749.0
8.0	1782.0
9.0	1723.0
10.0	1679.0
11.0	2028.0
12.0	2185.0
13.0	1774.0
14.0	1618.0
15.0	1569.0
16.0	1693.0
17.0	1780.0
18.0	1744.0
19.0	24437.0
20.0	24412.0
21.0	16339.0
22.0	9846.0
23.0	5694.0
24.0	3961.0
25.0	3326.0
26.0	3079.0
27.0	2853.0
28.0	2802.0
29.0	2604.0
30.0	2508.0
31.0	2616.0
32.0	2505.0
33.0	2392.0
34.0	2504.0
35.0	2483.0
36.0	2430.0
37.0	2409.0
38.0	2471.0
39.0	2430.0
40.0	2478.0
41.0	2516.0
42.0	2389.0
43.0	2584.0
44.0	2461.0
45.0	2627.0
46.0	2604.0
47.0	2556.0
48.0	2625.0
49.0	2609.0
50.0	2552.0
51.0	2549.0
52.0	2595.0
53.0	2759.0
54.0	2629.0
55.0	2667.0
56.0	2797.0
57.0	2942.0
58.0	2859.0
59.0	2785.0
60.0	2743.0
61.0	2890.0
62.0	2701.0
63.0	2790.0
64.0	2719.0
65.0	2693.0
66.0	2563.0
67.0	2689.0
68.0	2815.0
69.0	2659.0
70.0	2888.0
71.0	2854.0
72.0	2703.0
73.0	2672.0
74.0	2718.0
75.0	2745.0
76.0	2713.0
77.0	2754.0
78.0	2759.0
79.0	2798.0
80.0	2903.0
81.0	2926.0
82.0	2937.0
83.0	2877.0
84.0	2727.0
85.0	2807.0
86.0	2804.0
87.0	2787.0
88.0	2785.0
89.0	2826.0
90.0	2905.0
91.0	2756.0
92.0	2768.0
93.0	2916.0
94.0	2884.0
95.0	2777.0
96.0	2737.0
97.0	2860.0
98.0	2944.0
99.0	2932.0
100.0	2856.0
101.0	2873.0
102.0	2880.0
103.0	2941.0
104.0	2945.0
105.0	2931.0
106.0	2947.0
107.0	2946.0
108.0	2860.0
109.0	2944.0
110.0	2974.0
111.0	3032.0
112.0	3024.0
113.0	3030.0
114.0	2995.0
115.0	3170.0
116.0	3138.0
117.0	3160.0
118.0	3106.0
119.0	3416.0
120.0	3308.0
121.0	3567.0
122.0	3587.0
123.0	3754.0
124.0	3831.0
125.0	3701.0
126.0	3933.0
127.0	4149.0
128.0	4371.0
129.0	4261.0
130.0	4420.0
131.0	4634.0
132.0	4780.0
133.0	4972.0
