#Coverage	Number of genomic locations
0.0	3.3758102E7
1.0	6.7246972E7
2.0	1.34441883E8
3.0	2.10252213E8
4.0	2.73884996E8
5.0	3.09327638E8
6.0	3.1141004E8
7.0	2.85151129E8
8.0	2.41651922E8
9.0	1.91795874E8
10.0	1.44180241E8
11.0	1.03939256E8
12.0	7.263123E7
13.0	4.9935804E7
14.0	3.4357601E7
15.0	2.4066904E7
16.0	1.7465687E7
17.0	1.3303767E7
18.0	1.06814E7
19.0	8977873.0
20.0	7843836.0
21.0	7030323.0
22.0	6434122.0
23.0	5940064.0
24.0	5542135.0
25.0	5207476.0
26.0	4891673.0
27.0	4623260.0
28.0	4381982.0
29.0	4157817.0
30.0	3951945.0
31.0	3757736.0
32.0	3584202.0
33.0	3419511.0
34.0	3253403.0
35.0	3099537.0
36.0	2967103.0
37.0	2826875.0
38.0	2700982.0
39.0	2592668.0
40.0	2478632.0
41.0	2367412.0
42.0	2267188.0
43.0	2174289.0
44.0	2082876.0
45.0	1994903.0
46.0	1916983.0
47.0	1834351.0
48.0	1759708.0
49.0	1695662.0
50.0	1625676.0
51.0	1564917.0
52.0	1506368.0
53.0	1447845.0
54.0	1394121.0
55.0	1339354.0
56.0	1294683.0
57.0	1250193.0
58.0	1205124.0
59.0	1167039.0
60.0	1129589.0
61.0	1089793.0
62.0	1051999.0
63.0	1018904.0
64.0	988680.0
65.0	958000.0
66.0	929335.0
67.0	900772.0
68.0	872418.0
69.0	847699.0
70.0	822254.0
71.0	796881.0
72.0	772097.0
73.0	750901.0
74.0	728262.0
75.0	705689.0
76.0	685026.0
77.0	664912.0
78.0	646495.0
79.0	626984.0
80.0	608012.0
81.0	588083.0
82.0	569162.0
83.0	552234.0
84.0	534748.0
85.0	521408.0
86.0	506172.0
87.0	491252.0
88.0	475401.0
89.0	462978.0
90.0	447403.0
91.0	435863.0
92.0	420585.0
93.0	409253.0
94.0	396811.0
95.0	386091.0
96.0	374119.0
97.0	361932.0
98.0	351771.0
99.0	342298.0
100.0	331927.0
101.0	322880.0
102.0	313077.0
103.0	304900.0
104.0	296118.0
105.0	288612.0
106.0	280188.0
107.0	272878.0
108.0	265106.0
109.0	257420.0
110.0	251230.0
111.0	245928.0
112.0	239370.0
113.0	232567.0
114.0	226521.0
115.0	220590.0
116.0	216030.0
117.0	211204.0
118.0	205672.0
119.0	200898.0
120.0	197549.0
121.0	192013.0
122.0	187601.0
123.0	181928.0
124.0	177412.0
125.0	173558.0
126.0	168686.0
127.0	164994.0
128.0	162047.0
129.0	157647.0
130.0	154454.0
131.0	150799.0
132.0	146534.0
133.0	144083.0
134.0	141068.0
135.0	137813.0
136.0	135163.0
137.0	132070.0
138.0	129713.0
139.0	127642.0
140.0	124752.0
141.0	122377.0
142.0	119351.0
143.0	117424.0
144.0	114436.0
145.0	113286.0
146.0	110069.0
147.0	108608.0
148.0	106979.0
149.0	105148.0
150.0	103773.0
151.0	102868.0
152.0	100041.0
153.0	99176.0
154.0	97273.0
155.0	96071.0
156.0	94468.0
157.0	92920.0
158.0	91235.0
159.0	89166.0
160.0	87506.0
161.0	86342.0
162.0	84806.0
163.0	82507.0
164.0	81446.0
165.0	80828.0
166.0	79275.0
167.0	77896.0
168.0	76765.0
169.0	76242.0
170.0	74354.0
171.0	72563.0
172.0	71232.0
173.0	70397.0
174.0	68975.0
175.0	67522.0
176.0	66435.0
177.0	65332.0
178.0	64382.0
179.0	62626.0
180.0	61896.0
181.0	61307.0
182.0	59762.0
183.0	58663.0
184.0	57294.0
185.0	57135.0
186.0	55827.0
187.0	54927.0
188.0	53623.0
189.0	53571.0
190.0	52103.0
191.0	51350.0
192.0	51287.0
193.0	49991.0
194.0	49323.0
195.0	48524.0
196.0	48265.0
197.0	47168.0
198.0	46579.0
199.0	46450.0
200.0	45554.0
201.0	44943.0
202.0	44325.0
203.0	43664.0
204.0	42702.0
205.0	42318.0
206.0	42013.0
207.0	40829.0
208.0	40274.0
209.0	40288.0
210.0	39300.0
211.0	38670.0
212.0	38165.0
213.0	37575.0
214.0	37101.0
215.0	36703.0
216.0	36104.0
217.0	35743.0
218.0	35316.0
219.0	34830.0
220.0	34292.0
221.0	33518.0
222.0	33357.0
223.0	32805.0
224.0	32452.0
225.0	31995.0
226.0	31578.0
227.0	31028.0
228.0	30758.0
229.0	30243.0
230.0	30043.0
231.0	29699.0
232.0	29300.0
233.0	28753.0
234.0	28152.0
235.0	28014.0
236.0	27472.0
237.0	27124.0
238.0	26963.0
239.0	26473.0
240.0	26296.0
241.0	26067.0
242.0	25608.0
243.0	25346.0
244.0	25476.0
245.0	25426.0
246.0	24696.0
247.0	24498.0
248.0	24039.0
249.0	23475.0
250.0	23253.0
251.0	23287.0
252.0	22871.0
253.0	22707.0
254.0	22133.0
255.0	22120.0
256.0	21619.0
257.0	21392.0
258.0	21340.0
259.0	21125.0
260.0	20727.0
261.0	20707.0
262.0	20672.0
263.0	20333.0
264.0	20348.0
265.0	20227.0
266.0	19874.0
267.0	19847.0
268.0	19390.0
269.0	19243.0
270.0	19131.0
271.0	18896.0
272.0	18603.0
273.0	18441.0
274.0	18194.0
275.0	17988.0
276.0	18022.0
277.0	17686.0
278.0	17631.0
279.0	17305.0
280.0	16972.0
281.0	16972.0
282.0	16439.0
283.0	15960.0
284.0	16300.0
285.0	16175.0
286.0	15782.0
287.0	15693.0
288.0	15418.0
289.0	15334.0
290.0	15006.0
291.0	14890.0
292.0	14946.0
293.0	14780.0
294.0	14326.0
295.0	14319.0
296.0	14442.0
297.0	14100.0
298.0	13898.0
299.0	13910.0
300.0	13532.0
301.0	13252.0
302.0	13392.0
303.0	13154.0
304.0	12998.0
305.0	13050.0
306.0	12832.0
307.0	12682.0
308.0	12545.0
309.0	12476.0
310.0	12126.0
311.0	12412.0
312.0	12034.0
313.0	12109.0
314.0	11876.0
315.0	11876.0
316.0	11438.0
317.0	11224.0
318.0	11172.0
319.0	10955.0
320.0	10959.0
321.0	10843.0
322.0	10560.0
323.0	10712.0
324.0	10723.0
325.0	10348.0
326.0	10432.0
327.0	10207.0
328.0	10115.0
329.0	9847.0
330.0	9991.0
331.0	9757.0
332.0	9756.0
333.0	9781.0
334.0	9691.0
335.0	9594.0
336.0	9492.0
337.0	9509.0
338.0	9270.0
339.0	9220.0
340.0	9121.0
341.0	9010.0
342.0	9000.0
343.0	8876.0
344.0	8628.0
345.0	8606.0
346.0	8323.0
347.0	8335.0
348.0	8131.0
349.0	7982.0
350.0	8014.0
351.0	8063.0
352.0	7996.0
353.0	7985.0
354.0	7980.0
355.0	7889.0
356.0	7800.0
357.0	7593.0
358.0	7594.0
359.0	7577.0
360.0	7458.0
361.0	7271.0
362.0	7195.0
363.0	7319.0
364.0	7373.0
365.0	7248.0
366.0	7113.0
367.0	7371.0
368.0	7281.0
369.0	6995.0
370.0	7063.0
371.0	7045.0
372.0	7210.0
373.0	6876.0
374.0	6882.0
375.0	6923.0
376.0	6697.0
377.0	6581.0
378.0	6746.0
379.0	6439.0
380.0	6557.0
381.0	6312.0
382.0	6598.0
383.0	6368.0
384.0	6195.0
385.0	6314.0
386.0	6191.0
387.0	6003.0
388.0	5990.0
389.0	6075.0
390.0	6197.0
391.0	6036.0
392.0	5960.0
393.0	5876.0
394.0	5999.0
395.0	5802.0
396.0	5802.0
397.0	5963.0
398.0	5743.0
399.0	5703.0
400.0	5726.0
401.0	5668.0
402.0	5577.0
403.0	5531.0
404.0	5567.0
405.0	5442.0
406.0	5487.0
407.0	5470.0
408.0	5358.0
409.0	5314.0
410.0	5249.0
411.0	5320.0
412.0	5185.0
413.0	5304.0
414.0	5169.0
415.0	5011.0
416.0	5023.0
417.0	5059.0
418.0	5014.0
419.0	4865.0
420.0	4839.0
421.0	4786.0
422.0	4758.0
423.0	4663.0
424.0	4734.0
425.0	4642.0
426.0	4665.0
427.0	4724.0
428.0	4688.0
429.0	4620.0
430.0	4677.0
431.0	4541.0
432.0	4639.0
433.0	4713.0
434.0	4458.0
435.0	4519.0
436.0	4522.0
437.0	4438.0
438.0	4399.0
439.0	4296.0
440.0	4415.0
441.0	4512.0
442.0	4520.0
443.0	4326.0
444.0	4392.0
445.0	4293.0
446.0	4288.0
447.0	4151.0
448.0	4269.0
449.0	4045.0
450.0	4190.0
451.0	4133.0
452.0	4040.0
