#Duplication rate	Coverage
1.0	1.38210618E8
2.0	1.5241177E7
3.0	2761515.0
4.0	885466.0
5.0	376348.0
6.0	198695.0
7.0	117027.0
8.0	76435.0
9.0	52217.0
10.0	38079.0
11.0	28422.0
12.0	22304.0
13.0	17720.0
14.0	14377.0
15.0	11938.0
16.0	10095.0
17.0	8608.0
18.0	7469.0
19.0	6576.0
20.0	5644.0
21.0	5110.0
22.0	4405.0
23.0	4047.0
24.0	3623.0
25.0	3304.0
26.0	2909.0
27.0	2775.0
28.0	2496.0
29.0	2327.0
30.0	2071.0
31.0	1969.0
32.0	1852.0
33.0	1706.0
34.0	1627.0
35.0	1505.0
36.0	1459.0
37.0	1404.0
38.0	1247.0
39.0	1155.0
40.0	1035.0
41.0	1020.0
42.0	1002.0
43.0	895.0
44.0	860.0
45.0	805.0
46.0	723.0
47.0	724.0
48.0	693.0
49.0	643.0
50.0	22386.0
