#GC Content (%)	Sample
1.0	4.135817945264435E-8
2.0	5.376563328843765E-7
3.0	3.308654356211548E-7
4.0	1.1166708452213973E-6
5.0	1.3648199219372633E-6
6.0	1.9438344342742846E-6
7.0	2.729639843874527E-6
8.0	2.9364307411377483E-6
9.0	3.929027048001213E-6
10.0	5.0870560726752545E-6
11.0	6.410517815159874E-6
12.0	1.0587693939876951E-5
13.0	1.8611180753689958E-5
14.0	2.560071308118685E-5
15.0	4.239213393896046E-5
16.0	7.307990309282257E-5
17.0	1.3879805024307444E-4
18.0	2.591917106297221E-4
19.0	4.770665999862526E-4
20.0	8.77620567985113E-4
21.0	0.0015409644082260755
22.0	0.0026000646676493924
23.0	0.0041521544261482295
24.0	0.006376231884393632
25.0	0.01033181088360344
26.0	0.01153202525131918
27.0	0.016640256711874187
28.0	0.020998168080799323
29.0	0.025512372009876
30.0	0.03003191114410207
31.0	0.034599425766493205
32.0	0.03912798098383995
33.0	0.04277899834956048
34.0	0.04475968292172708
35.0	0.04500725298393061
36.0	0.04473718407210485
37.0	0.04470269135044134
38.0	0.043980742969915984
39.0	0.04252567950041304
40.0	0.04065186446395208
41.0	0.03913488779980853
42.0	0.037467574153354645
43.0	0.03629945373289415
44.0	0.03486672368029565
45.0	0.03177346272267347
46.0	0.028609231129110558
47.0	0.025561546885245198
48.0	0.02287905536594668
49.0	0.020685541602316785
50.0	0.01879452156320353
51.0	0.01851006000492824
52.0	0.013679052421244309
53.0	0.013829389403554668
54.0	0.012552745120210445
55.0	0.011389794472181539
56.0	0.010287888497024734
57.0	0.009218241901840993
58.0	0.00832763486550775
59.0	0.007534963998118369
60.0	0.006882910940867978
61.0	0.0063128711534721806
62.0	0.005688817583711231
63.0	0.004948009873355466
64.0	0.004183379851634975
65.0	0.0034260288694981525
66.0	0.002717439180935998
67.0	0.002152734598689591
68.0	0.0016821612328774037
69.0	0.0013000530129144224
70.0	0.001010876622181533
71.0	7.624380382094985E-4
72.0	5.778151251328941E-4
73.0	4.3703188227609284E-4
74.0	3.3802040066646227E-4
75.0	2.7283990984909476E-4
76.0	2.0571558459745297E-4
77.0	1.6472962875988244E-4
78.0	1.3172580155667224E-4
79.0	1.1253560629064526E-4
80.0	9.921827250689378E-5
81.0	7.589225929560238E-5
82.0	5.554403500490136E-5
83.0	4.276435755403425E-5
84.0	3.14322163840097E-5
85.0	2.568342944009214E-5
86.0	1.844574803587938E-5
87.0	1.3441408322109411E-5
88.0	1.0753126657687529E-5
89.0	7.403114122023338E-6
90.0	3.4327288945694808E-6
91.0	1.778401716463707E-6
92.0	9.098799479581756E-7
93.0	4.962981534317322E-7
94.0	3.308654356211548E-7
95.0	2.8950725616851043E-7
96.0	3.308654356211548E-7
97.0	7.030890506949538E-7
98.0	1.5302526397478408E-6
99.0	1.9024762548216398E-6
100.0	3.6097419026267987E-4
