#Mapping quality	mapping quality
0.0	3.3223271E7
1.0	5913490.0
2.0	5252540.0
3.0	5062563.0
4.0	4687085.0
5.0	4517726.0
6.0	4487516.0
7.0	4142829.0
8.0	4231462.0
9.0	4188279.0
10.0	4284461.0
11.0	3924070.0
12.0	4038753.0
13.0	4545289.0
14.0	3860518.0
15.0	4265790.0
16.0	4165325.0
17.0	4032245.0
18.0	4130622.0
19.0	4006264.0
20.0	5454556.0
21.0	4433225.0
22.0	4480586.0
23.0	4460999.0
24.0	4843238.0
25.0	4912701.0
26.0	5031092.0
27.0	5310188.0
28.0	5059024.0
29.0	5102059.0
30.0	7521787.0
31.0	5664885.0
32.0	5856703.0
33.0	6280306.0
34.0	6178624.0
35.0	6302548.0
36.0	7015707.0
37.0	6734708.0
38.0	6683155.0
39.0	6736880.0
40.0	1.1515794E7
41.0	7425293.0
42.0	8094474.0
43.0	7855683.0
44.0	7950254.0
45.0	1.0754411E7
46.0	9016069.0
47.0	8544190.0
48.0	1.1531996E7
49.0	9061654.0
50.0	1.309055E7
51.0	1.1731881E7
52.0	1.1956701E7
53.0	1.3259373E7
54.0	1.2589624E7
55.0	1.421107E7
56.0	1.593031E7
57.0	1.7211394E7
58.0	1.7929944E7
59.0	1.8026438E7
60.0	2.199847421E9
