#Duplication rate	Coverage
1.0	1.43774834E8
2.0	1.741615E7
3.0	3149241.0
4.0	1004399.0
5.0	412503.0
6.0	217378.0
7.0	126220.0
8.0	83422.0
9.0	56263.0
10.0	41534.0
11.0	30854.0
12.0	24029.0
13.0	18784.0
14.0	15034.0
15.0	12576.0
16.0	10444.0
17.0	8826.0
18.0	7675.0
19.0	6531.0
20.0	5715.0
21.0	5034.0
22.0	4409.0
23.0	4024.0
24.0	3652.0
25.0	3255.0
26.0	2872.0
27.0	2610.0
28.0	2413.0
29.0	2189.0
30.0	2013.0
31.0	1930.0
32.0	1704.0
33.0	1580.0
34.0	1473.0
35.0	1418.0
36.0	1252.0
37.0	1199.0
38.0	1129.0
39.0	1031.0
40.0	1006.0
41.0	917.0
42.0	921.0
43.0	843.0
44.0	779.0
45.0	734.0
46.0	672.0
47.0	642.0
48.0	602.0
49.0	612.0
50.0	17777.0
