#Insert size (bp)	insert size
2.0	739.0
3.0	707.0
4.0	694.0
5.0	812.0
6.0	723.0
7.0	641.0
8.0	679.0
9.0	707.0
10.0	724.0
11.0	790.0
12.0	814.0
13.0	696.0
14.0	690.0
15.0	684.0
16.0	701.0
17.0	745.0
18.0	790.0
19.0	38404.0
20.0	43100.0
21.0	29588.0
22.0	16053.0
23.0	8711.0
24.0	5202.0
25.0	4306.0
26.0	3692.0
27.0	3242.0
28.0	3111.0
29.0	2795.0
30.0	2705.0
31.0	2882.0
32.0	2647.0
33.0	2732.0
34.0	2803.0
35.0	2878.0
36.0	2938.0
37.0	3118.0
38.0	3169.0
39.0	3133.0
40.0	3180.0
41.0	3463.0
42.0	3570.0
43.0	3766.0
44.0	3683.0
45.0	3966.0
46.0	3987.0
47.0	3949.0
48.0	4232.0
49.0	4212.0
50.0	4302.0
51.0	4455.0
52.0	4599.0
53.0	4687.0
54.0	4628.0
55.0	4716.0
56.0	4745.0
57.0	5809.0
58.0	5123.0
59.0	5175.0
60.0	5288.0
61.0	5753.0
62.0	5638.0
63.0	6008.0
64.0	5879.0
65.0	6029.0
66.0	6136.0
67.0	6208.0
68.0	6414.0
69.0	6536.0
70.0	6616.0
71.0	6849.0
72.0	6742.0
73.0	6852.0
74.0	6946.0
75.0	7179.0
76.0	7202.0
77.0	7284.0
78.0	7344.0
79.0	7433.0
80.0	7538.0
81.0	7717.0
82.0	7987.0
83.0	7955.0
84.0	7729.0
85.0	7856.0
86.0	8226.0
87.0	8027.0
88.0	8201.0
89.0	8136.0
90.0	8429.0
91.0	8076.0
92.0	8290.0
93.0	8273.0
94.0	8296.0
95.0	8205.0
96.0	7910.0
97.0	8216.0
98.0	8288.0
99.0	8296.0
100.0	8061.0
101.0	8151.0
102.0	7812.0
103.0	8082.0
104.0	8138.0
105.0	7933.0
106.0	7908.0
107.0	7969.0
108.0	8199.0
109.0	7837.0
110.0	8121.0
111.0	8255.0
112.0	8220.0
113.0	8336.0
114.0	8197.0
115.0	8223.0
116.0	8391.0
117.0	8740.0
118.0	8420.0
119.0	8348.0
120.0	8272.0
121.0	8700.0
122.0	8338.0
123.0	8908.0
124.0	9119.0
125.0	9216.0
126.0	9356.0
127.0	9883.0
128.0	10397.0
129.0	10598.0
130.0	11097.0
131.0	11406.0
132.0	12070.0
133.0	12322.0
134.0	13225.0
135.0	14117.0
136.0	14958.0
137.0	15867.0
138.0	16692.0
139.0	18322.0
140.0	20672.0
141.0	22831.0
142.0	26579.0
143.0	35916.0
144.0	296904.0
145.0	310008.0
146.0	316763.0
147.0	321115.0
148.0	326332.0
149.0	329731.0
150.0	333961.0
151.0	338151.0
