#Coverage (X)	Coverage
1.0	99.03797931889986
2.0	97.11643670384181
3.0	93.45307624541351
4.0	87.73075557225732
5.0	80.00338999763937
6.0	70.74878216990925
7.0	60.67774227074014
8.0	50.59752048411305
9.0	41.19480552194395
10.0	32.948265073091505
11.0	26.0853943665893
12.0	20.619749881078178
13.0	16.423796587158634
14.0	13.299467157596624
15.0	11.022114342880684
16.0	9.382494048789312
17.0	8.204072135314007
18.0	7.3496389082474565
19.0	6.7165060002407415
20.0	6.232900667549913
21.0	5.849315384945442
22.0	5.533160379697037
23.0	5.263344781232604
24.0	5.026058217825138
25.0	4.812847025648594
26.0	4.618030698091786
27.0	4.437397707804564
28.0	4.269068181284084
29.0	4.111419539127638
30.0	3.963221242727329
31.0	3.823254176446085
32.0	3.6907744054461205
33.0	3.565404158404263
34.0	3.4460391408723865
35.0	3.332822417242369
36.0	3.2252725592001354
37.0	3.122922555773428
38.0	3.0254755945585146
39.0	2.932548876646379
40.0	2.8438503214788113
41.0	2.759350539859028
42.0	2.678468180203893
43.0	2.601258398087751
44.0	2.5273602424195474
45.0	2.456587174976704
46.0	2.388687298920374
47.0	2.3238414594715096
48.0	2.261622829377231
49.0	2.2018334474441303
50.0	2.1443939813246544
51.0	2.088966917350106
