#Mapping quality	mapping quality
0.0	3.7335858E7
1.0	6641819.0
2.0	5732930.0
3.0	5395626.0
4.0	4923510.0
5.0	4677894.0
6.0	4630281.0
7.0	4265038.0
8.0	4304747.0
9.0	4215929.0
10.0	4317259.0
11.0	3979234.0
12.0	4082725.0
13.0	4455806.0
14.0	3930732.0
15.0	4258976.0
16.0	4173152.0
17.0	4092550.0
18.0	4187859.0
19.0	4113094.0
20.0	5281361.0
21.0	4467630.0
22.0	4532511.0
23.0	4570730.0
24.0	4919120.0
25.0	5010706.0
26.0	5093376.0
27.0	5335717.0
28.0	5221237.0
29.0	5244167.0
30.0	7161944.0
31.0	5761852.0
32.0	5974281.0
33.0	6374625.0
34.0	6324140.0
35.0	6459508.0
36.0	7136541.0
37.0	6903234.0
38.0	6919110.0
39.0	6963230.0
40.0	1.065942E7
41.0	7645531.0
42.0	8371676.0
43.0	8157875.0
44.0	8364414.0
45.0	1.048269E7
46.0	9449704.0
47.0	9024195.0
48.0	1.1468422E7
49.0	9675793.0
50.0	1.2994514E7
51.0	1.205548E7
52.0	1.256095E7
53.0	1.3734218E7
54.0	1.3760278E7
55.0	1.5725066E7
56.0	1.7967118E7
57.0	2.0853487E7
58.0	2.5186063E7
59.0	2.6405558E7
60.0	2.176322149E9
