#Coverage	Number of genomic locations
0.0	3.5177467E7
1.0	7.6107045E7
2.0	1.41947237E8
3.0	2.12917891E8
4.0	2.71135891E8
5.0	3.03407639E8
6.0	3.05648578E8
7.0	2.8182859E8
8.0	2.41258746E8
9.0	1.94192262E8
10.0	1.48260168E8
11.0	1.08424712E8
12.0	7.6830109E7
13.0	5.3381409E7
14.0	3.6918095E7
15.0	2.5713452E7
16.0	1.8391574E7
17.0	1.3708951E7
18.0	1.0696965E7
19.0	8774988.0
20.0	7479743.0
21.0	6597153.0
22.0	5933284.0
23.0	5429409.0
24.0	5017787.0
25.0	4666596.0
26.0	4349380.0
27.0	4076073.0
28.0	3833558.0
29.0	3605764.0
30.0	3390514.0
31.0	3199845.0
32.0	3025976.0
33.0	2859004.0
34.0	2707752.0
35.0	2562741.0
36.0	2425525.0
37.0	2311154.0
38.0	2196920.0
39.0	2085892.0
40.0	1991087.0
41.0	1902616.0
42.0	1814287.0
43.0	1734196.0
44.0	1649210.0
45.0	1584659.0
46.0	1516660.0
47.0	1455570.0
48.0	1393786.0
49.0	1336870.0
50.0	1282658.0
51.0	1235129.0
52.0	1186560.0
53.0	1138485.0
54.0	1099377.0
55.0	1060974.0
56.0	1025087.0
57.0	989871.0
58.0	959370.0
59.0	927504.0
60.0	898347.0
61.0	871767.0
62.0	842593.0
63.0	819338.0
64.0	796330.0
65.0	772141.0
66.0	746855.0
67.0	722534.0
68.0	700142.0
69.0	680291.0
70.0	659700.0
71.0	642193.0
72.0	619457.0
73.0	599973.0
74.0	582791.0
75.0	564820.0
76.0	546959.0
77.0	529965.0
78.0	511499.0
79.0	496694.0
80.0	482053.0
81.0	467883.0
82.0	450629.0
83.0	435321.0
84.0	422849.0
85.0	407707.0
86.0	395692.0
87.0	383560.0
88.0	371499.0
89.0	362824.0
90.0	351333.0
91.0	340146.0
92.0	330271.0
93.0	322609.0
94.0	312392.0
95.0	302278.0
96.0	293842.0
97.0	284806.0
98.0	278273.0
99.0	269851.0
100.0	262420.0
101.0	255327.0
102.0	248648.0
103.0	241964.0
104.0	236462.0
105.0	230141.0
106.0	224526.0
107.0	218621.0
108.0	212968.0
109.0	209668.0
110.0	203991.0
111.0	199700.0
112.0	194791.0
113.0	191138.0
114.0	185861.0
115.0	181580.0
116.0	176962.0
117.0	172285.0
118.0	168022.0
119.0	164161.0
120.0	159770.0
121.0	156108.0
122.0	152783.0
123.0	149285.0
124.0	145883.0
125.0	142624.0
126.0	139744.0
127.0	137270.0
128.0	134349.0
129.0	132384.0
130.0	129494.0
131.0	126021.0
132.0	123473.0
133.0	120881.0
134.0	117993.0
135.0	115604.0
136.0	114124.0
137.0	111544.0
138.0	108726.0
139.0	107533.0
140.0	105139.0
141.0	102828.0
