#Position (bp)	insert size	chromosomes
3381345.5	39650.97910556053	0.0
1.01440355E7	27309.36638990786	98549.58296694349
1.69067255E7	23016.587412213332	0.0
2.36694155E7	28982.085513544185	0.0
3.04321055E7	23171.065131398293	98549.58296694349
3.71947955E7	22356.741485052164	0.0
4.39574855E7	17699.976554182114	0.0
5.07201755E7	14467.058256001803	98549.58296694349
5.74828655E7	14256.95658996605	0.0
6.42455555E7	10658.828455967488	0.0
7.10082455E7	11672.189051035322	98549.58296694349
7.77709355E7	13420.180066292101	0.0
8.45336255E7	9949.604530934459	0.0
9.12963155E7	3687.088322748798	98549.58296694349
9.80590055E7	9367.201197422637	0.0
1.048216955E8	10367.02496675357	0.0
1.115843855E8	8401.052115981527	98549.58296694349
1.183470755E8	6126.905407044931	0.0
1.251097655E8	4357.270877691034	0.0
1.318724555E8	5672.970413371887	98549.58296694349
1.386351455E8	3930.5379146563255	0.0
1.453978355E8	2516.916406319736	0.0
1.521605255E8	1761.151345375226	98549.58296694349
1.589232155E8	1447.916889516541	0.0
1.656859055E8	886.5479721210152	0.0
1.724485955E8	1413.3511382516688	98549.58296694349
1.792112855E8	1140.6631988477134	0.0
1.859739755E8	546.4903984542108	0.0
1.927366655E8	495.25224517376034	98549.58296694349
1.994993555E8	359.2181885237358	0.0
2.05937114E8	250.6404399470531	0.0
2.09318459E8	98549.58296694349	98549.58296694349
2.130247355E8	46650.79466638979	0.0
2.197874255E8	27618.63123125974	0.0
2.265501155E8	34598.810521749416	98549.58296694349
2.333128055E8	23649.935034217415	0.0
2.400754955E8	25639.855106798466	0.0
2.468381855E8	14151.207956439604	98549.58296694349
2.536008755E8	23136.389465584358	0.0
2.603635655E8	22246.6532520912	0.0
2.671262555E8	21185.11583287688	98549.58296694349
2.738889455E8	17719.31868065877	0.0
2.806516355E8	20985.541316050432	0.0
2.874143255E8	13329.614391961028	98549.58296694349
2.941770155E8	11109.654391456454	0.0
3.009397055E8	19035.827906941427	0.0
3.077023955E8	9028.883371349511	98549.58296694349
3.144650855E8	7595.904478717214	0.0
3.212277755E8	5684.080826006891	0.0
3.279904655E8	5867.641135046799	98549.58296694349
3.347531555E8	5468.534037015998	0.0
3.415158455E8	2801.076057451378	0.0
3.482785355E8	1498.3518016042344	98549.58296694349
3.550412255E8	3062.4361170164984	0.0
3.618039155E8	1974.0260519395135	0.0
3.685666055E8	1791.7889536681575	98549.58296694349
3.753292955E8	741.1767133226518	0.0
3.820919855E8	574.0511663943417	0.0
3.888546755E8	584.7531291671718	98549.58296694349
3.956173655E8	479.92564270068783	0.0
4.023800555E8	284.07897433434204	0.0
4.07291275E8	250.81040271287094	98549.58296694349
4.1067262E8	34624.34456892216	0.0
4.159054355E8	37683.23569121931	0.0
4.226681255E8	24306.828299345154	98549.58296694349
4.294308155E8	25519.995286444937	0.0
4.361935055E8	17427.37667136371	0.0
4.429561955E8	14669.511012803408	98549.58296694349
4.497188855E8	14565.068223682401	0.0
4.564815755E8	15162.51429971217	0.0
4.632442655E8	14708.242817832905	98549.58296694349
4.700069555E8	7176.681371975305	0.0
4.767696455E8	7334.578896260274	0.0
4.835323355E8	13977.401203811045	98549.58296694349
4.902950255E8	12925.074100746693	0.0
4.970577155E8	4495.215876038262	0.0
5.038204055E8	5162.419331034172	98549.58296694349
5.105830955E8	4036.9409999257114	0.0
5.173457855E8	4888.575432915774	0.0
5.241084755E8	3038.465637117763	98549.58296694349
5.308711655E8	4027.0813362879703	0.0
5.376338555E8	2383.6290874887936	0.0
5.443965455E8	1130.922753056666	98549.58296694349
5.511592355E8	1212.1544024453888	0.0
5.579219255E8	1162.9767887467876	0.0
5.646846155E8	590.1769254423136	98549.58296694349
5.714473055E8	253.65373372309327	0.0
5.782099955E8	395.2687423594132	0.0
5.849726855E8	333.64896347331916	98549.58296694349
5.903608885E8	282.86571612378066	0.0
5.937422335E8	18551.87013526341	0.0
5.984980655E8	25959.946712262903	98549.58296694349
6.052607555E8	25816.330662243403	0.0
6.120234455E8	22269.93604143363	0.0
6.187861355E8	18843.043251917657	98549.58296694349
6.255488255E8	8911.456136966854	0.0
6.323115155E8	12848.44355146481	0.0
6.390742055E8	14408.895919056686	98549.58296694349
6.458368955E8	9959.661809354953	0.0
6.525995855E8	9544.9767489322	0.0
6.593622755E8	12140.861168431635	98549.58296694349
6.661249655E8	10755.486002645053	0.0
6.728876555E8	4176.231585790162	0.0
6.796503455E8	4144.692534179353	98549.58296694349
6.864130355E8	3996.1701032429046	0.0
6.931757255E8	3863.331457927476	0.0
6.999384155E8	3198.738663583675	98549.58296694349
7.067011055E8	5436.45082899932	0.0
7.134637955E8	3987.9526018099546	0.0
7.202264855E8	2341.5779441035925	98549.58296694349
7.269891755E8	1843.888294382645	0.0
7.337518655E8	1579.8580573169168	0.0
7.405145555E8	478.5553765116332	98549.58296694349
7.472772455E8	394.56144484007615	0.0
7.540399355E8	394.4954830952268	0.0
7.608026255E8	251.30017382317016	98549.58296694349
7.668320365E8	328.8564694594792	0.0
7.702133815E8	42133.21408714766	0.0
7.743280055E8	39741.47767379783	98549.58296694349
7.810906955E8	30793.56113417583	0.0
7.878533855E8	29706.796766303727	0.0
7.946160755E8	16900.713131282504	98549.58296694349
8.013787655E8	18139.23200011986	0.0
8.081414555E8	15267.613597563268	0.0
8.149041455E8	16266.894862758798	98549.58296694349
8.216668355E8	14866.633778749345	0.0
8.284295255E8	15231.317069255465	0.0
8.351922155E8	9510.959374610171	98549.58296694349
8.419549055E8	11980.865795805597	0.0
8.487175955E8	27412.806270474506	0.0
