Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
JPV009_merged	8.7226	91.66619605783126	182738111.0	199351690.0	1.41										
JPV009_merged_flagstats						200579330	183965751								
JPV009_merged_qualimap								41.14750839160996	245	98.37289425434659	67.36465002274262	19.989046443037896	2.9850836000470715	1.4839750709668698	6
JPV016_merged	8.6954	91.66879673708316	182359646.0	198933173.0	1.38										
JPV016_merged_flagstats						200366897	183793370								
JPV016_merged_qualimap								40.480513234766505	243	98.48898605470784	68.21378387856757	19.53009835070674	2.9282805301824406	1.4436079925794902	6
JPV023_merged	9.1668	91.92485194585979	190771796.0	207530164.0	1.37										
JPV023_merged_flagstats						208892365	192133997								
JPV023_merged_qualimap								40.861105223166014	245	98.70672133481163	72.09124855411159	22.343928143702215	3.075326400393471	1.525481452065723	6
JPV029_merged	9.0606	91.53232993533274	189550995.0	207086387.0	1.37										
JPV029_merged_flagstats						208446139	190910747								
JPV029_merged_qualimap								40.84718388066723	245	98.63613632126064	71.33108566727948	21.81976287295154	3.0732497856261416	1.530516653244183	6
SCCA1009_merged	10.8439	93.95305572207205	216442070.0	230372571.0	1.39										
SCCA1009_merged_flagstats						231804769	217874268								
SCCA1009_merged_qualimap								40.64816798325366	324	99.18202608627249	83.32103424405919	30.896330244193578	3.8252715322417807	2.000928602502696	8
SCCA1011_merged	8.5072	94.11799728507712	169792997.0	180404388.0	1.4000000000000001										
