Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
JPV009_merged	JPV009_merged.bam	199351690.0	182738111.0	23595378930.0	23563821664.0	47970.0009	246.0	51.0858	0.0141	8.7226	91.66619605783126
JPV016_merged	JPV016_merged.bam	198933173.0	182359646.0	23521838404.0	23490748156.0	49806.4327	244.0	50.9151	0.0138	8.6954	91.66879673708316
JPV023_merged	JPV023_merged.bam	207530164.0	190771796.0	24796788031.0	24764328100.0	47298.97	246.0	51.339	0.0137	9.1668	91.92485194585979
JPV029_merged	JPV029_merged.bam	207086387.0	189550995.0	24509503817.0	24477196258.0	49709.4034	246.0	51.2586	0.0137	9.0606	91.53232993533274
SCCA1009_merged	SCCA1009_merged.bam	230372571.0	216442070.0	29333683525.0	29294196987.0	56085.2536	325.0	51.3651	0.0139	10.8439	93.95305572207205
SCCA1011_merged	SCCA1011_merged.bam	180404388.0	169792997.0	23012664453.0	22981297688.0	55748.8728	288.0	51.3136	0.014	8.5072	94.11799728507712
SCCA1012_merged	SCCA1012_merged.bam	190834435.0	179560875.0	24389642174.0	24357062079.0	48967.5892	325.0	51.5798	0.0137	9.0163	94.09249174552801
SCCA1017_merged	SCCA1017_merged.bam	214998286.0	203513443.0	27626550367.0	27586916180.0	60328.9423	273.0	50.6834	0.015	10.2129	94.65816997257365
SCCA1018_merged	SCCA1018_merged.bam	170149074.0	159829081.0	21520592354.0	21490896082.0	58002.6687	277.0	51.232	0.0143	7.9556	93.9347345493047
SCCA1020_merged	SCCA1020_merged.bam	206202535.0	193239931.0	26111108009.0	26075486750.0	61844.7054	316.0	51.2878	0.0141	9.6526	93.71365439324012
SCCA1026_merged	SCCA1026_merged.bam	152983564.0	144138052.0	19549228651.0	19522612470.0	60744.4557	311.0	51.3212	0.0142	7.2269	94.21799847727434
SCCA1033_merged	SCCA1033_merged.bam	219601713.0	207863771.0	28416298993.0	28377045533.0	89909.8519	304.0	51.6976	0.0137	10.5048	94.65489506450253
SCCA1034_merged	SCCA1034_merged.bam	197454818.0	186277369.0	25337872499.0	25303596326.0	69999.796	300.0	51.515	0.0138	9.3668	94.3392371413292
SCCA1040_merged	SCCA1040_merged.bam	189328818.0	177754589.0	24101715724.0	24067543224.0	85500.8655	297.0	51.1297	0.0146	8.9098	93.88670508680829
SQT017_merged	SQT017_merged.bam	222550441.0	203353029.0	26129685400.0	26095592763.0	51979.2276	247.0	51.2751	0.0136	9.6595	91.37390520830286
SQT019_merged	SQT019_merged.bam	248911101.0	230217384.0	29753328605.0	29714398948.0	70475.2274	238.0	51.1398	0.0134	10.9991	92.48980181080795
SQT031_merged	SQT031_merged.bam	258802391.0	237859239.0	29966772946.0	29926295726.0	47157.6098	225.0	50.6769	0.0142	11.078	91.90766672630934
SQT034_merged	SQT034_merged.bam	257351330.0	236261689.0	30481009659.0	30439323704.0	35877.2325	247.0	51.2018	0.0143	11.2681	91.80511676391959
SQT047_merged	SQT047_merged.bam	216019714.0	197614314.0	25706492649.0	25671519866.0	64326.5551	254.0	51.2809	0.0141	9.5031	91.47975911124482
SQT056_merged	SQT056_merged.bam	222935162.0	204773484.0	26427667108.0	26391500963.0	70346.043	239.0	51.006	0.0142	9.7697	91.85338111894615
SQT096_merged	SQT096_merged.bam	212374132.0	193837047.0	25156480183.0	25122695909.0	39016.7281	253.0	51.3853	0.014	9.2997	91.27149581475393
SQT118_merged	SQT118_merged.bam	234104704.0	214690509.0	27829763847.0	27792040709.0	77934.0348	234.0	50.9475	0.0142	10.288	91.70704617708152
SQT121_merged	SQT121_merged.bam	181990375.0	166637950.0	21557744963.0	21528712606.0	83885.3696	238.0	51.0587	0.014	7.9694	91.56415552196098
scaa0503_merged	scaa0503_merged.bam	256197833.0	234940905.0	30116569755.0	30075876708.0	51179.906	232.0	50.8873	0.0142	11.1334	91.70292435689727
scca0200_merged	scca0200_merged.bam	265335828.0	249255486.0	32759137698.0	32714032546.0	273653.2507	227.0	49.8446	0.0143	12.1102	93.93962657768178
scca0201_merged	scca0201_merged.bam	236646842.0	221179790.0	29101450428.0	29062575245.0	442526.5684	236.0	49.4935	0.0138	10.7581	93.46407842619764
scca0207_merged	scca0207_merged.bam	230127655.0	215412347.0	28425016196.0	28387309315.0	166660.4225	239.0	50.5816	0.0136	10.508	93.60558903709335
scca0506_merged	scca0506_merged.bam	223641743.0	204797343.0	25860064251.0	25825291132.0	81489.2014	219.0	50.3997	0.0142	9.5598	91.57384495970415
scca0507_merged	scca0507_merged.bam	244938035.0	224995920.0	28787088273.0	28747902245.0	142220.9198	208.0	50.2181	0.0143	10.6419	91.8583020395342
scca0509_merged	scca0509_merged.bam	241965178.0	221360575.0	28356746074.0	28318805944.0	77826.7756	220.0	50.6986	0.014	10.4828	91.48447591909279
scca0539_merged	scca0539_merged.bam	194227058.0	177877848.0	22968481461.0	22937832189.0	64645.9151	246.0	50.9974	0.0139	8.4909	91.58242411312229
