Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
JPV009_merged_flagstats	200579330	0	0	0	1227640	0	0	0	183965751	0	91.72	nan	179460124	0	89730062	0	89730062	0	155220688	0	86.49	nan	160251918	0	6364092	0	3.55	nan	4057834	0	2409643	0	200579330
JPV016_merged_flagstats	200366897	0	0	0	1433724	0	0	0	183793370	0	91.73	nan	179959406	0	89979703	0	89979703	0	155064792	0	86.17	nan	160299784	0	6651567	0	3.7	nan	4008136	0	2340838	0	200366897
JPV023_merged_flagstats	208892365	0	0	0	1362201	0	0	0	192133997	0	91.98	nan	190918392	0	95459196	0	95459196	0	165531590	0	86.7	nan	170927856	0	6671168	0	3.49	nan	4220306	0	2504562	0	208892365
JPV029_merged_flagstats	208446139	0	0	0	1359752	0	0	0	190910747	0	91.59	nan	188725370	0	94362685	0	94362685	0	162719274	0	86.22	nan	168163014	0	6798387	0	3.6	nan	4331680	0	2637273	0	208446139
SCCA1009_merged_flagstats	231804769	0	0	0	1432198	0	0	0	217874268	0	93.99	nan	220970894	0	110485447	0	110485447	0	194771490	0	88.14	nan	202644972	0	6559029	0	2.97	nan	6201484	0	3585256	0	231804769
SCCA1011_merged_flagstats	181599326	0	0	0	1194938	0	0	0	170987935	0	94.16	nan	170250296	0	85125148	0	85125148	0	150519114	0	88.41	nan	156453056	0	5000040	0	2.94	nan	4650676	0	2757160	0	181599326
SCCA1012_merged_flagstats	191907439	0	0	0	1073004	0	0	0	180633879	0	94.13	nan	182689280	0	91344640	0	91344640	0	161967446	0	88.66	nan	167806788	0	5394962	0	2.95	nan	4474550	0	2502143	0	191907439
SCCA1017_merged_flagstats	216694002	0	0	0	1695716	0	0	0	205209159	0	94.7	nan	201093242	0	100546621	0	100546621	0	178763352	0	88.9	nan	186626788	0	5124881	0	2.55	nan	6316088	0	3809110	0	216694002
SCCA1018_merged_flagstats	171357695	0	0	0	1208621	0	0	0	161037702	0	93.98	nan	157292072	0	78646036	0	78646036	0	138439370	0	88.01	nan	144147176	0	4808887	0	3.06	nan	4539776	0	2751498	0	171357695
SCCA1020_merged_flagstats	207632391	0	0	0	1429856	0	0	0	194669787	0	93.76	nan	197005420	0	98502710	0	98502710	0	172148032	0	87.38	nan	179717524	0	6336352	0	3.22	nan	6029546	0	3648483	0	207632391
