Sample	1	2	3	4	5	6	7	8	9	10	11	X	12	13	14	15	16	17	18	19	Y	CACRXI020000006.1	CACRXI020000004.1	CACRXI020000005.1	CACRXI020000007.1	CACRXI020000008.1	CACRXI020000010.1	CACRXI020000011.1	CACRXI020000012.1	CACRXI020000013.1	CACRXI020000014.1	CACRXI020000036.1	CACRXI020000015.1	CACRXI020000016.1	CACRXI020000017.1	CACRXI020000018.1	CACRXI020000019.1	CACRXI020000020.1	CACRXI020000021.1	CACRXI020000022.1	CACRXI020000024.1	CACRXI020000025.1	CACRXI020000009.1	CACRXI020000026.1	CACRXI020000027.1	CACRXI020000028.1	CACRXI020000029.1	CACRXI020000030.1	CACRXI020000031.1	CACRXI020000032.1	CACRXI020000033.1	CACRXI020000034.1	CACRXI020000035.1	CACRXI020000037.1	CACRXI020000038.1	CACRXI020000039.1	CACRXI020000041.1	CACRXI020000040.1	CACRXI020000042.1	CACRXI020000043.1	CACRXI020000044.1	CACRXI020000045.1	CACRXI020000046.1	CACRXI020000047.1	CACRXI020000048.1	CACRXI020000049.1	CACRXI020000050.1	CACRXI020000001.1	CACRXI020000002.1	CACRXI020000003.1	CACRXI020000051.1	CACRXI020000052.1	CACRXI020000053.1	CACRXI020000054.1	CACRXI020000055.1	CACRXI020000056.1	CACRXI020000057.1	CACRXI020000058.1	CACRXI020000059.1	CACRXI020000060.1	CACRXI020000061.1	CACRXI020000062.1	CACRXI020000063.1	CACRXI020000064.1	CACRXI020000065.1	CACRXI020000067.1	CACRXI020000066.1	CACRXI020000068.1	CACRXI020000069.1	*
JPV009_merged_idxstats	[10794667, 208993527]	[10842684, 199827622]	[9430890, 183546597]	[9167415, 177112356]	[11164505, 175905472]	[8201051, 162265839]	[8215188, 154993933]	[8155510, 148229995]	[7284900, 141423999]	[7025027, 140975125]	[8218299, 135226351]	[3748419, 131720120]	[7609414, 118645147]	[5307416, 94684172]	[4578946, 88654151]	[5467155, 83138899]	[5287074, 68567161]	[4818208, 66045118]	[2292410, 41557064]	[2705500, 30991954]	[184639, 4810933]	[1948120, 8402289]	[726691, 6410460]	[2604289, 5308990]	[1126716, 5063854]	[890203, 4326611]	[1678405, 3913960]	[799896, 3752592]	[497742, 3398208]	[926373, 3366225]	[966243, 3282125]	[393116, 3118605]	[1248704, 3064279]	[945329, 3047915]	[1206214, 3015224]	[769126, 2629848]	[877302, 2573765]	[927363, 2538454]	[1482693, 2446612]	[398564, 2434104]	[813582, 2223422]	[354652, 2209048]	[2863125, 2174612]	[193880, 2170072]	[711426, 2139930]	[306494, 2102767]	[849037, 2089753]	[698117, 1940562]	[362939, 1877203]	[358853, 1866882]	[696428, 1846946]	[1094328, 1843046]	[566025, 1827521]	[1124298, 1802838]	[313498, 1785753]	[350284, 1783449]	[586713, 1733835]	[261148, 1731233]	[216381, 1716154]	[436608, 1714846]	[304809, 1649170]	[347757, 1619137]	[354856, 1596526]	[299896, 1581602]	[429228, 1567387]	[100184, 1518027]	[300154, 1505718]	[187802, 1427275]	[257451, 1380103]	[94676, 1340613]	[279736, 1284951]	[524306, 1272262]	[215367, 1270296]	[406785, 1257048]	[234322, 1222577]	[1548570, 1195167]	[393082, 1185416]	[550159, 1173495]	[330131, 1160222]	[506305, 1155998]	[504791, 1149056]	[357494, 1135576]	[122114, 1097598]	[311741, 1086809]	[184958, 1071909]	[212682, 1055643]	[237670, 1055014]	[110874, 1038501]	[187629, 1033007]	[0, 0]
JPV016_merged_idxstats	[10568180, 208993527]	[10586476, 199827622]	[9226586, 183546597]	[9122808, 177112356]	[10978449, 175905472]	[8160551, 162265839]	[8010725, 154993933]	[7894240, 148229995]	[7222996, 141423999]	[7022971, 140975125]	[8355322, 135226351]	[6549903, 131720120]	[7846348, 118645147]	[5319360, 94684172]	[4497858, 88654151]	[5734399, 83138899]	[4914621, 68567161]	[4985497, 66045118]	[2245517, 41557064]	[3240455, 30991954]	[81082, 4810933]	[1993089, 8402289]	[801259, 6410460]	[2460414, 5308990]	[980230, 5063854]	[798343, 4326611]	[1651720, 3913960]	[729367, 3752592]	[444958, 3398208]	[887401, 3366225]	[825649, 3282125]	[426939, 3118605]	[1385178, 3064279]	[846305, 3047915]	[1086571, 3015224]	[723641, 2629848]	[819541, 2573765]	[863911, 2538454]	[1200081, 2446612]	[417977, 2434104]	[775404, 2223422]	[309846, 2209048]	[3663396, 2174612]	[224499, 2170072]	[574925, 2139930]	[303069, 2102767]	[864388, 2089753]	[648142, 1940562]	[320565, 1877203]	[333070, 1866882]	[610092, 1846946]	[928600, 1843046]	[476317, 1827521]	[931232, 1802838]	[276946, 1785753]	[307855, 1783449]	[614427, 1733835]	[268581, 1731233]	[180286, 1716154]	[392040, 1714846]	[266691, 1649170]	[386909, 1619137]	[296920, 1596526]	[245360, 1581602]	[436222, 1567387]	[108819, 1518027]	[276318, 1505718]	[184510, 1427275]	[211882, 1380103]	[87052, 1340613]	[202959, 1284951]	[492758, 1272262]	[165938, 1270296]	[375644, 1257048]	[205542, 1222577]	[1373345, 1195167]	[380970, 1185416]	[504704, 1173495]	[301298, 1160222]	[438986, 1155998]	[446595, 1149056]	[288175, 1135576]	[128549, 1097598]	[248640, 1086809]	[170226, 1071909]	[222896, 1055643]	[215179, 1055014]	[92703, 1038501]	[126982, 1033007]	[0, 0]
JPV023_merged_idxstats	[11111608, 208993527]	[11120448, 199827622]	[9731849, 183546597]	[9495732, 177112356]	[11323609, 175905472]	[8534335, 162265839]	[8404382, 154993933]	[8211603, 148229995]	[7563083, 141423999]	[7339371, 140975125]	[8494104, 135226351]	[6745696, 131720120]	[7694891, 118645147]	[5561905, 94684172]	[4744563, 88654151]	[5892434, 83138899]	[5404569, 68567161]	[5256487, 66045118]	[2366886, 41557064]	[2696726, 30991954]	[82792, 4810933]	[2032359, 8402289]	[843386, 6410460]	[2777887, 5308990]	[1172698, 5063854]	[971051, 4326611]	[1714933, 3913960]	[870236, 3752592]	[588512, 3398208]	[1029414, 3366225]	[927669, 3282125]	[413840, 3118605]	[1248301, 3064279]	[838779, 3047915]	[1192599, 3015224]	[809581, 2629848]	[844516, 2573765]	[881558, 2538454]	[1342170, 2446612]	[434440, 2434104]	[894610, 2223422]	[336604, 2209048]	[3187556, 2174612]	[181675, 2170072]	[600334, 2139930]	[314735, 2102767]	[891121, 2089753]	[664265, 1940562]	[339787, 1877203]	[362864, 1866882]	[614557, 1846946]	[1049399, 1843046]	[507936, 1827521]	[1022325, 1802838]	[320276, 1785753]	[364225, 1783449]	[524371, 1733835]	[343432, 1731233]	[228899, 1716154]	[433899, 1714846]	[309463, 1649170]	[477875, 1619137]	[392392, 1596526]	[309010, 1581602]	[450107, 1567387]	[101873, 1518027]	[391201, 1505718]	[241332, 1427275]	[294328, 1380103]	[93666, 1340613]	[253462, 1284951]	[502025, 1272262]	[278485, 1270296]	[422850, 1257048]	[196352, 1222577]	[1444357, 1195167]	[300824, 1185416]	[542508, 1173495]	[308406, 1160222]	[501288, 1155998]	[456441, 1149056]	[374938, 1135576]	[136892, 1097598]	[281441, 1086809]	[248943, 1071909]	[411806, 1055643]	[234819, 1055014]	[120262, 1038501]	[162779, 1033007]	[0, 0]
JPV029_merged_idxstats	[10988146, 208993527]	[11076138, 199827622]	[9651710, 183546597]	[9438849, 177112356]	[11463923, 175905472]	[8513220, 162265839]	[8448104, 154993933]	[8267484, 148229995]	[7537512, 141423999]	[7319480, 140975125]	[8695818, 135226351]	[6717304, 131720120]	[8121005, 118645147]	[5497957, 94684172]	[4656903, 88654151]	[5831623, 83138899]	[5202047, 68567161]	[4929699, 66045118]	[2269561, 41557064]	[2803261, 30991954]	[86352, 4810933]	[2027094, 8402289]	[962931, 6410460]	[2707043, 5308990]	[1116759, 5063854]	[936237, 4326611]	[1646862, 3913960]	[827075, 3752592]	[587120, 3398208]	[1075615, 3366225]	[826659, 3282125]	[426108, 3118605]	[1143787, 3064279]	[835232, 3047915]	[1243679, 3015224]	[760002, 2629848]	[825525, 2573765]	[787667, 2538454]	[1419746, 2446612]	[411086, 2434104]	[836572, 2223422]	[374131, 2209048]	[2911219, 2174612]	[234318, 2170072]	[639884, 2139930]	[329624, 2102767]	[858909, 2089753]	[730525, 1940562]	[380514, 1877203]	[376651, 1866882]	[645487, 1846946]	[1037156, 1843046]	[497562, 1827521]	[1056665, 1802838]	[324611, 1785753]	[377886, 1783449]	[552676, 1733835]	[371672, 1731233]	[214583, 1716154]	[406481, 1714846]	[294466, 1649170]	[407602, 1619137]	[311168, 1596526]	[338780, 1581602]	[441799, 1567387]	[109076, 1518027]	[318463, 1505718]	[186177, 1427275]	[259361, 1380103]	[95186, 1340613]	[266959, 1284951]	[487289, 1272262]	[224217, 1270296]	[414840, 1257048]	[210917, 1222577]	[1546480, 1195167]	[302932, 1185416]	[470554, 1173495]	[305390, 1160222]	[506653, 1155998]	[500324, 1149056]	[380859, 1135576]	[116710, 1097598]	[278892, 1086809]	[212876, 1071909]	[172104, 1055643]	[237975, 1055014]	[106212, 1038501]	[167037, 1033007]	[0, 0]
SCCA1009_merged_idxstats	[12483960, 208993527]	[12617511, 199827622]	[10946164, 183546597]	[10708517, 177112356]	[12750483, 175905472]	[9688358, 162265839]	[9561739, 154993933]	[9513573, 148229995]	[8508298, 141423999]	[8285863, 140975125]	[10190031, 135226351]	[7733491, 131720120]	[8809182, 118645147]	[6177827, 94684172]	[5360168, 88654151]	[6641476, 83138899]	[5880314, 68567161]	[5716880, 66045118]	[2638784, 41557064]	[3914481, 30991954]	[90513, 4810933]	[2241468, 8402289]	[1203267, 6410460]	[3265745, 5308990]	[1300954, 5063854]	[1057212, 4326611]	[1709626, 3913960]	[1008487, 3752592]	[571761, 3398208]	[1062306, 3366225]	[965769, 3282125]	[437070, 3118605]	[1439258, 3064279]	[984581, 3047915]	[1378505, 3015224]	[894367, 2629848]	[929907, 2573765]	[940306, 2538454]	[1475125, 2446612]	[504087, 2434104]	[749851, 2223422]	[456299, 2209048]	[4262268, 2174612]	[247619, 2170072]	[705726, 2139930]	[361156, 2102767]	[989034, 2089753]	[680912, 1940562]	[386671, 1877203]	[407729, 1866882]	[801798, 1846946]	[1105742, 1843046]	[582225, 1827521]	[1144678, 1802838]	[319335, 1785753]	[399501, 1783449]	[643711, 1733835]	[409230, 1731233]	[255501, 1716154]	[451792, 1714846]	[285723, 1649170]	[390021, 1619137]	[420828, 1596526]	[356461, 1581602]	[527448, 1567387]	[123519, 1518027]	[379896, 1505718]	[257150, 1427275]	[316591, 1380103]	[108200, 1340613]	[290127, 1284951]	[532376, 1272262]	[250775, 1270296]	[491255, 1257048]	[243839, 1222577]	[1633180, 1195167]	[369708, 1185416]	[596275, 1173495]	[341869, 1160222]	[553795, 1155998]	[489628, 1149056]	[387989, 1135576]	[127822, 1097598]	[309943, 1086809]	[255585, 1071909]	[288894, 1055643]	[268162, 1055014]	[125577, 1038501]	[203440, 1033007]	[0, 0]
SCCA1011_merged_idxstats	[9738493, 208993527]	[9802739, 199827622]	[8514886, 183546597]	[8330980, 177112356]	[10126504, 175905472]	[7544788, 162265839]	[7467665, 154993933]	[7309236, 148229995]	[6643134, 141423999]	[6445084, 140975125]	[7974029, 135226351]	[6017923, 131720120]	[7272101, 118645147]	[4862890, 94684172]	[4143646, 88654151]	[5199719, 83138899]	[4647448, 68567161]	[4966281, 66045118]	[2062322, 41557064]	[2501369, 30991954]	[75754, 4810933]	[1825051, 8402289]	[814333, 6410460]	[2405130, 5308990]	[945629, 5063854]	[772227, 4326611]	[1457931, 3913960]	[721488, 3752592]	[572637, 3398208]	[970640, 3366225]	[777201, 3282125]	[396500, 3118605]	[1132090, 3064279]	[761546, 3047915]	[1035094, 3015224]	[657995, 2629848]	[726151, 2573765]	[743533, 2538454]	[1280833, 2446612]	[334035, 2434104]	[748631, 2223422]	[334860, 2209048]	[3147862, 2174612]	[209075, 2170072]	[577037, 2139930]	[291495, 2102767]	[752346, 2089753]	[628184, 1940562]	[312986, 1877203]	[345576, 1866882]	[614500, 1846946]	[956888, 1843046]	[423636, 1827521]	[967135, 1802838]	[260952, 1785753]	[212001, 1783449]	[521682, 1733835]	[322805, 1731233]	[151753, 1716154]	[374029, 1714846]	[245794, 1649170]	[378116, 1619137]	[316867, 1596526]	[219620, 1581602]	[403347, 1567387]	[97913, 1518027]	[273695, 1505718]	[170791, 1427275]	[229567, 1380103]	[88400, 1340613]	[292852, 1284951]	[450429, 1272262]	[191756, 1270296]	[370113, 1257048]	[184357, 1222577]	[1417464, 1195167]	[281888, 1185416]	[469344, 1173495]	[282906, 1160222]	[472834, 1155998]	[439068, 1149056]	[296663, 1135576]	[118474, 1097598]	[249874, 1086809]	[174142, 1071909]	[283412, 1055643]	[207873, 1055014]	[92303, 1038501]	[157605, 1033007]	[0, 0]
SCCA1012_merged_idxstats	[10508753, 208993527]	[10608057, 199827622]	[9225602, 183546597]	[8998719, 177112356]	[10841808, 175905472]	[8091920, 162265839]	[8009014, 154993933]	[7973797, 148229995]	[7146066, 141423999]	[6922082, 140975125]	[8530170, 135226351]	[6374017, 131720120]	[7564722, 118645147]	[5342844, 94684172]	[4468491, 88654151]	[5559852, 83138899]	[4903720, 68567161]	[4907536, 66045118]	[2220978, 41557064]	[2617363, 30991954]	[73502, 4810933]	[1837583, 8402289]	[936398, 6410460]	[2183556, 5308990]	[974032, 5063854]	[839071, 4326611]	[1469923, 3913960]	[715720, 3752592]	[548472, 3398208]	[1000614, 3366225]	[826692, 3282125]	[389039, 3118605]	[1183069, 3064279]	[790689, 3047915]	[996838, 3015224]	[732072, 2629848]	[752751, 2573765]	[734876, 2538454]	[1188779, 2446612]	[360802, 2434104]	[858811, 2223422]	[318283, 2209048]	[3622546, 2174612]	[222624, 2170072]	[617371, 2139930]	[303032, 2102767]	[752787, 2089753]	[527865, 1940562]	[374390, 1877203]	[288832, 1866882]	[572801, 1846946]	[870412, 1843046]	[466695, 1827521]	[858097, 1802838]	[259858, 1785753]	[265625, 1783449]	[498323, 1733835]	[318798, 1731233]	[197960, 1716154]	[401222, 1714846]	[228548, 1649170]	[407814, 1619137]	[263686, 1596526]	[264789, 1581602]	[417225, 1567387]	[100992, 1518027]	[266328, 1505718]	[172746, 1427275]	[225005, 1380103]	[86493, 1340613]	[201287, 1284951]	[495657, 1272262]	[170330, 1270296]	[413048, 1257048]	[161479, 1222577]	[1246810, 1195167]	[303264, 1185416]	[503389, 1173495]	[291390, 1160222]	[429295, 1155998]	[392528, 1149056]	[348592, 1135576]	[113578, 1097598]	[240840, 1086809]	[174178, 1071909]	[300235, 1055643]	[235077, 1055014]	[92732, 1038501]	[140223, 1033007]	[0, 0]
SCCA1017_merged_idxstats	[10717810, 208993527]	[10880398, 199827622]	[9359642, 183546597]	[9354607, 177112356]	[11830908, 175905472]	[8722524, 162265839]	[8392697, 154993933]	[8678351, 148229995]	[7565330, 141423999]	[7519502, 140975125]	[9574411, 135226351]	[7509237, 131720120]	[8481679, 118645147]	[5655671, 94684172]	[4661212, 88654151]	[6346546, 83138899]	[5444733, 68567161]	[5536751, 66045118]	[2313568, 41557064]	[3162622, 30991954]	[100155, 4810933]	[2360769, 8402289]	[995017, 6410460]	[3371510, 5308990]	[1401598, 5063854]	[1066422, 4326611]	[1980639, 3913960]	[1089757, 3752592]	[723993, 3398208]	[1266164, 3366225]	[976159, 3282125]	[530267, 3118605]	[1493157, 3064279]	[1046391, 3047915]	[1488535, 3015224]	[754794, 2629848]	[910461, 2573765]	[1010982, 2538454]	[1681716, 2446612]	[534945, 2434104]	[1034084, 2223422]	[425190, 2209048]	[4580759, 2174612]	[262511, 2170072]	[682827, 2139930]	[441361, 2102767]	[979576, 2089753]	[850460, 1940562]	[502159, 1877203]	[422791, 1866882]	[804072, 1846946]	[1248529, 1843046]	[632376, 1827521]	[1223106, 1802838]	[424197, 1785753]	[447460, 1783449]	[594432, 1733835]	[364204, 1731233]	[281481, 1716154]	[470557, 1714846]	[331024, 1649170]	[520921, 1619137]	[485911, 1596526]	[380998, 1581602]	[553089, 1567387]	[124153, 1518027]	[470037, 1505718]	[297815, 1427275]	[322352, 1380103]	[114931, 1340613]	[318549, 1284951]	[540788, 1272262]	[257810, 1270296]	[487477, 1257048]	[259947, 1222577]	[1836055, 1195167]	[401602, 1185416]	[542644, 1173495]	[374190, 1160222]	[613999, 1155998]	[618357, 1149056]	[401502, 1135576]	[155577, 1097598]	[302321, 1086809]	[301857, 1071909]	[409168, 1055643]	[268440, 1055014]	[133194, 1038501]	[220689, 1033007]	[0, 0]
SCCA1018_merged_idxstats	[9300187, 208993527]	[9378250, 199827622]	[8146295, 183546597]	[7963684, 177112356]	[9411423, 175905472]	[7137548, 162265839]	[7130845, 154993933]	[6990261, 148229995]	[6307817, 141423999]	[6111930, 140975125]	[7471355, 135226351]	[3283500, 131720120]	[6601591, 118645147]	[4619365, 94684172]	[3990549, 88654151]	[4976819, 83138899]	[4409195, 68567161]	[4321295, 66045118]	[2032305, 41557064]	[2683761, 30991954]	[167513, 4810933]	[1665715, 8402289]	[830786, 6410460]	[2226074, 5308990]	[864825, 5063854]	[751836, 4326611]	[1588061, 3913960]	[637241, 3752592]	[437649, 3398208]	[847842, 3366225]	[849972, 3282125]	[346991, 3118605]	[1212488, 3064279]	[783484, 3047915]	[957045, 3015224]	[683437, 2629848]	[759696, 2573765]	[850126, 2538454]	[1239053, 2446612]	[351279, 2434104]	[630447, 2223422]	[283389, 2209048]	[3250221, 2174612]	[144267, 2170072]	[583132, 2139930]	[279743, 2102767]	[809909, 2089753]	[578414, 1940562]	[362857, 1877203]	[269631, 1866882]	[662415, 1846946]	[973489, 1843046]	[449359, 1827521]	[984135, 1802838]	[248036, 1785753]	[276775, 1783449]	[551393, 1733835]	[287437, 1731233]	[156766, 1716154]	[379533, 1714846]	[221063, 1649170]	[324457, 1619137]	[247326, 1596526]	[231252, 1581602]	[413650, 1567387]	[87677, 1518027]	[259622, 1505718]	[174495, 1427275]	[193486, 1380103]	[83301, 1340613]	[182966, 1284951]	[475265, 1272262]	[150277, 1270296]	[362772, 1257048]	[191180, 1222577]	[1440550, 1195167]	[347462, 1185416]	[509817, 1173495]	[285976, 1160222]	[474524, 1155998]	[444661, 1149056]	[293550, 1135576]	[98169, 1097598]	[245173, 1086809]	[170109, 1071909]	[257686, 1055643]	[211457, 1055014]	[85038, 1038501]	[94305, 1033007]	[0, 0]
SCCA1020_merged_idxstats	[10960163, 208993527]	[11048768, 199827622]	[9577890, 183546597]	[9435455, 177112356]	[11451112, 175905472]	[8507282, 162265839]	[8366610, 154993933]	[8369236, 148229995]	[7481584, 141423999]	[7290139, 140975125]	[8886261, 135226351]	[6831979, 131720120]	[8299284, 118645147]	[5756563, 94684172]	[4674519, 88654151]	[5997861, 83138899]	[5571510, 68567161]	[5065802, 66045118]	[2315919, 41557064]	[3014425, 30991954]	[85364, 4810933]	[2039044, 8402289]	[1017384, 6410460]	[2563399, 5308990]	[1260067, 5063854]	[949380, 4326611]	[1641483, 3913960]	[896957, 3752592]	[568838, 3398208]	[1021835, 3366225]	[946483, 3282125]	[438101, 3118605]	[1394927, 3064279]	[862398, 3047915]	[1145714, 3015224]	[742901, 2629848]	[859615, 2573765]	[871030, 2538454]	[1422182, 2446612]	[444340, 2434104]	[932640, 2223422]	[364783, 2209048]	[4186578, 2174612]	[217350, 2170072]	[621813, 2139930]	[332696, 2102767]	[848316, 2089753]	[689100, 1940562]	[432208, 1877203]	[356609, 1866882]	[595384, 1846946]	[981563, 1843046]	[611248, 1827521]	[991908, 1802838]	[355100, 1785753]	[344329, 1783449]	[576819, 1733835]	[359848, 1731233]	[243263, 1716154]	[466617, 1714846]	[254182, 1649170]	[425569, 1619137]	[390994, 1596526]	[320845, 1581602]	[426539, 1567387]	[110962, 1518027]	[346877, 1505718]	[220379, 1427275]	[295978, 1380103]	[100666, 1340613]	[281645, 1284951]	[525115, 1272262]	[215480, 1270296]	[474347, 1257048]	[172489, 1222577]	[1455601, 1195167]	[359557, 1185416]	[555227, 1173495]	[313468, 1160222]	[482302, 1155998]	[490926, 1149056]	[366696, 1135576]	[124462, 1097598]	[317444, 1086809]	[230831, 1071909]	[321055, 1055643]	[258081, 1055014]	[105836, 1038501]	[144258, 1033007]	[0, 0]
