#Duplication rate	Coverage
1.0	1.58984308E8
2.0	2.0714972E7
3.0	4044932.0
4.0	1379869.0
5.0	584872.0
6.0	312831.0
7.0	181491.0
8.0	118140.0
9.0	79341.0
10.0	56990.0
11.0	42312.0
12.0	32829.0
13.0	25362.0
14.0	20610.0
15.0	16759.0
16.0	14130.0
17.0	11691.0
18.0	10299.0
19.0	8758.0
20.0	7592.0
21.0	6694.0
22.0	5904.0
23.0	5322.0
24.0	4728.0
25.0	4234.0
26.0	3858.0
27.0	3546.0
28.0	3321.0
29.0	3023.0
30.0	2727.0
31.0	2564.0
32.0	2433.0
33.0	2210.0
34.0	1994.0
35.0	1915.0
36.0	1861.0
37.0	1648.0
38.0	1621.0
39.0	1487.0
40.0	1414.0
41.0	1350.0
42.0	1274.0
43.0	1115.0
44.0	1126.0
45.0	1079.0
46.0	993.0
47.0	991.0
48.0	894.0
49.0	845.0
50.0	28686.0
