#Coverage (X)	Coverage
1.0	99.09824251383316
2.0	97.30204356615346
3.0	93.827563224175
4.0	88.29962979630258
5.0	80.72933838822095
6.0	71.53440098087017
7.0	61.43905555054666
8.0	51.25887271403203
9.0	41.715560425938996
10.0	33.31894088299484
11.0	26.320246728184827
12.0	20.751971914367516
13.0	16.491156589215223
14.0	13.329583505951746
15.0	11.037814088769125
16.0	9.397729445368597
17.0	8.225499484463583
18.0	7.379627681611254
19.0	6.753990941096163
20.0	6.275420476875908
21.0	5.895622777837076
22.0	5.581364835999054
23.0	5.311170024477278
24.0	5.072183767372152
25.0	4.855847413035178
26.0	4.657257032033527
27.0	4.473075268509234
28.0	4.3007957230386324
29.0	4.139145048598891
30.0	3.9871338828334473
31.0	3.8436791136963677
32.0	3.707836627103859
33.0	3.5794857240276343
34.0	3.4577022528571746
35.0	3.3423057750145233
36.0	3.2331801015116355
37.0	3.1290656002841786
38.0	3.0299714023152973
39.0	2.9356874949925356
40.0	2.845776219572855
41.0	2.7599619830222792
42.0	2.6780797991958707
43.0	2.5996523062092933
44.0	2.524592630336201
45.0	2.452568396396387
46.0	2.3835536531745873
47.0	2.317368923248935
48.0	2.253902601606754
49.0	2.1927797634257047
50.0	2.134045730913641
51.0	2.077212199793479
