#Insert size (bp)	insert size
2.0	912.0
3.0	871.0
4.0	946.0
5.0	979.0
6.0	884.0
7.0	884.0
8.0	958.0
9.0	893.0
10.0	856.0
11.0	1039.0
12.0	1085.0
13.0	922.0
14.0	869.0
15.0	842.0
16.0	923.0
17.0	990.0
18.0	1037.0
19.0	45152.0
20.0	52333.0
21.0	36256.0
22.0	20613.0
23.0	10779.0
24.0	6496.0
25.0	5052.0
26.0	4414.0
27.0	4008.0
28.0	3771.0
29.0	3544.0
30.0	3352.0
31.0	3365.0
32.0	3573.0
33.0	3602.0
34.0	3578.0
35.0	3896.0
36.0	4151.0
37.0	4116.0
38.0	4737.0
39.0	4500.0
40.0	4669.0
41.0	5160.0
42.0	5226.0
43.0	5479.0
44.0	5442.0
45.0	5714.0
46.0	5871.0
47.0	6128.0
48.0	6169.0
49.0	6758.0
50.0	7014.0
51.0	7411.0
52.0	7580.0
53.0	7829.0
54.0	7717.0
55.0	8231.0
56.0	8192.0
57.0	8427.0
58.0	8425.0
59.0	9078.0
60.0	8527.0
61.0	9015.0
62.0	9113.0
63.0	9136.0
64.0	8812.0
65.0	8978.0
66.0	8840.0
67.0	8983.0
68.0	9303.0
69.0	9115.0
70.0	9460.0
71.0	9822.0
72.0	9736.0
73.0	10134.0
74.0	10163.0
75.0	10413.0
76.0	10867.0
77.0	10741.0
78.0	10732.0
79.0	10832.0
80.0	11086.0
81.0	11195.0
82.0	11183.0
83.0	11339.0
84.0	10353.0
85.0	10507.0
86.0	10828.0
87.0	10581.0
88.0	10680.0
89.0	10743.0
90.0	10538.0
91.0	10903.0
92.0	10839.0
93.0	10964.0
94.0	10883.0
95.0	10779.0
96.0	10698.0
97.0	10769.0
98.0	10950.0
99.0	11190.0
100.0	10790.0
101.0	10883.0
102.0	10957.0
103.0	11087.0
104.0	10962.0
105.0	10902.0
106.0	11040.0
107.0	11009.0
108.0	10953.0
109.0	10836.0
110.0	10990.0
111.0	11000.0
112.0	11069.0
113.0	11440.0
114.0	11195.0
115.0	11575.0
116.0	11647.0
117.0	11713.0
118.0	11764.0
119.0	11777.0
120.0	11578.0
121.0	12114.0
122.0	12004.0
123.0	12487.0
124.0	12631.0
125.0	12957.0
126.0	13629.0
127.0	13959.0
128.0	14622.0
129.0	15364.0
130.0	15752.0
131.0	16685.0
132.0	17533.0
133.0	18027.0
134.0	19108.0
135.0	20477.0
136.0	21988.0
137.0	23362.0
138.0	24854.0
139.0	27535.0
140.0	30995.0
141.0	34450.0
142.0	40458.0
143.0	56030.0
144.0	474473.0
145.0	495810.0
146.0	501747.0
147.0	507353.0
148.0	511522.0
149.0	517324.0
150.0	520702.0
151.0	522777.0
152.0	526905.0
153.0	531918.0
154.0	538197.0
155.0	541634.0
156.0	543853.0
157.0	543822.0
158.0	546249.0
159.0	547333.0
160.0	548975.0
161.0	552986.0
162.0	553552.0
163.0	558124.0
164.0	559169.0
165.0	558573.0
166.0	561167.0
167.0	564090.0
168.0	562330.0
169.0	565956.0
170.0	563048.0
171.0	564326.0
172.0	565673.0
173.0	565108.0
174.0	566609.0
175.0	568623.0
176.0	568605.0
177.0	569546.0
178.0	567977.0
179.0	566467.0
180.0	566491.0
181.0	565820.0
182.0	565934.0
183.0	565537.0
184.0	564878.0
185.0	564632.0
186.0	565034.0
187.0	564317.0
188.0	562264.0
189.0	561960.0
190.0	560485.0
191.0	558619.0
192.0	557252.0
193.0	556190.0
194.0	554256.0
195.0	555029.0
196.0	551339.0
197.0	550947.0
198.0	549682.0
199.0	548040.0
200.0	546053.0
201.0	544439.0
202.0	540114.0
203.0	541156.0
204.0	537503.0
205.0	534636.0
206.0	533311.0
207.0	533831.0
208.0	528986.0
209.0	526086.0
210.0	524371.0
211.0	522063.0
212.0	517960.0
213.0	517397.0
214.0	514282.0
215.0	512269.0
216.0	509583.0
217.0	507560.0
218.0	503520.0
219.0	501215.0
220.0	497443.0
221.0	496132.0
222.0	492767.0
223.0	488949.0
224.0	486052.0
225.0	483845.0
226.0	480924.0
227.0	479104.0
228.0	475691.0
229.0	472286.0
230.0	469865.0
231.0	466757.0
232.0	462496.0
233.0	459569.0
234.0	456635.0
235.0	453335.0
236.0	449361.0
237.0	446888.0
238.0	443384.0
239.0	441493.0
240.0	437092.0
241.0	433516.0
242.0	433210.0
243.0	427406.0
244.0	425099.0
245.0	422067.0
246.0	418244.0
247.0	414232.0
248.0	411586.0
249.0	408682.0
250.0	405955.0
251.0	402784.0
252.0	399600.0
253.0	396150.0
254.0	392089.0
255.0	388510.0
256.0	386593.0
257.0	384476.0
258.0	380700.0
259.0	376512.0
260.0	375525.0
261.0	371037.0
262.0	367219.0
263.0	364989.0
264.0	361935.0
265.0	359574.0
266.0	354542.0
267.0	352054.0
268.0	348629.0
269.0	346458.0
270.0	341959.0
271.0	340522.0
272.0	336611.0
273.0	333473.0
274.0	330145.0
275.0	327198.0
276.0	325769.0
277.0	322193.0
278.0	320056.0
279.0	316300.0
280.0	313937.0
281.0	310519.0
282.0	307696.0
283.0	304937.0
284.0	302067.0
285.0	298371.0
286.0	295774.0
287.0	293445.0
288.0	290385.0
289.0	288574.0
290.0	284610.0
291.0	282508.0
292.0	279569.0
293.0	277384.0
294.0	274857.0
295.0	272836.0
296.0	269209.0
297.0	266708.0
298.0	264084.0
299.0	261646.0
300.0	259309.0
301.0	256758.0
302.0	253352.0
303.0	251927.0
304.0	248986.0
305.0	246463.0
306.0	244152.0
307.0	242227.0
308.0	239127.0
309.0	238119.0
310.0	234557.0
311.0	231950.0
312.0	230205.0
313.0	229428.0
314.0	226139.0
315.0	223676.0
316.0	221447.0
317.0	218155.0
318.0	215860.0
319.0	215793.0
320.0	213072.0
321.0	210384.0
322.0	209014.0
323.0	206355.0
324.0	204275.0
325.0	201563.0
326.0	200161.0
327.0	198596.0
328.0	196296.0
329.0	193931.0
330.0	192315.0
331.0	189588.0
332.0	188789.0
333.0	186185.0
334.0	184360.0
335.0	182479.0
336.0	180761.0
337.0	178849.0
338.0	176666.0
339.0	174441.0
340.0	172870.0
341.0	169565.0
342.0	168778.0
343.0	166758.0
344.0	164755.0
