#GC Content (%)	Sample
1.0	1.9854439821705806E-7
2.0	2.6472586428941077E-7
3.0	3.970887964341162E-7
4.0	5.625424616149979E-7
5.0	9.927219910852904E-7
6.0	1.9854439821705803E-6
7.0	1.952353249134404E-6
8.0	2.7796215750388132E-6
9.0	3.44143623576234E-6
10.0	5.6916060822223314E-6
11.0	6.221057810801154E-6
12.0	1.0688306770684959E-5
13.0	1.710790897970317E-5
14.0	2.7961669415569013E-5
15.0	4.42092193363316E-5
16.0	7.96163036850403E-5
17.0	1.436799628430777E-4
18.0	2.631044183706381E-4
19.0	5.02317327489157E-4
20.0	8.990752165929113E-4
21.0	0.0015726370875442808
22.0	0.002630084552448332
23.0	0.004191801698090674
24.0	0.006336511378364372
25.0	0.01022503650817849
26.0	0.01134998906847634
27.0	0.016199502176394057
28.0	0.020419133180968156
29.0	0.024653158654412987
30.0	0.028994596647293255
31.0	0.0333244859743439
32.0	0.03767565264273679
33.0	0.04108495777672101
34.0	0.04298893237415652
35.0	0.043439098706380665
36.0	0.04330134198475106
37.0	0.04329167949070449
38.0	0.04288903145112031
39.0	0.04169624288809829
40.0	0.04010110410208942
41.0	0.03880795134576868
42.0	0.037460728331666825
43.0	0.03634815170552451
44.0	0.0351359719729433
45.0	0.03229784598189652
46.0	0.02924876656774413
47.0	0.02632017051257645
48.0	0.023707193869107822
49.0	0.021535349787744455
50.0	0.019585048164058292
51.0	0.01947674219483089
52.0	0.014432920302524743
53.0	0.014656646748582336
54.0	0.013318358232400254
55.0	0.012166039635881485
56.0	0.011008227977678711
57.0	0.009907266198832088
58.0	0.008968482102595765
59.0	0.008147831923298593
60.0	0.007533039194219472
61.0	0.006878405222564795
62.0	0.006198986291866023
63.0	0.005447925924143929
64.0	0.004642828389373758
65.0	0.0038564271187690275
66.0	0.0030639040625526043
67.0	0.0024582774665245044
68.0	0.001950069988554908
69.0	0.0015165152043149258
70.0	0.0011880234974648031
71.0	9.089031643046556E-4
72.0	6.809080136854008E-4
73.0	5.052954934624128E-4
74.0	3.9824697209038225E-4
75.0	3.151230507035073E-4
76.0	2.3831945932654205E-4
77.0	1.9010626129283307E-4
78.0	1.5612207846467998E-4
79.0	1.3186657114916273E-4
80.0	1.1055613907386517E-4
81.0	8.967588652803791E-5
82.0	7.131052969296003E-5
83.0	5.423571144629303E-5
84.0	4.2687045616667487E-5
85.0	3.378563842993605E-5
86.0	2.4156235116408727E-5
87.0	1.7703542174354345E-5
88.0	1.3302474680542893E-5
89.0	9.563221847454964E-6
90.0	5.360698751860568E-6
91.0	3.011256706292048E-6
92.0	1.455992253591759E-6
93.0	4.6327026250646883E-7
94.0	4.963609955426452E-7
95.0	2.978165973255871E-7
96.0	3.639980633979398E-7
97.0	1.4229015205555829E-6
98.0	3.242891837545281E-6
99.0	5.691606082222332E-6
100.0	3.450039826351746E-4
