#Mapping quality	mapping quality
0.0	3.9144481E7
1.0	6793858.0
2.0	5864087.0
3.0	5440721.0
4.0	4970399.0
5.0	4733565.0
6.0	4633610.0
7.0	4265809.0
8.0	4329133.0
9.0	4248238.0
10.0	4336698.0
11.0	4008653.0
12.0	4136812.0
13.0	4469999.0
14.0	3969850.0
15.0	4304279.0
16.0	4227868.0
17.0	4162904.0
18.0	4234751.0
19.0	4153663.0
20.0	5370470.0
21.0	4558909.0
22.0	4653250.0
23.0	4657314.0
24.0	5028947.0
25.0	5119925.0
26.0	5193263.0
27.0	5432212.0
28.0	5352021.0
29.0	5374586.0
30.0	7386353.0
31.0	5939871.0
32.0	6154388.0
33.0	6514111.0
34.0	6490108.0
35.0	6647726.0
36.0	7340729.0
37.0	7100248.0
38.0	7142740.0
39.0	7182597.0
40.0	1.0853323E7
41.0	7886900.0
42.0	8616303.0
43.0	8408352.0
44.0	8626307.0
45.0	1.0857082E7
46.0	9690647.0
47.0	9264487.0
48.0	1.1919025E7
49.0	9968649.0
50.0	1.3454027E7
51.0	1.2651856E7
52.0	1.3203778E7
53.0	1.4349514E7
54.0	1.4683485E7
55.0	1.6506888E7
56.0	1.8485681E7
57.0	2.1113699E7
58.0	2.5251707E7
59.0	2.6577665E7
60.0	2.163243887E9
