#Mapping quality	mapping quality
0.0	4.365889E7
1.0	6811580.0
2.0	5917304.0
3.0	5455343.0
4.0	5016681.0
5.0	4778750.0
6.0	4707868.0
7.0	4299308.0
8.0	4449966.0
9.0	4294776.0
10.0	4463265.0
11.0	4100208.0
12.0	4250597.0
13.0	4637899.0
14.0	4077608.0
15.0	4487359.0
16.0	4377550.0
17.0	4277884.0
18.0	4372167.0
19.0	4260993.0
20.0	5771168.0
21.0	4707343.0
22.0	4826749.0
23.0	4821358.0
24.0	5234923.0
25.0	5309799.0
26.0	5371031.0
27.0	5641240.0
28.0	5492811.0
29.0	5512437.0
30.0	8319173.0
31.0	6102077.0
32.0	6328075.0
33.0	6715952.0
34.0	6664361.0
35.0	6758737.0
36.0	7596747.0
37.0	7191592.0
38.0	7160520.0
39.0	7176606.0
40.0	1.1876063E7
41.0	7910328.0
42.0	8705345.0
43.0	8408895.0
44.0	8543222.0
45.0	1.1569471E7
46.0	9650237.0
47.0	9203109.0
48.0	1.2553901E7
49.0	9870879.0
50.0	1.4106786E7
51.0	1.297741E7
52.0	1.3216095E7
53.0	1.4577549E7
54.0	1.4454206E7
55.0	1.6097775E7
56.0	1.7731966E7
57.0	1.9471645E7
58.0	2.1653527E7
59.0	2.2625677E7
60.0	2.146421002E9
