#Coverage	Number of genomic locations
0.0	3.0559122E7
1.0	5.8021962E7
2.0	1.16195517E8
3.0	1.83770479E8
4.0	2.43875563E8
5.0	2.82244746E8
6.0	2.93556996E8
7.0	2.79849664E8
8.0	2.48528142E8
9.0	2.07870657E8
10.0	1.65527938E8
11.0	1.26495639E8
12.0	9.3690242E7
13.0	6.7822347E7
14.0	4.8435039E7
15.0	3.4512703E7
16.0	2.4886324E7
17.0	1.8332034E7
18.0	1.3968194E7
19.0	1.104175E7
20.0	9060009.0
21.0	7724482.0
22.0	6772750.0
23.0	6100835.0
24.0	5571431.0
25.0	5143818.0
26.0	4787010.0
27.0	4476622.0
28.0	4206893.0
29.0	3968083.0
30.0	3752563.0
31.0	3538611.0
32.0	3346879.0
33.0	3174726.0
34.0	3015396.0
35.0	2869535.0
36.0	2723942.0
37.0	2588089.0
38.0	2464474.0
39.0	2352280.0
40.0	2244816.0
41.0	2145629.0
42.0	2051775.0
43.0	1957327.0
44.0	1866900.0
45.0	1786029.0
46.0	1706729.0
47.0	1638578.0
48.0	1575486.0
49.0	1506776.0
50.0	1446542.0
51.0	1388273.0
52.0	1335498.0
53.0	1284484.0
54.0	1235396.0
55.0	1187971.0
56.0	1147536.0
57.0	1105083.0
58.0	1066484.0
59.0	1032685.0
60.0	1000864.0
61.0	966858.0
62.0	931282.0
63.0	897800.0
64.0	868328.0
65.0	843332.0
66.0	814355.0
67.0	788016.0
68.0	762734.0
69.0	739711.0
70.0	716005.0
71.0	694001.0
72.0	674176.0
73.0	651561.0
74.0	632319.0
75.0	610106.0
76.0	594295.0
77.0	576158.0
78.0	558614.0
79.0	542856.0
80.0	524485.0
81.0	507195.0
82.0	492788.0
83.0	479040.0
84.0	465099.0
85.0	448234.0
86.0	433594.0
87.0	419310.0
88.0	404927.0
89.0	392468.0
90.0	378686.0
91.0	368394.0
92.0	356569.0
93.0	346651.0
94.0	334512.0
95.0	324362.0
96.0	315148.0
97.0	306482.0
98.0	297782.0
99.0	289007.0
100.0	279728.0
101.0	270857.0
102.0	264175.0
103.0	256221.0
104.0	250152.0
105.0	243382.0
106.0	237835.0
107.0	231100.0
108.0	225487.0
109.0	220251.0
110.0	214938.0
111.0	208488.0
112.0	202453.0
113.0	197307.0
114.0	192090.0
115.0	187536.0
116.0	183836.0
117.0	180775.0
118.0	175408.0
119.0	171433.0
120.0	167964.0
121.0	164155.0
122.0	160451.0
123.0	156942.0
124.0	152887.0
125.0	149712.0
126.0	145585.0
127.0	142909.0
128.0	140095.0
129.0	137113.0
130.0	133859.0
131.0	131209.0
132.0	127620.0
133.0	125972.0
134.0	122779.0
135.0	120469.0
136.0	117612.0
137.0	115104.0
138.0	113119.0
139.0	110755.0
140.0	107817.0
141.0	105522.0
142.0	102872.0
143.0	100391.0
144.0	98981.0
145.0	97043.0
146.0	95705.0
147.0	92699.0
148.0	91555.0
149.0	89996.0
150.0	87590.0
151.0	85751.0
152.0	83748.0
153.0	82070.0
154.0	81124.0
155.0	80024.0
156.0	78428.0
157.0	76466.0
158.0	76089.0
159.0	74098.0
160.0	72692.0
161.0	70759.0
162.0	69800.0
163.0	68513.0
164.0	67654.0
165.0	66213.0
166.0	64940.0
167.0	64015.0
168.0	62498.0
169.0	61444.0
170.0	60044.0
171.0	59422.0
172.0	57854.0
173.0	56388.0
174.0	56128.0
175.0	55277.0
176.0	53755.0
177.0	53128.0
178.0	52344.0
179.0	51625.0
180.0	50655.0
181.0	49649.0
182.0	49000.0
183.0	48240.0
184.0	47306.0
185.0	46675.0
186.0	45795.0
187.0	45085.0
188.0	44392.0
189.0	43466.0
190.0	42774.0
191.0	42258.0
192.0	41594.0
193.0	41282.0
194.0	40460.0
195.0	39803.0
196.0	39563.0
197.0	38970.0
198.0	38499.0
199.0	38354.0
200.0	37089.0
201.0	37059.0
202.0	36257.0
203.0	35662.0
204.0	35252.0
205.0	34723.0
206.0	34609.0
207.0	33718.0
208.0	33604.0
209.0	32702.0
210.0	32362.0
211.0	31860.0
212.0	31244.0
213.0	31206.0
214.0	30420.0
215.0	30417.0
216.0	29728.0
217.0	29598.0
218.0	29136.0
219.0	28537.0
220.0	28016.0
221.0	27728.0
222.0	27293.0
223.0	27107.0
224.0	26355.0
225.0	26127.0
226.0	25349.0
227.0	25190.0
228.0	25125.0
229.0	24650.0
230.0	24277.0
231.0	24245.0
232.0	23544.0
233.0	23338.0
234.0	23445.0
235.0	22924.0
236.0	22819.0
237.0	22362.0
238.0	22380.0
239.0	22175.0
240.0	21659.0
241.0	21545.0
242.0	21518.0
243.0	21231.0
244.0	20605.0
245.0	20616.0
246.0	20453.0
247.0	20245.0
248.0	19681.0
249.0	19720.0
250.0	19201.0
251.0	18687.0
252.0	18935.0
253.0	18573.0
254.0	18291.0
255.0	18310.0
256.0	17700.0
257.0	17850.0
258.0	17441.0
259.0	16948.0
260.0	16738.0
261.0	16471.0
262.0	16254.0
263.0	15848.0
264.0	15598.0
265.0	15745.0
266.0	15512.0
267.0	15163.0
268.0	15191.0
269.0	14867.0
270.0	14780.0
271.0	14546.0
272.0	14213.0
273.0	14215.0
274.0	13681.0
275.0	13623.0
276.0	13557.0
277.0	13115.0
278.0	13092.0
279.0	12730.0
280.0	12520.0
281.0	12563.0
282.0	12301.0
283.0	11964.0
284.0	11785.0
285.0	11862.0
286.0	11565.0
287.0	11466.0
288.0	11657.0
289.0	11482.0
290.0	11177.0
291.0	11075.0
292.0	11034.0
293.0	11077.0
294.0	10857.0
295.0	10646.0
296.0	10805.0
297.0	10414.0
298.0	10291.0
299.0	10469.0
300.0	10190.0
301.0	10210.0
302.0	9834.0
303.0	9769.0
304.0	9740.0
305.0	9488.0
306.0	9579.0
307.0	9402.0
308.0	9215.0
309.0	9194.0
310.0	9101.0
311.0	9110.0
312.0	8983.0
313.0	9017.0
314.0	8727.0
315.0	8723.0
316.0	8813.0
317.0	8558.0
318.0	8464.0
319.0	8174.0
320.0	8358.0
321.0	8435.0
322.0	8313.0
323.0	8174.0
324.0	8094.0
325.0	8069.0
326.0	7960.0
327.0	8039.0
328.0	7918.0
329.0	7876.0
330.0	7850.0
331.0	7569.0
332.0	7497.0
333.0	7521.0
334.0	7419.0
335.0	7272.0
336.0	7210.0
337.0	7065.0
338.0	7071.0
339.0	7109.0
340.0	6784.0
341.0	6786.0
342.0	6887.0
343.0	6730.0
344.0	6784.0
345.0	6467.0
346.0	6562.0
347.0	6603.0
348.0	6738.0
349.0	6544.0
350.0	6632.0
351.0	6403.0
352.0	6388.0
353.0	6373.0
354.0	6186.0
355.0	6315.0
356.0	6242.0
357.0	6138.0
358.0	6040.0
359.0	6071.0
360.0	6077.0
361.0	6067.0
362.0	5944.0
363.0	5854.0
364.0	5851.0
365.0	5672.0
366.0	5840.0
367.0	5570.0
368.0	5580.0
369.0	5664.0
370.0	5558.0
371.0	5633.0
372.0	5418.0
373.0	5478.0
374.0	5530.0
375.0	5487.0
376.0	5264.0
377.0	5309.0
378.0	5322.0
379.0	5244.0
380.0	5241.0
381.0	5110.0
382.0	5160.0
383.0	5171.0
384.0	5089.0
385.0	5010.0
386.0	5036.0
387.0	4962.0
388.0	4796.0
389.0	4821.0
390.0	4662.0
391.0	4736.0
392.0	4741.0
393.0	4591.0
394.0	4809.0
395.0	4766.0
396.0	4671.0
397.0	4558.0
398.0	4649.0
399.0	4562.0
400.0	4553.0
401.0	4614.0
402.0	4519.0
403.0	4612.0
404.0	4325.0
405.0	4452.0
406.0	4329.0
407.0	4311.0
408.0	4264.0
409.0	4245.0
410.0	4249.0
411.0	4179.0
412.0	4317.0
413.0	4185.0
414.0	4144.0
415.0	4039.0
416.0	4024.0
417.0	4027.0
418.0	3956.0
419.0	4015.0
420.0	3973.0
421.0	3924.0
422.0	3923.0
423.0	3883.0
424.0	3850.0
425.0	3965.0
426.0	3928.0
427.0	3916.0
428.0	3845.0
429.0	3860.0
430.0	3720.0
431.0	3686.0
432.0	3674.0
433.0	3649.0
434.0	3660.0
435.0	3673.0
436.0	3613.0
437.0	3657.0
438.0	3476.0
439.0	3544.0
440.0	3435.0
441.0	3471.0
442.0	3359.0
443.0	3389.0
444.0	3387.0
445.0	3371.0
446.0	3396.0
447.0	3294.0
448.0	3383.0
449.0	3248.0
450.0	3248.0
451.0	3137.0
452.0	3105.0
453.0	3223.0
454.0	3210.0
455.0	3119.0
456.0	3155.0
457.0	3070.0
458.0	3110.0
459.0	3018.0
460.0	3096.0
461.0	3028.0
462.0	2905.0
463.0	2917.0
464.0	2816.0
465.0	2730.0
466.0	2834.0
467.0	2861.0
468.0	2825.0
469.0	2670.0
470.0	2692.0
471.0	2683.0
472.0	2719.0
473.0	2646.0
474.0	2771.0
475.0	2604.0
476.0	2631.0
477.0	2616.0
478.0	2627.0
479.0	2543.0
480.0	2569.0
481.0	2563.0
482.0	2611.0
483.0	2625.0
484.0	2613.0
485.0	2527.0
486.0	2419.0
487.0	2510.0
488.0	2622.0
489.0	2535.0
490.0	2534.0
491.0	2339.0
492.0	2455.0
493.0	2441.0
494.0	2438.0
495.0	2420.0
496.0	2464.0
497.0	2371.0
498.0	2367.0
499.0	2466.0
500.0	2439.0
501.0	2463.0
502.0	2362.0
503.0	2502.0
504.0	2270.0
505.0	2338.0
506.0	2204.0
507.0	2256.0
508.0	2228.0
509.0	2227.0
510.0	2215.0
511.0	2210.0
512.0	2175.0
513.0	2140.0
514.0	2173.0
515.0	2165.0
516.0	2129.0
517.0	2100.0
518.0	2157.0
519.0	2239.0
