#Duplication rate	Coverage
1.0	1.43488558E8
2.0	1.9954505E7
3.0	3860360.0
4.0	1231850.0
5.0	474062.0
6.0	246795.0
7.0	138424.0
8.0	89533.0
9.0	60343.0
10.0	44202.0
11.0	32745.0
12.0	25563.0
13.0	20250.0
14.0	16679.0
15.0	13621.0
16.0	11708.0
17.0	9734.0
18.0	8546.0
19.0	7305.0
20.0	6477.0
21.0	5802.0
22.0	5186.0
23.0	4688.0
24.0	4345.0
25.0	3741.0
26.0	3457.0
27.0	3061.0
28.0	2871.0
29.0	2658.0
30.0	2522.0
31.0	2220.0
32.0	2058.0
33.0	1927.0
34.0	1827.0
35.0	1659.0
36.0	1583.0
37.0	1431.0
38.0	1351.0
39.0	1309.0
40.0	1304.0
41.0	1160.0
42.0	997.0
43.0	973.0
44.0	962.0
45.0	931.0
46.0	858.0
47.0	808.0
48.0	743.0
49.0	679.0
50.0	23241.0
