#Insert size (bp)	insert size
2.0	514.0
3.0	501.0
4.0	497.0
5.0	502.0
6.0	495.0
7.0	510.0
8.0	531.0
9.0	516.0
10.0	497.0
11.0	623.0
12.0	599.0
13.0	561.0
14.0	568.0
15.0	578.0
16.0	555.0
17.0	628.0
18.0	664.0
19.0	36525.0
20.0	45573.0
21.0	31862.0
22.0	17624.0
23.0	9357.0
24.0	5599.0
25.0	4384.0
26.0	3632.0
27.0	3304.0
28.0	3146.0
29.0	2878.0
30.0	2823.0
31.0	2935.0
32.0	3056.0
33.0	3097.0
34.0	3606.0
35.0	3644.0
36.0	3750.0
37.0	4108.0
38.0	4434.0
39.0	4577.0
40.0	4486.0
41.0	4865.0
42.0	4870.0
43.0	5209.0
44.0	5308.0
45.0	5574.0
46.0	5688.0
47.0	5983.0
48.0	6013.0
49.0	6110.0
50.0	6398.0
51.0	6537.0
52.0	6520.0
53.0	6634.0
54.0	6688.0
55.0	7031.0
56.0	7187.0
57.0	7910.0
58.0	7579.0
59.0	7884.0
60.0	7926.0
61.0	8134.0
62.0	8167.0
63.0	8419.0
64.0	8545.0
65.0	8943.0
66.0	8759.0
67.0	8968.0
68.0	9631.0
69.0	9645.0
70.0	9996.0
71.0	10090.0
72.0	10119.0
73.0	10457.0
74.0	11134.0
75.0	11383.0
76.0	12838.0
77.0	13451.0
78.0	13675.0
79.0	14304.0
80.0	14593.0
81.0	15389.0
82.0	15638.0
83.0	15967.0
84.0	15767.0
85.0	16369.0
86.0	16949.0
87.0	16823.0
88.0	16734.0
89.0	17253.0
90.0	17041.0
91.0	17195.0
92.0	17162.0
93.0	17666.0
94.0	18429.0
95.0	18187.0
96.0	17784.0
97.0	18113.0
98.0	18638.0
99.0	19191.0
100.0	18713.0
101.0	18739.0
102.0	19021.0
103.0	19306.0
104.0	19917.0
105.0	19807.0
106.0	19558.0
107.0	19816.0
108.0	19992.0
109.0	20199.0
110.0	20257.0
111.0	20290.0
112.0	20233.0
113.0	20516.0
114.0	20543.0
115.0	20601.0
116.0	21028.0
117.0	20964.0
118.0	20551.0
119.0	20927.0
120.0	20939.0
121.0	21242.0
122.0	20789.0
123.0	21632.0
124.0	22008.0
125.0	22345.0
126.0	22773.0
127.0	23437.0
128.0	23872.0
129.0	24436.0
130.0	24834.0
131.0	25563.0
132.0	25911.0
133.0	26976.0
134.0	28287.0
135.0	29002.0
136.0	30512.0
137.0	31593.0
138.0	32838.0
139.0	35361.0
140.0	38118.0
141.0	41391.0
142.0	46600.0
143.0	59554.0
144.0	417787.0
145.0	432631.0
146.0	440935.0
147.0	444365.0
148.0	447441.0
149.0	451512.0
150.0	455454.0
151.0	458768.0
152.0	461674.0
153.0	464501.0
154.0	468348.0
155.0	470054.0
156.0	471692.0
157.0	473257.0
158.0	474958.0
159.0	476423.0
160.0	477587.0
161.0	479804.0
162.0	480520.0
163.0	481464.0
164.0	484370.0
165.0	485249.0
166.0	485127.0
167.0	486563.0
168.0	485488.0
169.0	487304.0
170.0	488364.0
171.0	486625.0
172.0	488680.0
173.0	490026.0
174.0	489080.0
175.0	490499.0
176.0	489264.0
177.0	490930.0
178.0	489057.0
179.0	488230.0
180.0	490479.0
181.0	487651.0
182.0	487578.0
183.0	487354.0
184.0	487271.0
185.0	485400.0
186.0	485922.0
187.0	484432.0
188.0	484238.0
189.0	481059.0
190.0	479676.0
191.0	478336.0
192.0	478163.0
193.0	475775.0
194.0	475243.0
195.0	472010.0
196.0	471923.0
197.0	470354.0
198.0	467981.0
199.0	466300.0
200.0	464249.0
201.0	460621.0
202.0	458303.0
203.0	457482.0
204.0	454814.0
205.0	452631.0
206.0	450101.0
207.0	446719.0
208.0	444339.0
209.0	441971.0
210.0	439672.0
211.0	436383.0
212.0	434788.0
213.0	430343.0
214.0	429363.0
215.0	426097.0
216.0	423020.0
217.0	420611.0
218.0	417056.0
219.0	415517.0
220.0	411593.0
221.0	406821.0
222.0	404185.0
223.0	400920.0
224.0	397086.0
225.0	393901.0
226.0	390272.0
227.0	387629.0
228.0	385545.0
229.0	383063.0
230.0	377794.0
231.0	374385.0
232.0	371823.0
233.0	366797.0
234.0	364279.0
235.0	359600.0
236.0	355633.0
237.0	353457.0
238.0	350138.0
239.0	347571.0
240.0	343749.0
241.0	338943.0
242.0	335756.0
243.0	332459.0
244.0	328949.0
245.0	326162.0
246.0	321977.0
247.0	318354.0
248.0	314986.0
249.0	312804.0
250.0	307247.0
251.0	306381.0
252.0	301488.0
253.0	299009.0
254.0	294933.0
255.0	290044.0
256.0	288313.0
257.0	285850.0
258.0	280687.0
259.0	278592.0
260.0	274292.0
261.0	271247.0
262.0	268435.0
263.0	264962.0
264.0	261508.0
265.0	258329.0
266.0	254867.0
267.0	251825.0
268.0	249726.0
269.0	246177.0
270.0	243288.0
271.0	239334.0
272.0	236677.0
273.0	235050.0
274.0	230306.0
275.0	228425.0
276.0	225050.0
277.0	223767.0
278.0	219674.0
279.0	216925.0
280.0	213777.0
281.0	210954.0
282.0	209248.0
283.0	205184.0
284.0	202354.0
285.0	200743.0
286.0	198043.0
287.0	195221.0
288.0	191697.0
289.0	189628.0
290.0	186594.0
291.0	185326.0
292.0	182336.0
293.0	179136.0
294.0	177370.0
295.0	175661.0
296.0	173207.0
297.0	170779.0
298.0	168718.0
299.0	166904.0
300.0	163970.0
301.0	161076.0
302.0	158298.0
303.0	156922.0
304.0	154905.0
305.0	152069.0
306.0	150564.0
307.0	148018.0
308.0	146359.0
309.0	144675.0
310.0	142709.0
311.0	139322.0
312.0	137420.0
313.0	135782.0
314.0	134439.0
315.0	132515.0
316.0	130418.0
317.0	128357.0
318.0	126630.0
319.0	124778.0
320.0	123453.0
321.0	121569.0
322.0	119492.0
323.0	118552.0
324.0	116741.0
325.0	115726.0
326.0	113364.0
327.0	112503.0
328.0	110341.0
329.0	108622.0
330.0	107180.0
331.0	106169.0
332.0	104240.0
333.0	103120.0
334.0	101178.0
335.0	99873.0
336.0	98548.0
337.0	97170.0
338.0	95540.0
339.0	95080.0
340.0	93471.0
341.0	91155.0
342.0	90598.0
343.0	89384.0
344.0	88318.0
345.0	87221.0
346.0	85916.0
347.0	84183.0
348.0	82850.0
349.0	82326.0
350.0	80722.0
351.0	79754.0
352.0	78071.0
353.0	77451.0
354.0	75649.0
355.0	75708.0
356.0	74364.0
357.0	72810.0
358.0	71641.0
359.0	70562.0
360.0	69498.0
361.0	68437.0
362.0	67981.0
363.0	66508.0
364.0	65888.0
365.0	65209.0
366.0	63453.0
367.0	62736.0
368.0	62579.0
369.0	61351.0
370.0	60015.0
371.0	59719.0
372.0	59130.0
373.0	57960.0
374.0	57112.0
375.0	56686.0
376.0	55401.0
377.0	54465.0
378.0	54053.0
379.0	53426.0
380.0	52584.0
381.0	52044.0
382.0	51050.0
383.0	50273.0
384.0	49992.0
385.0	48976.0
386.0	48346.0
387.0	47486.0
388.0	47313.0
389.0	46363.0
390.0	45548.0
391.0	44888.0
392.0	44452.0
393.0	43771.0
394.0	43122.0
395.0	42500.0
396.0	41804.0
397.0	41141.0
398.0	40585.0
399.0	40008.0
400.0	39432.0
401.0	39118.0
402.0	38635.0
403.0	37981.0
404.0	37194.0
405.0	36590.0
406.0	36120.0
407.0	35647.0
408.0	35349.0
409.0	34601.0
410.0	34215.0
411.0	34035.0
412.0	33317.0
413.0	32934.0
414.0	32264.0
415.0	32134.0
416.0	31559.0
417.0	30745.0
418.0	30397.0
419.0	30164.0
420.0	29960.0
421.0	29120.0
422.0	29259.0
423.0	28590.0
424.0	28078.0
425.0	28006.0
426.0	27569.0
427.0	26939.0
428.0	26624.0
429.0	26196.0
430.0	25923.0
431.0	25311.0
432.0	25215.0
433.0	24720.0
434.0	24425.0
435.0	24166.0
436.0	23723.0
437.0	23455.0
438.0	23278.0
439.0	22843.0
440.0	22541.0
441.0	22148.0
442.0	22249.0
443.0	21692.0
444.0	21423.0
445.0	21118.0
446.0	20672.0
447.0	20387.0
448.0	20283.0
449.0	20167.0
450.0	19769.0
451.0	19191.0
452.0	19198.0
453.0	18758.0
454.0	18978.0
455.0	18317.0
456.0	18475.0
457.0	17942.0
458.0	17779.0
459.0	17343.0
460.0	17148.0
461.0	16740.0
462.0	16727.0
463.0	16707.0
464.0	16426.0
465.0	16191.0
466.0	15873.0
467.0	15893.0
468.0	15428.0
469.0	15309.0
470.0	15167.0
471.0	14746.0
472.0	14740.0
473.0	14492.0
474.0	14267.0
475.0	14180.0
476.0	13926.0
477.0	13745.0
478.0	13593.0
479.0	13437.0
480.0	13143.0
481.0	13009.0
482.0	13014.0
483.0	12696.0
484.0	12644.0
485.0	12222.0
486.0	12223.0
487.0	12169.0
488.0	12017.0
489.0	11687.0
490.0	11687.0
491.0	11492.0
492.0	11162.0
493.0	11187.0
494.0	10840.0
495.0	10904.0
496.0	10551.0
497.0	10513.0
498.0	10418.0
499.0	10233.0
500.0	10107.0
501.0	9739.0
502.0	9863.0
503.0	9701.0
504.0	9555.0
505.0	9279.0
506.0	9304.0
507.0	9180.0
508.0	9116.0
509.0	9043.0
510.0	8812.0
511.0	8592.0
512.0	8517.0
513.0	8523.0
514.0	8497.0
515.0	8204.0
516.0	8033.0
517.0	7997.0
518.0	8129.0
519.0	7814.0
520.0	7762.0
521.0	7685.0
522.0	7639.0
523.0	7594.0
524.0	7422.0
525.0	7318.0
526.0	7141.0
527.0	7276.0
528.0	7009.0
529.0	6630.0
530.0	6770.0
531.0	6688.0
532.0	6638.0
533.0	6362.0
534.0	6206.0
535.0	5930.0
536.0	6134.0
537.0	5946.0
538.0	5539.0
539.0	5491.0
540.0	5528.0
541.0	5438.0
542.0	5199.0
