#Position (bp)	insert size	chromosomes
3381345.5	101873.97031525044	0.0
1.01440355E7	85884.94322171104	139949.6942324756
1.69067255E7	89299.4709493118	0.0
2.36694155E7	70404.43181313762	0.0
3.04321055E7	65168.48669658236	139949.6942324756
3.71947955E7	48572.82711222621	0.0
4.39574855E7	63299.544421503284	0.0
5.07201755E7	62706.84861997854	139949.6942324756
5.74828655E7	37947.27248108926	0.0
6.42455555E7	36045.44349718984	0.0
7.10082455E7	32601.18017127551	139949.6942324756
7.77709355E7	40070.20571658916	0.0
8.45336255E7	35734.32465533445	0.0
9.12963155E7	38394.90030776568	139949.6942324756
9.80590055E7	41157.85221573973	0.0
1.048216955E8	22118.88926842718	0.0
1.115843855E8	19482.592988852924	139949.6942324756
1.183470755E8	13656.147606294828	0.0
1.251097655E8	11471.674619568306	0.0
1.318724555E8	11508.868755069547	139949.6942324756
1.386351455E8	11416.59676964257	0.0
1.453978355E8	7511.957727963009	0.0
1.521605255E8	4852.418954213528	139949.6942324756
1.589232155E8	6659.180857184501	0.0
1.656859055E8	4829.6396802623485	0.0
1.724485955E8	4215.721234645293	139949.6942324756
1.792112855E8	2076.0498272383456	0.0
1.859739755E8	2457.319195758728	0.0
1.927366655E8	848.6229158286197	139949.6942324756
1.994993555E8	651.1495765275257	0.0
2.05937114E8	250.69352385342245	0.0
2.09318459E8	63817.02076870045	139949.6942324756
2.130247355E8	130808.05522666046	0.0
2.197874255E8	116874.71336970905	0.0
2.265501155E8	85831.26333922699	139949.6942324756
2.333128055E8	70540.54597847833	0.0
2.400754955E8	51253.58639333701	0.0
2.468381855E8	47985.67727307025	139949.6942324756
2.536008755E8	54160.57701474636	0.0
2.603635655E8	61769.578164383776	0.0
2.671262555E8	54262.13483268144	139949.6942324756
2.738889455E8	39390.40494292229	0.0
2.806516355E8	31071.267412277204	0.0
2.874143255E8	32303.651836180245	139949.6942324756
2.941770155E8	27622.0733405181	0.0
3.009397055E8	38727.75181294052	0.0
3.077023955E8	24162.17407351039	139949.6942324756
3.144650855E8	18196.839494694133	0.0
3.212277755E8	12765.085804626899	0.0
3.279904655E8	11103.158057934028	139949.6942324756
3.347531555E8	16598.81949441232	0.0
3.415158455E8	9799.078406927192	0.0
3.482785355E8	6518.347469771607	139949.6942324756
3.550412255E8	5361.267901636613	0.0
3.618039155E8	4976.643995604229	0.0
3.685666055E8	1944.3685194445513	139949.6942324756
3.753292955E8	2824.581147701082	0.0
3.820919855E8	1399.4966597193054	0.0
3.888546755E8	922.1117268051087	139949.6942324756
3.956173655E8	673.3117652223189	0.0
4.023800555E8	576.8016666666666	0.0
4.07291275E8	236.29122965171715	139949.6942324756
4.1067262E8	119222.67574547668	0.0
4.159054355E8	76047.68193212734	0.0
4.226681255E8	66382.84973689649	139949.6942324756
4.294308155E8	72085.29103755172	0.0
4.361935055E8	56525.74930139081	0.0
4.429561955E8	53340.26856148957	139949.6942324756
4.497188855E8	54634.514374893835	0.0
4.564815755E8	35489.14151743675	0.0
4.632442655E8	36871.71863796032	139949.6942324756
4.700069555E8	27198.37953708968	0.0
4.767696455E8	28751.51609579813	0.0
4.835323355E8	23446.076331507444	139949.6942324756
4.902950255E8	21963.671539751143	0.0
4.970577155E8	20484.82230864066	0.0
5.038204055E8	12562.926413879255	139949.6942324756
5.105830955E8	10771.050544951924	0.0
5.173457855E8	10722.852531420216	0.0
5.241084755E8	7564.560501891992	139949.6942324756
5.308711655E8	9971.647881072156	0.0
5.376338555E8	7033.569700612298	0.0
5.443965455E8	4637.869605919446	139949.6942324756
5.511592355E8	3290.6578358434645	0.0
5.579219255E8	1921.9747976113522	0.0
5.646846155E8	1311.728091878188	139949.6942324756
5.714473055E8	1514.2627523765705	0.0
5.782099955E8	793.3313377795214	0.0
5.849726855E8	382.48253869673226	139949.6942324756
5.903608885E8	236.98845747382	0.0
5.937422335E8	139949.6942324756	0.0
5.984980655E8	70866.3583857528	139949.6942324756
6.052607555E8	51978.55861991603	0.0
6.120234455E8	49220.05016928046	0.0
6.187861355E8	45569.47606756293	139949.6942324756
6.255488255E8	40581.490542045445	0.0
6.323115155E8	42288.46495800423	0.0
6.390742055E8	37010.301769402846	139949.6942324756
6.458368955E8	29996.798347310352	0.0
6.525995855E8	29847.88504214311	0.0
6.593622755E8	36557.62917084458	139949.6942324756
6.661249655E8	24757.227946464984	0.0
6.728876555E8	18391.53002768171	0.0
6.796503455E8	18321.26209484765	139949.6942324756
6.864130355E8	12495.348828933027	0.0
6.931757255E8	15109.743291449864	0.0
6.999384155E8	8948.431619719924	139949.6942324756
7.067011055E8	11003.239824715438	0.0
7.134637955E8	9517.224774612609	0.0
7.202264855E8	2911.7074994266495	139949.6942324756
7.269891755E8	2580.956001155136	0.0
7.337518655E8	3022.383984756168	0.0
7.405145555E8	827.9325225274171	139949.6942324756
7.472772455E8	952.6554656500427	0.0
7.540399355E8	1169.6321906675487	0.0
7.608026255E8	446.2948258091115	139949.6942324756
7.668320365E8	302.393217092231	0.0
7.702133815E8	119611.36520241172	0.0
7.743280055E8	72341.96011119056	139949.6942324756
7.810906955E8	72386.97518062513	0.0
7.878533855E8	60465.2094386349	0.0
7.946160755E8	52118.984654298874	139949.6942324756
8.013787655E8	41121.82080364167	0.0
8.081414555E8	48713.28210352465	0.0
8.149041455E8	38761.302676770014	139949.6942324756
8.216668355E8	36976.94903186661	0.0
8.284295255E8	32689.632994975425	0.0
8.351922155E8	29126.27628759902	139949.6942324756
8.419549055E8	23341.756136311305	0.0
8.487175955E8	36733.74676231615	0.0
