#Coverage (X)	Coverage
1.0	98.45325400384462
2.0	95.0954977181174
3.0	88.99757937636664
4.0	80.16362270802757
5.0	69.30283006542038
6.0	57.57876266845818
7.0	46.17719727119053
8.0	36.01243962262157
9.0	27.58512962537762
10.0	21.008449105727976
11.0	16.122750475556956
12.0	12.629649619075536
13.0	10.197057595761194
14.0	8.528160708024274
15.0	7.380594456798974
16.0	6.579304956438492
17.0	5.998455281636609
18.0	5.555850281346835
19.0	5.20221517799115
20.0	4.90658876698393
21.0	4.650753110366821
22.0	4.423221431335719
23.0	4.216354830715019
24.0	4.026244693202898
25.0	3.8499990848684718
26.0	3.6859818961882382
27.0	3.5326864410072005
28.0	3.3886295445277455
29.0	3.2531021323052585
30.0	3.125582333533501
31.0	3.0053763043955968
32.0	2.8922260114405702
33.0	2.785316209439955
34.0	2.6839866950411277
35.0	2.588279943951136
36.0	2.4977976308928476
37.0	2.411865098204288
38.0	2.3303158071036876
39.0	2.2530188924883987
40.0	2.179451115753082
41.0	2.109469079797961
42.0	2.042688211271937
43.0	1.9790078105875324
44.0	1.918006817428605
45.0	1.8596887067442083
46.0	1.8038462015200594
47.0	1.7504920925260734
48.0	1.6992606598581403
49.0	1.6499455506905605
50.0	1.6025638809958025
51.0	1.5568079699124553
