Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Samtools_mqc-generalstats-samtools-flagstat_total	Samtools_mqc-generalstats-samtools-mapped_passed	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
JPV009_paired	2.6852	92.53827712255462	57061764.0	61662877.0	1.1199999999999999										
JPV009_paired_flagstats						61662877	57061764								
JPV009_paired_qualimap								41.04702293582456	248	77.59493666596823	13.931572373749992	3.2399492617537056	0.377610226479768	0.10794668427589026	2
JPV009_unpaired	0.1977	80.42392564788689	5386768.0	6697967.0	1.03										
JPV009_unpaired_flagstats						6697967	5386768								
JPV009_unpaired_qualimap								41.95391970261551		14.80997032778253	0.13385986563371205	0.022734589085351063	0.006780002316887948	0.004053602001293126	0
JPV016_paired	2.676	92.36278599332725	57147174.0	61872510.0	1.0999999999999999										
JPV016_paired_flagstats						61872510	57147174								
JPV016_paired_qualimap								40.33595729696295	247	77.9797756058631	13.73799091858748	3.1376806038727745	0.3497238955195292	0.09762014871714367	2
JPV016_unpaired	0.1893	80.77654098724388	5136888.0	6359381.0	1.05										
JPV016_unpaired_flagstats						6359381	5136888								
JPV016_unpaired_qualimap								41.35239113758911		14.17451354151133	0.11470832328732657	0.021658222337949645	0.00751606185049406	0.004710809430251958	0
JPV022_paired	2.513	92.55225163432574	54070124.0	58421187.0	1.09										
JPV022_paired_flagstats						58421187	54070124								
JPV022_paired_qualimap								40.891938385485396	221	74.58544951603612	13.005159987958047	2.975311155981416	0.3133184471073373	0.09055048923205818	2
JPV022_unpaired	0.2763	83.72269301140547	7631187.0	9114837.0	1.0										
JPV022_unpaired_flagstats						9114837	7631187								
JPV022_unpaired_qualimap								41.90293745122373		19.788890624156135	0.25286086908286365	0.037456667731624725	0.009451170640263618	0.006157319322936844	0
JPV023_paired	2.9113	92.95912805193487	61723079.0	66398083.0	1.0999999999999999										
JPV023_paired_flagstats						66398083	61723079								
JPV023_paired_qualimap								40.75478656535898	249	80.74262108007416	15.770321227718119	3.485806927336977	0.4282252503769923	0.12472151052751537	2
JPV023_unpaired	0.1671	79.36119886814835	4478185.0	5642789.0	1.02										
JPV023_unpaired_flagstats						5642789	4478185								
JPV023_unpaired_qualimap								41.79782561343627		12.851793674469105	0.09206896054997521	0.018423296985311987	0.006257163136524007	0.0035769019578376603	0
JPV029_paired	2.9783	92.61243669816481	63339657.0	68392172.0	1.0999999999999999										
JPV029_paired_flagstats						68392172	63339657								
JPV029_paired_qualimap								40.73047226593065	248	81.3252557294163	16.38292567953149	3.654529475092181	0.44626142615124537	0.12610369557267043	2
JPV029_unpaired	0.1895	78.97933742622888	5157748.0	6530503.0	1.01										
JPV029_unpaired_flagstats						6530503	5157748								
JPV029_unpaired_qualimap								41.64965553245638		14.382325031083322	0.11532393800703226	0.020602811780522052	0.006594380200272326	0.0038792038779516215	0
SCCA1009_paired	10.203	94.95906940738783	210914890.0	222111370.0	1.1199999999999999										
SCCA1009_paired_flagstats						222111370	210914890								
SCCA1009_paired_qualimap								40.62455618454059	325	98.84266652630708	81.49729890978924	29.32314524075897	3.7357046621954737	1.7435010525129202	7
SCCA1009_unpaired	0.2702	77.57782098587798	7313850.0	9427759.0	1.06										
SCCA1009_unpaired_flagstats						9427759	7313850								
SCCA1009_unpaired_qualimap								42.01919563036509		19.728456985914786	0.20903078463880928	0.03433657519625042	0.010539578317158472	0.006605959383207017	0
SCCA1011_paired	7.9021	95.08969112351238	162796092.0	171202672.0	1.1199999999999999										
SCCA1011_paired_flagstats						171202672	162796092								
SCCA1011_paired_qualimap								40.68270010295241	287	98.01553696755239	64.48874784515846	16.644434528875163	2.7039044494803424	1.1417856856427127	6
SCCA1011_unpaired	0.3138	82.70275106038144	8421727.0	10183128.0	1.05										
SCCA1011_unpaired_flagstats						10183128	8421727								
SCCA1011_unpaired_qualimap								41.79322387134934		22.383479381851842	0.30018857715251573	0.04521560827201882	0.010953729461386974	0.007006400206537389	0
SCCA1012_paired	8.4684	95.07930373545935	174496054.0	183526853.0	1.11										
SCCA1012_paired_flagstats						183526853	174496054								
SCCA1012_paired_qualimap								40.765591133977985	324	98.42669638478885	70.99926513816592	19.648173289340566	2.8269239266733566	1.21130056449284	6
SCCA1012_unpaired	0.2386	78.65193545472775	6424902.0	8168778.0	1.05										
SCCA1012_unpaired_flagstats						8168778	6424902								
SCCA1012_unpaired_qualimap								42.12134927981634		17.788113410927696	0.15335153759906256	0.02680999973180339	0.009180231967178282	0.0056013054282753535	0
SCCA1017_paired	9.4282	95.60527384190333	193550177.0	202447176.0	1.2										
SCCA1017_paired_flagstats						202447176	193550177								
SCCA1017_paired_qualimap								40.17392092455465	272	98.28841501170342	70.44388238001231	22.322850495854073	3.9386799959059986	1.8290291599444715	6
SCCA1017_unpaired	0.4384	85.1865353512077	11884923.0	13951645.0	1.0999999999999999										
SCCA1017_unpaired_flagstats						13951645	11884923								
SCCA1017_unpaired_qualimap								41.60461378927743		28.278232242711688	0.6685667139746617	0.10911319815914519	0.01646126481927097	0.010536452648145426	0
SCCA1018_paired	7.2763	94.94667698036132	150254757.0	158251728.0	1.1400000000000001										
SCCA1018_paired_flagstats						158251728	150254757								
SCCA1018_paired_qualimap								40.94088480430605	276	97.42866540282513	57.90647680631336	14.128182850818906	2.424836763747261	0.9852494465090175	5
SCCA1018_unpaired	0.4067	85.12591405361208	10981437.0	12900228.0	1.05										
SCCA1018_unpaired_flagstats						12900228	10981437								
SCCA1018_unpaired_qualimap								42.05333917453098		27.46680352323195	0.509282550031941	0.0775289876426775	0.014221012592102863	0.00905481449802984	0
SCCA1020_paired	9.0532	94.73154772176102	187735426.0	198176247.0	1.13										
SCCA1020_paired_flagstats						198176247	187735426								
SCCA1020_paired_qualimap								40.58457026335128	315	98.55389900165237	73.20503232085966	21.542602420398456	3.33381171697578	1.5080591106121652	6
SCCA1020_unpaired	0.2704	78.73820447822007	7264271.0	9225853.0	1.0699999999999998										
SCCA1020_unpaired_flagstats						9225853	7264271								
SCCA1020_unpaired_qualimap								41.850950840761286		19.547086525055192	0.2236451697799971	0.03534783567886875	0.009984452396648415	0.006345143615448021	0
SCCA1026_paired	6.7653	95.19302768582482	139529979.0	146575839.0	1.1400000000000001										
SCCA1026_paired_flagstats						146575839	139529979								
SCCA1026_paired_qualimap								40.79247991968711	310	97.40724618760979	53.657259782494044	11.656712348560822	2.1487995917171574	0.8287943326937973	5
SCCA1026_unpaired	0.2155	80.80257600969483	5852895.0	7243451.0	1.06										
SCCA1026_unpaired_flagstats						7243451	5852895								
SCCA1026_unpaired_qualimap								41.86421498133113		16.278759811597574	0.1345990508363312	0.02507884084513504	0.008843760801717166	0.005443494662082623	0
SCCA1033_paired	9.822	95.60129472822585	201384939.0	210650849.0	1.09										
SCCA1033_paired_flagstats						210650849	201384939								
SCCA1033_paired_qualimap								40.17167050648554	303	98.89189059197453	78.2934183766495	28.493487903746875	3.563827319875058	1.699568176181096	7
SCCA1033_unpaired	0.3213	81.80868108914758	8743855.0	10688175.0	1.02										
SCCA1033_unpaired_flagstats						10688175	8743855								
SCCA1033_unpaired_qualimap								41.60358389108174		23.00991633980658	0.3196071866046863	0.04638812486053744	0.01108245019437875	0.007357789337742584	0
SCCA1034_paired	8.7481	95.3071950737889	180048665.0	188914032.0	1.0999999999999999										
SCCA1034_paired_flagstats						188914032	180048665								
SCCA1034_paired_qualimap								40.58604269151054	299	98.4924129719657	72.44194772018227	21.389368876804635	2.9482492557423337	1.2875145689741432	6
SCCA1034_unpaired	0.2984	81.53720373187411	8050257.0	9873109.0	1.03										
SCCA1034_unpaired_flagstats						9873109	8050257								
SCCA1034_unpaired_qualimap								41.91283318506024		21.513873863715066	0.26225030776011965	0.04093969306217285	0.012278764490155782	0.007619564117585128	0
SCCA1040_paired	8.3321	94.87547150641021	172414961.0	181727646.0	1.16										
SCCA1040_paired_flagstats						181727646	172414961								
SCCA1040_paired_qualimap								40.474227814276105	296	98.29027478476618	66.34945644196739	18.06695938727465	3.1032990616654956	1.3797916706652142	6
SCCA1040_unpaired	0.2726	80.2611050314417	7312196.0	9110510.0	1.08										
SCCA1040_unpaired_flagstats						9110510	7312196								
SCCA1040_unpaired_qualimap								41.70479829223441		19.79509788314535	0.24831852610862162	0.03759572448373918	0.009770095436492411	0.006445342618695757	0
SQT017_paired	3.1877	92.28844898655947	68275468.0	73980513.0	1.08										
SQT017_paired_flagstats						73980513	68275468								
SQT017_paired_qualimap								40.63484456952482	249	83.34714978490204	18.332035335341526	4.009153673725878	0.5326032375762041	0.14870984807675816	2
SQT017_unpaired	0.215	79.50318397194994	5846432.0	7353708.0	1.0										
SQT017_unpaired_flagstats						7353708	5846432								
SQT017_unpaired_qualimap								41.650928693319145		16.009975363803612	0.15315856305647307	0.02386625886290375	0.006957455071310384	0.003987749838222831	0
SQT019_paired	3.4665	93.47116380209268	73432382.0	78561536.0	1.08										
SQT019_paired_flagstats						78561536	73432382								
SQT019_paired_qualimap								40.320096942846675	240	84.8834109900827	21.138349133327353	4.5666682447032905	0.6312367068759974	0.18158549268010443	2
SQT019_unpaired	0.312	85.1152038155707	8577437.0	10077444.0	0.9900000000000001										
SQT019_unpaired_flagstats						10077444	8577437								
SQT019_unpaired_qualimap								41.347713832559215		21.74547776821953	0.3216403277407741	0.0449042845345263	0.009568560823083104	0.005958590707846066	0
SQT031_paired	3.3728	93.19359348300783	71453789.0	76672426.0	1.13										
