Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
JPV009_paired	JPV009_paired.bam	61662877.0	57061764.0	7559875913.0	7550959655.0	37038.1488	249.0	44.3969	0.0112	2.6852	92.53827712255462
JPV009_unpaired	JPV009_unpaired.bam	6697967.0	5386768.0	556713947.0	556152385.0	0.0	0.0	31.1446	0.0103	0.1977	80.42392564788689
JPV016_paired	JPV016_paired.bam	61872510.0	57147174.0	7533876411.0	7525098281.0	38797.1192	247.0	43.7745	0.011	2.676	92.36278599332725
JPV016_unpaired	JPV016_unpaired.bam	6359381.0	5136888.0	533087077.0	532548818.0	0.0	0.0	30.2764	0.0105	0.1893	80.77654098724388
JPV022_paired	JPV022_paired.bam	58421187.0	54070124.0	7075151316.0	7066975992.0	120705.1301	221.0	42.9569	0.0109	2.513	92.55225163432574
JPV022_unpaired	JPV022_unpaired.bam	9114837.0	7631187.0	777787764.0	777019093.0	0.0	0.0	30.4543	0.01	0.2763	83.72269301140547
JPV023_paired	JPV023_paired.bam	66398083.0	61723079.0	8196585501.0	8187082869.0	36853.1224	249.0	43.9252	0.011	2.9113	92.95912805193487
JPV023_unpaired	JPV023_unpaired.bam	5642789.0	4478185.0	470467742.0	469995942.0	0.0	0.0	31.0198	0.0102	0.1671	79.36119886814835
JPV029_paired	JPV029_paired.bam	68392172.0	63339657.0	8385175439.0	8375410008.0	38924.349	249.0	44.0821	0.011	2.9783	92.61243669816481
JPV029_unpaired	JPV029_unpaired.bam	6530503.0	5157748.0	533616747.0	533079875.0	0.0	0.0	31.0302	0.0101	0.1895	78.97933742622888
SCCA1009_paired	SCCA1009_paired.bam	222111370.0	210914890.0	28725617857.0	28692277773.0	42268.4391	326.0	44.0167	0.0112	10.203	94.95906940738783
SCCA1009_unpaired	SCCA1009_unpaired.bam	9427759.0	7313850.0	760805972.0	760054061.0	0.0	0.0	30.7645	0.0106	0.2702	77.57782098587798
SCCA1011_paired	SCCA1011_paired.bam	171202672.0	162796092.0	22247534080.0	22221336805.0	43024.7735	288.0	44.1986	0.0112	7.9021	95.08969112351238
SCCA1011_unpaired	SCCA1011_unpaired.bam	10183128.0	8421727.0	883497288.0	882607212.0	0.0	0.0	30.9394	0.0105	0.3138	82.70275106038144
SCCA1012_paired	SCCA1012_paired.bam	183526853.0	174496054.0	23842009343.0	23814334223.0	36131.0214	325.0	44.1383	0.0111	8.4684	95.07930373545935
SCCA1012_unpaired	SCCA1012_unpaired.bam	8168778.0	6424902.0	671822966.0	671158277.0	0.0	0.0	30.7394	0.0105	0.2386	78.65193545472775
SCCA1017_paired	SCCA1017_paired.bam	202447176.0	193550177.0	26544091528.0	26511419986.0	45865.1752	273.0	43.9255	0.012	9.4282	95.60527384190333
SCCA1017_unpaired	SCCA1017_unpaired.bam	13951645.0	11884923.0	1234370963.0	1233097849.0	0.0	0.0	30.4604	0.011	0.4384	85.1865353512077
SCCA1018_paired	SCCA1018_paired.bam	158251728.0	150254757.0	20485774170.0	20461400427.0	45364.7191	278.0	44.4873	0.0114	7.2763	94.94667698036132
SCCA1018_unpaired	SCCA1018_unpaired.bam	12900228.0	10981437.0	1145072095.0	1143916218.0	0.0	0.0	31.0581	0.0105	0.4067	85.12591405361208
SCCA1020_paired	SCCA1020_paired.bam	198176247.0	187735426.0	25488443335.0	25458507450.0	47935.2525	317.0	43.8992	0.0113	9.0532	94.73154772176102
