Sample	total_passed	total_failed	secondary_passed	secondary_failed	supplementary_passed	supplementary_failed	duplicates_passed	duplicates_failed	mapped_passed	mapped_failed	mapped_passed_pct	mapped_failed_pct	paired in sequencing_passed	paired in sequencing_failed	read1_passed	read1_failed	read2_passed	read2_failed	properly paired_passed	properly paired_failed	properly paired_passed_pct	properly paired_failed_pct	with itself and mate mapped_passed	with itself and mate mapped_failed	singletons_passed	singletons_failed	singletons_passed_pct	singletons_failed_pct	with mate mapped to a different chr_passed	with mate mapped to a different chr_failed	with mate mapped to a different chr (mapQ >= 5)_passed	with mate mapped to a different chr (mapQ >= 5)_failed	flagstat_total
JPV009_paired_flagstats	61662877	0	0	0	337539	0	0	0	57061764	0	92.54	nan	61325338	0	30662669	0	30662669	0	52998178	0	86.42	nan	54380002	0	2344223	0	3.82	nan	1146636	0	716902	0	61662877
JPV009_unpaired_flagstats	6697967	0	0	0	16075	0	0	0	5386768	0	80.42	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6697967
JPV016_paired_flagstats	61872510	0	0	0	395696	0	0	0	57147174	0	92.36	nan	61476814	0	30738407	0	30738407	0	52801612	0	85.89	nan	54216054	0	2535424	0	4.12	nan	1132676	0	696674	0	61872510
JPV016_unpaired_flagstats	6359381	0	0	0	23494	0	0	0	5136888	0	80.78	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6359381
JPV022_paired_flagstats	58421187	0	0	0	1080671	0	0	0	54070124	0	92.55	nan	57340516	0	28670258	0	28670258	0	47341668	0	82.56	nan	50771858	0	2217595	0	3.87	nan	3087000	0	2282057	0	58421187
JPV022_unpaired_flagstats	9114837	0	0	0	48470	0	0	0	7631187	0	83.72	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	9114837
JPV023_paired_flagstats	66398083	0	0	0	384391	0	0	0	61723079	0	92.96	nan	66013692	0	33006846	0	33006846	0	57374750	0	86.91	nan	58884718	0	2453970	0	3.72	nan	1220156	0	760397	0	66398083
JPV023_unpaired_flagstats	5642789	0	0	0	16074	0	0	0	4478185	0	79.36	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	5642789
JPV029_paired_flagstats	68392172	0	0	0	400288	0	0	0	63339657	0	92.61	nan	67991884	0	33995942	0	33995942	0	58754096	0	86.41	nan	60353664	0	2585705	0	3.8	nan	1313190	0	842027	0	68392172
JPV029_unpaired_flagstats	6530503	0	0	0	17320	0	0	0	5157748	0	78.98	nan	0	0	0	0	0	0	0	0	nan	nan	0	0	0	0	nan	nan	0	0	0	0	6530503
