Module	Section	Sample Name	Source
QualiMap	genome_results	scca0507_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0507_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	SCCA1017_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SCCA1017_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca1029_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1029_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	SQT031_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT031_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca0583_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0583_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca1046_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1046_paired_qualimap/genome_results.txt
QualiMap	genome_results	SQT019_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT019_paired_qualimap/genome_results.txt
QualiMap	genome_results	JPV016_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/JPV016_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca0201_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0201_paired_qualimap/genome_results.txt
QualiMap	genome_results	SQT096_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT096_paired_qualimap/genome_results.txt
QualiMap	genome_results	JPV022_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/JPV022_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	SCCA1009_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SCCA1009_paired_qualimap/genome_results.txt
QualiMap	genome_results	JPV022_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/JPV022_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca0550_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0550_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca1001_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1001_paired_qualimap/genome_results.txt
QualiMap	genome_results	SCCA1040_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SCCA1040_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	SQT017_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT017_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca0201_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0201_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca0548_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0548_paired_qualimap/genome_results.txt
QualiMap	genome_results	SCCA1018_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SCCA1018_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca0507_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0507_paired_qualimap/genome_results.txt
QualiMap	genome_results	SQT031_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT031_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca0207_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0207_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca1046_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1046_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca0554_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0554_paired_qualimap/genome_results.txt
QualiMap	genome_results	SQT096_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT096_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca1025_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1025_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca1039_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1039_paired_qualimap/genome_results.txt
QualiMap	genome_results	SCCA1040_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SCCA1040_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca1025_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1025_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca0506_paired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0506_paired_qualimap/genome_results.txt
QualiMap	genome_results	scca0583_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca0583_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	SQT118_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SQT118_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	SCCA1026_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/SCCA1026_unpaired_qualimap/genome_results.txt
QualiMap	genome_results	scca1039_unpaired	/scratch/user/alex93/squirrel/align/pre_dup_removal/scca1039_unpaired_qualimap/genome_results.txt
