#Duplication rate	Coverage
1.0	4.9712608E7
2.0	5190355.0
3.0	615423.0
4.0	156110.0
5.0	44810.0
6.0	25835.0
7.0	15497.0
8.0	11539.0
9.0	8855.0
10.0	7326.0
11.0	6151.0
12.0	5410.0
13.0	4750.0
14.0	4282.0
15.0	3917.0
16.0	3441.0
17.0	3224.0
18.0	2860.0
19.0	2561.0
20.0	2314.0
21.0	2202.0
22.0	2057.0
23.0	1860.0
24.0	1590.0
25.0	1540.0
26.0	1376.0
27.0	1320.0
28.0	1205.0
29.0	1015.0
30.0	968.0
31.0	851.0
32.0	739.0
33.0	688.0
34.0	660.0
35.0	557.0
36.0	565.0
37.0	477.0
38.0	416.0
39.0	402.0
40.0	344.0
41.0	324.0
42.0	296.0
43.0	246.0
44.0	257.0
45.0	201.0
46.0	192.0
47.0	178.0
48.0	134.0
49.0	129.0
50.0	2478.0
